file_name,is_real_vulnerability,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes
BenchmarkTest00001.java,1,CWE-22,,,0,0,0,1,"CWE-1004,CWE-23"
BenchmarkTest00002.java,1,CWE-22,,,0,0,0,1,"CWE-1004,CWE-23"
BenchmarkTest00003.java,1,CWE-328,,,0,0,0,1,CWE-1004
BenchmarkTest00005.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00006.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00007.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00008.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00009.java,0,CWE-328,,,0,0,1,0,
BenchmarkTest00010.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00011.java,1,CWE-22,,,0,0,0,1,CWE-23
BenchmarkTest00012.java,1,CWE-90,CWE-90,1,1,0,0,0,"CWE-79,CWE-90"
BenchmarkTest00013.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00014.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00015.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00016.java,0,CWE-614,,,0,0,1,0,CWE-113
BenchmarkTest00017.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00018.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00019.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00020.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00021.java,1,CWE-90,CWE-90,1,1,0,0,0,"CWE-79,CWE-90"
BenchmarkTest00022.java,0,CWE-328,,,0,0,1,0,
BenchmarkTest00023.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00024.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00025.java,1,CWE-89,,,0,0,0,1,
BenchmarkTest00026.java,1,CWE-89,,,0,0,0,1,
BenchmarkTest00027.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00028.java,1,CWE-22,,,0,0,0,1,CWE-23
BenchmarkTest00029.java,1,CWE-328,,,0,0,0,1,
BenchmarkTest00030.java,1,CWE-79,CWE-79,1,1,0,0,0,"CWE-134,CWE-79"
BenchmarkTest00032.java,1,CWE-89,,,0,0,0,1,
BenchmarkTest00033.java,1,CWE-89,,,0,0,0,1,
