model,prompting_type,cwe,direct_match_percentage,tp,fp,tn,fn,accuracy,precision,recall,f1,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
gpt-5-nano,zero-shot,CWE-22,0.9632,118,18,117,15,0.8769,0.8676,0.8872,0.8773,618.8619,2468.5373,15.4291,0.001,0.2746,13.3031,0
gpt-5-nano,zero-shot,CWE-328,0.0286,96,9,98,33,0.822,0.9143,0.7442,0.8205,858.4619,3608.9492,16.322,0.0015,0.3524,18.2188,0
gpt-5-nano,zero-shot,CWE-327,0.9939,130,34,82,0,0.8618,0.7927,1,0.8844,1039.8252,3594.6667,18.1341,0.0015,0.3683,18.9452,0
gpt-5-nano,zero-shot,CWE-78,0.7898,126,31,94,0,0.8765,0.8025,1,0.8905,597.3347,2492.4303,14.3466,0.001,0.2592,13.8433,0
gpt-5-nano,zero-shot,CWE-89,1,272,51,181,0,0.8988,0.8421,1,0.9143,595.3095,2031.3651,14.9345,0.0008,0.4275,11.9612,0
gpt-5-nano,zero-shot,CWE-330,0.6621,199,94,181,19,0.7708,0.6792,0.9128,0.7789,845.3813,4266.7099,16.43,0.0018,0.8655,21.2956,0
gpt-5-nano,zero-shot,CWE-90,1,27,11,21,0,0.8136,0.7105,1,0.8308,829.2712,2442.8475,17.2203,0.001,0.0605,13.5835,0
gpt-5-nano,zero-shot,CWE-79,1,244,28,181,2,0.9341,0.8971,0.9919,0.9421,455.9231,1970.2154,14.4835,0.0008,0.3716,11.2291,0
gpt-5-nano,zero-shot,CWE-614,1,16,0,31,20,0.7015,1,0.4444,0.6154,652.5373,3118.806,14.9701,0.0013,0.0862,16.8239,0
gpt-5-nano,zero-shot,CWE-643,1,15,2,18,0,0.9429,0.8824,1,0.9375,769.1429,3115.8857,14.8,0.0013,0.0452,16.8666,0
gpt-5-nano,zero-shot,all,0.8422,1243,278,1004,89,0.8596,0.8172,0.9332,0.8714,695.4862,2872.6305,15.6094,0.0012,3.1108,15.3617,0
