file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1420,7.1e-05,640,0.000256,13,5.2e-06,0.0003322,4.122386932373047
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1312,6.560000000000001e-05,704,0.0002816,13,5.2e-06,0.00035240000000000005,5.190373659133911
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1194,5.97e-05,704,0.0002816,13,5.2e-06,0.0003465,4.08700966835022
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,914,4.57e-05,576,0.00023040000000000002,13,5.2e-06,0.00028130000000000006,4.106016635894775
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,825,4.125e-05,2240,0.000896,13,5.2e-06,0.00094245,9.927981853485107
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,825,4.125e-05,1664,0.0006656,13,5.2e-06,0.00071205,8.344512701034546
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,1136,5.6800000000000005e-05,1600,0.00064,12,4.800000000000001e-06,0.0007016,7.906137943267822
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1148,5.7400000000000006e-05,704,0.0002816,13,5.2e-06,0.0003442,5.142033338546753
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1244,6.220000000000001e-05,1536,0.0006144000000000001,13,5.2e-06,0.0006818000000000001,7.400991916656494
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1241,6.205e-05,1088,0.00043520000000000006,14,5.600000000000001e-06,0.0005028500000000001,5.672370433807373
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,926,4.630000000000001e-05,576,0.00023040000000000002,13,5.2e-06,0.0002819,4.297183275222778
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,894,4.47e-05,768,0.00030720000000000004,13,5.2e-06,0.00035710000000000006,5.260446786880493
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,832,4.16e-05,320,0.000128,13,5.2e-06,0.0001748,3.748190402984619
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1143,5.715000000000001e-05,1024,0.00040960000000000004,13,5.2e-06,0.00047195000000000006,5.8908562660217285
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1525,7.625e-05,256,0.00010240000000000001,13,5.2e-06,0.00018385,2.592589855194092
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1089,5.445e-05,1216,0.00048640000000000006,13,5.2e-06,0.0005460500000000001,6.615100145339966
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1168,5.84e-05,1088,0.00043520000000000006,14,5.600000000000001e-06,0.0004992000000000001,5.137887477874756
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,847,4.235e-05,832,0.0003328,13,5.2e-06,0.00038035,4.5446696281433105
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,795,3.975e-05,448,0.00017920000000000002,13,5.2e-06,0.00022415,3.235004186630249
