file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1394,6.97e-05,320,0.000128,13,5.2e-06,0.00020289999999999997,15.480659008026123
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1286,6.429999999999999e-05,320,0.000128,13,5.2e-06,0.00019749999999999998,15.435007333755493
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1168,5.84e-05,320,0.000128,13,5.2e-06,0.0001916,16.563414335250854
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,888,4.440000000000001e-05,896,0.00035840000000000004,13,5.2e-06,0.00040800000000000005,17.32488441467285
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,799,3.995e-05,2944,0.0011776000000000002,14,5.600000000000001e-06,0.00122315,29.707292556762695
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,799,3.995e-05,960,0.000384,13,5.2e-06,0.00042915000000000005,21.87748622894287
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,1110,5.55e-05,960,0.000384,13,5.2e-06,0.0004447,19.646857023239136
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1122,5.61e-05,1280,0.000512,14,5.600000000000001e-06,0.0005737,29.581258535385132
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1218,6.09e-05,1216,0.00048640000000000006,13,5.2e-06,0.0005525,18.447312593460083
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1215,6.075e-05,1792,0.0007168000000000001,13,5.2e-06,0.0007827500000000001,32.89526152610779
