model,prompting_type,cwe,tp,tp_diff,fp,fp_diff,tn,tn_diff,fn,fn_diff,accuracy,precision,recall,f1,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
gpt-5-nano,zero-shot,CWE-22,105,-13,2,-92,133,92,28,13,0.8881,0.9813,0.7895,0.8750,1337.5330,985.9623,12.6415,0.0005,0.0989,5.1911,0
gpt-5-nano,zero-shot,CWE-328,89,0,0,0,107,0,40,0,0.8305,1.0000,0.6899,0.8165,1296.5393,798.2022,13.0787,0.0004,0.0347,4.4678,0
gpt-5-nano,zero-shot,CWE-327,130,0,0,0,116,0,0,0,1.0000,1.0000,1.0000,1.0000,1458.3308,534.1538,13.0385,0.0003,0.0379,3.5945,0
gpt-5-nano,zero-shot,CWE-78,115,0,3,-68,122,68,11,0,0.9442,0.9746,0.9127,0.9426,1028.8978,1409.0323,12.7473,0.0006,0.1153,9.1384,0
gpt-5-nano,zero-shot,CWE-89,196,0,5,-107,227,107,76,0,0.8393,0.9751,0.7206,0.8288,992.5909,898.2857,12.8019,0.0004,0.1275,4.9758,0
gpt-5-nano,zero-shot,CWE-330,218,0,4,-19,271,19,0,0,0.9919,0.9820,1.0000,0.9909,1322.0415,694.4398,12.9793,0.0003,0.0841,4.3358,0
gpt-5-nano,zero-shot,CWE-90,24,0,0,-17,32,17,3,0,0.9492,1.0000,0.8889,0.9412,1246.6098,871.0244,12.7073,0.0004,0.0170,4.8005,0
gpt-5-nano,zero-shot,CWE-79,220,0,2,-113,207,113,26,0,0.9385,0.9910,0.8943,0.9402,1352.8328,937.6478,12.7642,0.0004,0.1500,5.6878,0
gpt-5-nano,zero-shot,CWE-614,36,0,0,0,31,0,0,0,1.0000,1.0000,1.0000,1.0000,1058.8333,670.2222,13.0278,0.0003,0.0117,3.9743,0
gpt-5-nano,zero-shot,CWE-643,14,0,0,-12,20,12,1,0,0.9714,1.0000,0.9333,0.9655,1099.2692,844.3077,12.5385,0.0004,0.0103,4.8619,0
gpt-5-nano,zero-shot,all,1147,-13,16,-428,1266,428,185,13,0.9231,0.9862,0.8611,0.9194,1231.4501,904.9377,12.8261,0.0004,0.6876,5.3706,0
special-cost-of-fn-gpt-5-nano,zero-shot,CWE-22,103,-15,1,-93,134,93,30,15,0.8843,0.9904,0.7744,0.8692,1311.5330,936.1509,12.6651,0.0004,0.0944,13.2758,0
special-cost-of-fn-gpt-5-nano,zero-shot,CWE-328,89,0,0,0,107,0,40,0,0.8305,1.0000,0.6899,0.8165,1270.5393,757.9326,13.0674,0.0004,0.0331,9.8778,0
special-cost-of-fn-gpt-5-nano,zero-shot,CWE-327,130,0,0,0,116,0,0,0,1.0000,1.0000,1.0000,1.0000,1432.3308,492.8000,13.0154,0.0003,0.0356,10.8742,0
special-cost-of-fn-gpt-5-nano,zero-shot,CWE-78,109,-6,2,-69,123,69,17,6,0.9243,0.9820,0.8651,0.9198,1002.8978,1444.1290,12.6828,0.0006,0.1177,16.6119,0
special-cost-of-fn-gpt-5-nano,zero-shot,CWE-89,196,0,4,-108,228,108,76,0,0.8413,0.9800,0.7206,0.8305,966.5909,832.2078,12.7532,0.0004,0.1190,14.0188,0
special-cost-of-fn-gpt-5-nano,zero-shot,CWE-330,218,0,1,-22,274,22,0,0,0.9980,0.9954,1.0000,0.9977,1296.0415,596.7137,12.9834,0.0003,0.0744,10.6004,0
special-cost-of-fn-gpt-5-nano,zero-shot,CWE-90,24,0,0,-17,32,17,3,0,0.9492,1.0000,0.8889,0.9412,1220.6098,858.5366,12.8049,0.0004,0.0168,11.0955,0
special-cost-of-fn-gpt-5-nano,zero-shot,CWE-79,220,0,2,-113,207,113,26,0,0.9385,0.9910,0.8943,0.9402,1326.8328,916.6328,12.7731,0.0004,0.1468,11.8102,0
special-cost-of-fn-gpt-5-nano,zero-shot,CWE-614,36,0,0,0,31,0,0,0,1.0000,1.0000,1.0000,1.0000,1032.8333,627.5556,13.0278,0.0003,0.0111,10.8726,0
special-cost-of-fn-gpt-5-nano,zero-shot,CWE-643,14,0,1,-11,19,11,1,0,0.9429,0.9333,0.9333,0.9333,1073.2692,780.3077,12.6154,0.0004,0.0096,18.0986,0
special-cost-of-fn-gpt-5-nano,zero-shot,all,1139,-21,11,-433,1271,433,193,21,0.9220,0.9904,0.8551,0.9178,1205.4501,862.7631,12.8161,0.0004,0.6584,12.6826,0
