file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-200",714,0.0002856,0,0.0,9,1.44e-05,0.0003,4.950683832168579
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-20",605,0.000242,0,0.0,9,1.44e-05,0.0002564,4.85876727104187
BenchmarkTest00003.java,1,0,CWE-328,CWE-326,0,1,0,0,0,"CWE-312,CWE-327,CWE-326,CWE-732,CWE-200",875,0.00035,0,0.0,21,3.3600000000000004e-05,0.0003836,5.729167461395264
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-276,CWE-532",811,0.0003244,0,0.0,13,2.08e-05,0.0003452,4.879430532455444
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,472,0.0001888,0,0.0,5,8e-06,0.0001968,4.764600992202759
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,435,0.000174,0,0.0,5,8e-06,0.000182,4.752714395523071
BenchmarkTest00008.java,1,0,CWE-89,,,0,0,0,1,CWE-089,430,0.000172,0,0.0,5,8e-06,0.00018,4.840233325958252
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,"CWE-22,CWE-276,CWE-732",848,0.0003392,0,0.0,13,2.08e-05,0.00036,5.529962539672852
BenchmarkTest00010.java,0,0,CWE-330,,,0,0,1,0,CWE-79,783,0.0003132,0,0.0,5,8e-06,0.0003212,4.834212779998779
BenchmarkTest00011.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,425,0.00017,0,0.0,5,8e-06,0.000178,4.927768707275391
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,733,0.0002931999999999,0,0.0,5,8e-06,0.0003011999999999,5.132119178771973
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-74,CWE-79",358,0.0001432,0,0.0,9,1.44e-05,0.0001576,5.711852550506592
BenchmarkTest00014.java,1,0,CWE-79,CWE-74,0,1,0,0,0,CWE-74,355,0.000142,0,0.0,5,8e-06,0.00015,4.771255970001221
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,484,0.0001936,0,0.0,5,8e-06,0.0002016,4.753464460372925
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,Not vulnerable,555,0.000222,0,0.0,3,4.800000000000001e-06,0.0002268,4.840819835662842
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,452,0.0001808,0,0.0,5,8e-06,0.0001888,4.778181552886963
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,437,0.0001748,0,0.0,5,8e-06,0.0001828,4.7593536376953125
BenchmarkTest00019.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-326,CWE-276,CWE-200",767,0.0003068,0,0.0,17,2.7200000000000004e-05,0.000334,5.720116376876831
BenchmarkTest00020.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-321,CWE-276,CWE-532",1142,0.0004568,0,0.0,17,2.7200000000000004e-05,0.000484,5.71456241607666
BenchmarkTest00021.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,674,0.0002696,0,0.0,5,8e-06,0.0002776,4.748980522155762
BenchmarkTest00022.java,0,0,CWE-328,,,0,0,1,0,"CWE-22,CWE-73,CWE-276,CWE-200",655,0.000262,0,0.0,17,2.7200000000000004e-05,0.0002892,5.147130727767944
BenchmarkTest00023.java,1,0,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-614",673,0.0002692,0,0.0,9,1.44e-05,0.0002836,4.842963933944702
BenchmarkTest00024.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,452,0.0001808,0,0.0,5,8e-06,0.0001888,4.769196510314941
BenchmarkTest00025.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,449,0.0001796,0,0.0,5,8e-06,0.0001876,4.739269733428955
BenchmarkTest00026.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,500,0.0002,0,0.0,5,8e-06,0.000208,5.052794456481934
BenchmarkTest00027.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,400,0.00016,0,0.0,5,8e-06,0.000168,4.766400337219238
BenchmarkTest00028.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-73",464,0.0001856,0,0.0,9,1.44e-05,0.0002,5.254942893981934
BenchmarkTest00029.java,1,0,CWE-328,CWE-326,0,1,0,0,0,"CWE-732,CWE-313,CWE-276,CWE-326",734,0.0002936,0,0.0,17,2.7200000000000004e-05,0.0003208,5.055631875991821
BenchmarkTest00030.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-74,CWE-79",348,0.0001392,0,0.0,9,1.44e-05,0.0001536,4.7913572788238525
BenchmarkTest00032.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,463,0.0001852,0,0.0,5,8e-06,0.0001932,4.7129225730896
BenchmarkTest00033.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,533,0.0002132,0,0.0,5,8e-06,0.0002212,4.770601749420166
BenchmarkTest00034.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,439,0.0001756,0,0.0,5,8e-06,0.0001836,4.764283895492554
BenchmarkTest00035.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-321,CWE-276,CWE-532",881,0.0003524,0,0.0,17,2.7200000000000004e-05,0.0003796,5.661663293838501
BenchmarkTest00036.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,433,0.0001732,0,0.0,5,8e-06,0.0001812,4.798684597015381
BenchmarkTest00037.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,552,0.0002208,0,0.0,5,8e-06,0.0002288,4.80099081993103
BenchmarkTest00038.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,675,0.00027,0,0.0,5,8e-06,0.000278,5.184704065322876
BenchmarkTest00039.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,572,0.0002288,0,0.0,5,8e-06,0.0002368,4.88093113899231
BenchmarkTest00040.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,410,0.000164,0,0.0,5,8e-06,0.000172,4.74410343170166
BenchmarkTest00041.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,356,0.0001424,0,0.0,5,8e-06,0.0001504,4.74135160446167
BenchmarkTest00042.java,0,0,CWE-330,,,0,0,1,0,Not vulnerable,726,0.0002904,0,0.0,3,4.800000000000001e-06,0.0002952,4.7659783363342285
BenchmarkTest00043.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,435,0.000174,0,0.0,5,8e-06,0.000182,4.720876932144165
BenchmarkTest00044.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,673,0.0002692,0,0.0,5,8e-06,0.0002771999999999,4.752653360366821
BenchmarkTest00045.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-73",414,0.0001656,0,0.0,9,1.44e-05,0.00018,5.28628396987915
BenchmarkTest00046.java,1,0,CWE-328,CWE-327,0,1,0,0,0,"CWE-327,CWE-276,CWE-79",676,0.0002704,0,0.0,13,2.08e-05,0.0002912,4.918748140335083
BenchmarkTest00047.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-74,CWE-79",476,0.0001904,0,0.0,9,1.44e-05,0.0002048,5.772396802902222
BenchmarkTest00048.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,471,0.0001884,0,0.0,5,8e-06,0.0001964,4.916342735290527
BenchmarkTest00049.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,469,0.0001876,0,0.0,5,8e-06,0.0001956,4.716341733932495
BenchmarkTest00050.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-321,CWE-276,CWE-532",1158,0.0004632,0,0.0,17,2.7200000000000004e-05,0.0004904,5.382300138473511
BenchmarkTest00051.java,0,0,CWE-78,CWE-78,1,0,1,0,0,CWE-78,462,0.0001848,0,0.0,5,8e-06,0.0001928,5.058676958084106
BenchmarkTest00052.java,0,0,CWE-89,CWE-89,1,0,1,0,0,CWE-89,457,0.0001828,0,0.0,5,8e-06,0.0001908,5.557401895523071
BenchmarkTest00053.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-312,CWE-276,CWE-200",1300,0.00052,0,0.0,17,2.7200000000000004e-05,0.0005472,2.1138064861297607
BenchmarkTest00054.java,0,0,CWE-327,CWE-327,1,0,1,0,0,"CWE-321,CWE-327,CWE-312,CWE-276",1228,0.0004912,0,0.0,17,2.7200000000000004e-05,0.0005184,2.167723655700684
