file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,945,0.000378,0,0.0,5,8e-06,0.000386,8.89370059967041
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,853,0.0003412,0,0.0,5,8e-06,0.0003492,8.957473039627075
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-312,CWE-313,CWE-732",1105,0.000442,0,0.0,13,2.08e-05,0.0004628,9.033207178115845
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-321",1190,0.000476,0,0.0,9,1.44e-05,0.0004904,9.784308195114136
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,696,0.0002784,0,0.0,5,8e-06,0.0002864,9.063985586166382
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,663,0.0002652,0,0.0,5,8e-06,0.0002731999999999,8.854443073272705
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,657,0.0002628,0,0.0,5,8e-06,0.0002707999999999,9.78329873085022
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,Not vulnerable,1108,0.0004432,0,0.0,3,4.800000000000001e-06,0.000448,17.091389417648315
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,CWE-330,1057,0.0004228,0,0.0,5,8e-06,0.0004308,8.88291597366333
BenchmarkTest00011.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,652,0.0002608,0,0.0,5,8e-06,0.0002688,8.827909469604492
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,977,0.0003908,0,0.0,5,8e-06,0.0003988,8.789539813995361
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-74,CWE-79",580,0.000232,0,0.0,9,1.44e-05,0.0002464,9.095505952835085
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-74,CWE-79",575,0.00023,0,0.0,9,1.44e-05,0.0002444,9.131518363952637
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,712,0.0002848,0,0.0,5,8e-06,0.0002928,8.765253782272339
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,Not vulnerable,809,0.0003236,0,0.0,3,4.800000000000001e-06,0.0003284,8.723840236663818
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,684,0.0002736,0,0.0,5,8e-06,0.0002816,8.889734029769897
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,668,0.0002672,0,0.0,5,8e-06,0.0002751999999999,8.784101247787476
BenchmarkTest00019.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-326,CWE-312",994,0.0003976,0,0.0,13,2.08e-05,0.0004184,9.122113943099976
BenchmarkTest00020.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-321,CWE-276",1499,0.0005996,0,0.0,13,2.08e-05,0.0006204,8.916638374328613
BenchmarkTest00021.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,904,0.0003616,0,0.0,5,8e-06,0.0003696,8.88363242149353
BenchmarkTest00022.java,0,0,CWE-328,,,0,0,1,0,"CWE-276,CWE-732,CWE-200",865,0.000346,0,0.0,13,2.08e-05,0.0003668,9.120033264160156
BenchmarkTest00023.java,1,0,CWE-330,CWE-330,1,1,0,0,0,CWE-330,906,0.0003624,0,0.0,5,8e-06,0.0003704,8.810880899429321
BenchmarkTest00024.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,658,0.0002632,0,0.0,5,8e-06,0.0002712,8.735560655593872
BenchmarkTest00025.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,679,0.0002716,0,0.0,5,8e-06,0.0002796,8.68484616279602
BenchmarkTest00026.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,730,0.000292,0,0.0,5,8e-06,0.0003,8.735556364059448
BenchmarkTest00027.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,606,0.0002424,0,0.0,5,8e-06,0.0002504,8.863296270370483
BenchmarkTest00028.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,693,0.0002771999999999,0,0.0,5,8e-06,0.0002851999999999,8.867296695709229
BenchmarkTest00029.java,1,0,CWE-328,,,0,0,0,1,"CWE-321,CWE-276,CWE-532",947,0.0003788,0,0.0,13,2.08e-05,0.0003996,9.757688283920288
BenchmarkTest00030.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-74,CWE-79",548,0.0002192,0,0.0,9,1.44e-05,0.0002336,9.765192747116089
BenchmarkTest00032.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,664,0.0002656,0,0.0,5,8e-06,0.0002736,8.752360343933105
BenchmarkTest00033.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,763,0.0003052,0,0.0,5,8e-06,0.0003131999999999,9.75729775428772
BenchmarkTest00034.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,645,0.000258,0,0.0,5,8e-06,0.0002659999999999,11.836998462677002
BenchmarkTest00035.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-321,CWE-276",1105,0.000442,0,0.0,13,2.08e-05,0.0004628,9.000564813613892
BenchmarkTest00036.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,633,0.0002532,0,0.0,5,8e-06,0.0002612,8.804008483886719
BenchmarkTest00037.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,758,0.0003032,0,0.0,5,8e-06,0.0003112,8.633500337600708
BenchmarkTest00038.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,885,0.000354,0,0.0,5,8e-06,0.0003619999999999,9.045268774032593
BenchmarkTest00039.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,801,0.0003204,0,0.0,5,8e-06,0.0003284,8.881464719772339
BenchmarkTest00040.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,616,0.0002464,0,0.0,5,8e-06,0.0002544,8.798943996429443
BenchmarkTest00041.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,560,0.000224,0,0.0,5,8e-06,0.000232,8.704761981964111
BenchmarkTest00042.java,0,0,CWE-330,CWE-330,1,0,1,0,0,CWE-330,957,0.0003828,0,0.0,5,8e-06,0.0003908,17.6167471408844
BenchmarkTest00043.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,645,0.000258,0,0.0,5,8e-06,0.0002659999999999,8.80092716217041
BenchmarkTest00044.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-74",898,0.0003592,0,0.0,9,1.44e-05,0.0003736,8.999123334884644
BenchmarkTest00045.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,732,0.0002928,0,0.0,5,8e-06,0.0003008,9.006019830703735
BenchmarkTest00046.java,1,0,CWE-328,CWE-327,0,1,0,0,0,"CWE-327,CWE-276",884,0.0003536,0,0.0,9,1.44e-05,0.000368,9.103054523468018
BenchmarkTest00047.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-74,CWE-79",729,0.0002916,0,0.0,9,1.44e-05,0.000306,9.746875524520874
BenchmarkTest00048.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,719,0.0002876,0,0.0,5,8e-06,0.0002956,8.69193696975708
BenchmarkTest00049.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,722,0.0002888,0,0.0,5,8e-06,0.0002968,8.789896488189697
BenchmarkTest00050.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-321",1519,0.0006076,0,0.0,9,1.44e-05,0.000622,8.798900127410889
BenchmarkTest00051.java,0,0,CWE-78,CWE-78,1,0,1,0,0,CWE-78,669,0.0002676,0,0.0,5,8e-06,0.0002756,8.87841796875
BenchmarkTest00052.java,0,0,CWE-89,CWE-89,1,0,1,0,0,CWE-89,667,0.0002668,0,0.0,5,8e-06,0.0002748,8.999989748001099
BenchmarkTest00053.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-312",1683,0.0006732,0,0.0,9,1.44e-05,0.0006876,8.980949878692627
BenchmarkTest00054.java,0,0,CWE-327,CWE-327,1,0,1,0,0,"CWE-321,CWE-327,CWE-312",1687,0.0006748,0,0.0,13,2.08e-05,0.0006956,9.740727186203005
BenchmarkTest00055.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-312",1691,0.0006764,0,0.0,9,1.44e-05,0.0006908,9.062463283538818
BenchmarkTest00056.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-312",1776,0.0007104,0,0.0,9,1.44e-05,0.0007248,9.743714094161987
BenchmarkTest00057.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-312",1383,0.0005532,0,0.0,9,1.44e-05,0.0005676,8.988272190093994
BenchmarkTest00058.java,0,0,CWE-327,CWE-327,1,0,1,0,0,"CWE-327,CWE-312,CWE-276",1188,0.0004752,0,0.0,13,2.08e-05,0.000496,8.86459755897522
BenchmarkTest00059.java,0,0,CWE-327,CWE-327,1,0,1,0,0,"CWE-327,CWE-326",1366,0.0005463999999999,0,0.0,9,1.44e-05,0.0005608,8.803709030151367
BenchmarkTest00060.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,844,0.0003376,0,0.0,5,8e-06,0.0003456,8.663547277450562
BenchmarkTest00061.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,829,0.0003316,0,0.0,5,8e-06,0.0003396,8.66763424873352
BenchmarkTest00062.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,1060,0.000424,0,0.0,5,8e-06,0.000432,9.733358144760132
BenchmarkTest00063.java,0,0,CWE-22,,,0,0,1,0,Not vulnerable,991,0.0003964,0,0.0,3,4.800000000000001e-06,0.0004012,8.963493585586548
