model,prompting_type,cwe,direct_match_percentage,tp,fp,tn,fn,accuracy,precision,recall,f1,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
gpt-4.1-mini,zero-shot,CWE-22,1.0000,123,71,64,10,0.6978,0.6340,0.9248,0.7523,619.8619,0.0000,5.8507,0.0003,0.0690,2.8358,0
gpt-4.1-mini,zero-shot,CWE-328,0.0000,18,21,86,111,0.4407,0.4615,0.1395,0.2143,859.4619,0.0000,12.7797,0.0004,0.0860,3.0566,0
gpt-4.1-mini,zero-shot,CWE-327,0.9634,125,66,50,5,0.7114,0.6545,0.9615,0.7788,1040.8252,0.0000,14.2195,0.0004,0.1080,2.8846,0
gpt-4.1-mini,zero-shot,CWE-78,1.0000,126,91,34,0,0.6375,0.5806,1.0000,0.7347,598.3347,0.0000,5.0637,0.0002,0.0621,2.9015,0
gpt-4.1-mini,zero-shot,CWE-89,1.0000,260,159,73,12,0.6607,0.6205,0.9559,0.7525,596.3095,0.0000,4.9206,0.0002,0.1242,2.8362,0
gpt-4.1-mini,zero-shot,CWE-330,1.0000,85,4,271,133,0.7221,0.9551,0.3899,0.5537,846.3813,0.0000,47.6673,0.0004,0.2045,3.3428,0
gpt-4.1-mini,zero-shot,CWE-90,1.0000,27,15,17,0,0.7458,0.6429,1.0000,0.7826,830.2712,0.0000,5.1017,0.0003,0.0201,3.1287,0
gpt-4.1-mini,zero-shot,CWE-79,0.8866,242,146,63,4,0.6703,0.6237,0.9837,0.7634,456.9231,0.0000,5.6505,0.0002,0.0873,2.9181,0
gpt-4.1-mini,zero-shot,CWE-614,1.0000,25,6,25,11,0.7463,0.8065,0.6944,0.7463,653.5373,0.0000,9.0597,0.0003,0.0185,2.7771,0
gpt-4.1-mini,zero-shot,CWE-643,1.0000,15,12,8,0,0.6571,0.5556,1.0000,0.7143,770.1429,0.0000,4.8857,0.0003,0.0111,2.8183,0
gpt-4.1-mini,zero-shot,all,0.9450,1046,591,691,286,0.6645,0.6390,0.7853,0.7046,696.4862,0.0000,14.9132,0.0003,0.7906,2.9815,0
special-raw-filtered-gpt-4.1-mini,zero-shot,CWE-22,1.0000,133,68,67,0,0.7463,0.6617,1.0000,0.7964,889.4216,0.0000,4.5299,0.0004,0.0973,6.0218,0
special-raw-filtered-gpt-4.1-mini,zero-shot,CWE-328,0.0000,61,34,73,68,0.5678,0.6421,0.4729,0.5446,1105.7585,0.0000,9.1017,0.0005,0.1078,6.6368,0
special-raw-filtered-gpt-4.1-mini,zero-shot,CWE-327,0.9953,129,85,31,1,0.6504,0.6028,0.9923,0.7500,1413.1179,0.0000,10.0407,0.0006,0.1430,6.2661,0
special-raw-filtered-gpt-4.1-mini,zero-shot,CWE-78,1.0000,126,91,34,0,0.6375,0.5806,1.0000,0.7347,838.1076,0.0000,4.7928,0.0003,0.0861,6.4800,0
special-raw-filtered-gpt-4.1-mini,zero-shot,CWE-89,1.0000,267,148,84,5,0.6964,0.6434,0.9816,0.7773,844.8254,0.0000,4.7381,0.0003,0.1741,6.0996,0
special-raw-filtered-gpt-4.1-mini,zero-shot,CWE-330,0.8922,218,190,85,0,0.6146,0.5343,1.0000,0.6965,1116.5335,0.0000,4.7039,0.0005,0.2239,6.4283,0
special-raw-filtered-gpt-4.1-mini,zero-shot,CWE-90,1.0000,27,19,13,0,0.6780,0.5870,1.0000,0.7397,1090.1695,0.0000,4.6610,0.0004,0.0262,6.2684,0
special-raw-filtered-gpt-4.1-mini,zero-shot,CWE-79,0.8276,246,131,78,0,0.7121,0.6525,1.0000,0.7897,687.7978,0.0000,4.9956,0.0003,0.1288,6.4211,0
special-raw-filtered-gpt-4.1-mini,zero-shot,CWE-614,1.0000,33,0,31,3,0.9552,1.0000,0.9167,0.9565,911.5970,0.0000,6.1940,0.0004,0.0251,6.5653,0
special-raw-filtered-gpt-4.1-mini,zero-shot,CWE-643,1.0000,15,14,6,0,0.6000,0.5172,1.0000,0.6818,1018.8000,0.0000,4.6571,0.0004,0.0145,5.8547,0
special-raw-filtered-gpt-4.1-mini,zero-shot,all,0.8993,1255,780,502,77,0.6721,0.6167,0.9422,0.7455,959.2816,0.0000,5.6878,0.0004,1.0268,6.3227,0
