file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-200",743,3.72e-05,4800,0.00192,210,8.4e-05,0.00204115,36.01406693
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-200",634,3.17e-05,5184,0.0020736,446,0.0001784,0.0022837,36.66925645
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-200,CWE-798",904,4.52e-05,7232,0.0028928,362,0.0001448,0.0030828,45.87792063
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209,CWE-200",840,4.2e-05,6080,0.002432,349,0.0001396,0.0026136,43.51375389
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79",501,2.51e-05,2368,0.0009472,255,0.000102,0.00107425,24.89433455
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-200,CWE-209",464,2.32e-05,4672,0.0018688,433,0.0001732,0.0020652,44.75530767
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,459,2.3e-05,2944,0.0011776,414,0.0001656,0.00136615,27.25890803
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,"CWE-200,CWE-772",877,4.39e-05,5248,0.0020992,269,0.0001076,0.00225065,37.08078218
BenchmarkTest00010.java,0,0,CWE-330,,,0,0,1,0,"CWE-200,CWE-331,CWE-327",812,4.06e-05,6016,0.0024064,306,0.0001224,0.0025694,49.12510967
BenchmarkTest00011.java,1,0,CWE-22,,,0,0,0,1,CWE-200,454,2.27e-05,4864,0.0019456,270,0.000108,0.0020763,37.87546301
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",762,3.81e-05,4416,0.0017664,791,0.0003164,0.0021209,36.76036763
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134,CWE-400",387,1.94e-05,4544,0.0018176,262,0.0001048,0.00194175,34.20468378
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",384,1.92e-05,3264,0.0013056,508,0.0002032,0.001528,29.19384456
