model,prompting_type,cwe,direct_match_percentage,tp,fp,tn,fn,accuracy,precision,recall,f1,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
gpt-5-nano,zero-shot,CWE-22,0.9632,118,18,117,15,0.8769,0.8676,0.8872,0.8773,618.8619,2468.5373,15.4291,0.0010,0.2746,13.3031,0
gpt-5-nano,zero-shot,CWE-328,0.0286,96,9,98,33,0.8220,0.9143,0.7442,0.8205,858.4619,3608.9492,16.3220,0.0015,0.3524,18.2188,0
gpt-5-nano,zero-shot,CWE-327,0.9939,130,34,82,0,0.8618,0.7927,1.0000,0.8844,1039.8252,3594.6667,18.1341,0.0015,0.3683,18.9452,0
gpt-5-nano,zero-shot,CWE-78,0.7898,126,31,94,0,0.8765,0.8025,1.0000,0.8905,597.3347,2492.4303,14.3466,0.0010,0.2592,13.8433,0
gpt-5-nano,zero-shot,CWE-89,1.0000,272,51,181,0,0.8988,0.8421,1.0000,0.9143,595.3095,2031.3651,14.9345,0.0008,0.4275,11.9612,0
gpt-5-nano,zero-shot,CWE-330,0.6621,199,94,181,19,0.7708,0.6792,0.9128,0.7789,845.3813,4266.7099,16.4300,0.0018,0.8655,21.2956,0
gpt-5-nano,zero-shot,CWE-90,1.0000,27,11,21,0,0.8136,0.7105,1.0000,0.8308,829.2712,2442.8475,17.2203,0.0010,0.0605,13.5835,0
gpt-5-nano,zero-shot,CWE-79,1.0000,244,28,181,2,0.9341,0.8971,0.9919,0.9421,455.9231,1970.2154,14.4835,0.0008,0.3716,11.2291,0
gpt-5-nano,zero-shot,CWE-614,1.0000,16,0,31,20,0.7015,1.0000,0.4444,0.6154,652.5373,3118.8060,14.9701,0.0013,0.0862,16.8239,0
gpt-5-nano,zero-shot,CWE-643,1.0000,15,2,18,0,0.9429,0.8824,1.0000,0.9375,769.1429,3115.8857,14.8000,0.0013,0.0452,16.8666,0
gpt-5-nano,zero-shot,all,0.8422,1243,278,1004,89,0.8596,0.8172,0.9332,0.8714,695.4862,2872.6305,15.6094,0.0012,3.1108,15.3617,0
special-gpt-5-nano,cot,CWE-22,0.9706,118,18,117,15,0.8769,0.8676,0.8872,0.8773,648.8619,4260.6567,368.0522,0.0019,0.5049,21.6233,4
special-gpt-5-nano,cot,CWE-328,0.0342,103,43,64,26,0.7076,0.7055,0.7984,0.7491,888.4619,5847.7288,388.0975,0.0025,0.5991,28.3468,2
special-gpt-5-nano,cot,CWE-327,0.9649,121,50,66,9,0.7602,0.7076,0.9308,0.8040,1069.8252,5830.7642,379.7114,0.0025,0.6243,28.5472,1
special-gpt-5-nano,cot,CWE-78,0.7455,122,43,82,4,0.8127,0.7394,0.9683,0.8385,627.3347,4383.3625,396.4183,0.0019,0.4878,22.3777,1
special-gpt-5-nano,cot,CWE-89,1.0000,260,67,165,12,0.8433,0.7951,0.9559,0.8681,625.3095,3977.3968,350.7262,0.0018,0.8883,20.6640,0
special-gpt-5-nano,cot,CWE-330,0.7043,197,148,127,21,0.6572,0.5710,0.9037,0.6998,875.3813,6374.9128,338.5355,0.0027,1.3455,30.3340,10
special-gpt-5-nano,cot,CWE-90,1.0000,26,8,24,1,0.8475,0.7647,0.9630,0.8525,859.2712,3962.5763,406.8983,0.0018,0.1057,20.4964,0
special-gpt-5-nano,cot,CWE-79,1.0000,241,40,169,5,0.9011,0.8577,0.9797,0.9146,485.9231,3674.7253,292.8176,0.0016,0.7331,18.7280,3
special-gpt-5-nano,cot,CWE-614,1.0000,15,0,31,21,0.6866,1.0000,0.4167,0.5882,682.5373,4986.5075,343.5373,0.0022,0.1451,24.8754,3
special-gpt-5-nano,cot,CWE-643,1.0000,14,3,17,1,0.8857,0.8235,0.9333,0.8750,799.1429,4821.9429,425.0286,0.0021,0.0749,23.9349,1
special-gpt-5-nano,cot,all,0.8198,1217,420,862,115,0.7953,0.7434,0.9137,0.8198,725.4862,4825.0222,352.6913,0.0021,5.5086,23.9971,25
