file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,713,3.565e-05,384,0.0001536,14,5.600000000000001e-06,0.00019485,23.07770323753357
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-200",604,3.02e-05,512,0.0002048,18,7.2000000000000005e-06,0.0002422,22.598588705062863
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,CWE-200,874,4.3700000000000005e-05,832,0.0003328,14,5.600000000000001e-06,0.0003821,23.06656098365784
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,CWE-327,810,4.05e-05,512,0.0002048,15,6e-06,0.0002513,36.22187089920044
BenchmarkTest00006.java,1,0,CWE-78,CWE-77,0,1,0,0,0,CWE-77,471,2.355e-05,256,0.0001024,14,5.600000000000001e-06,0.00013155,18.181809186935425
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,434,2.17e-05,256,0.0001024,14,5.600000000000001e-06,0.0001297,18.01995849609375
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",429,2.1450000000000003e-05,256,0.0001024,20,8e-06,0.00013185,22.82199621200561
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,Not vulnerable,847,4.235e-05,640,0.000256,12,4.800000000000001e-06,0.0003031499999999,41.063929319381714
BenchmarkTest00010.java,0,0,CWE-330,,,0,0,1,0,CWE-200,782,3.91e-05,576,0.0002304,14,5.600000000000001e-06,0.0002751,41.0128984451294
BenchmarkTest00011.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,424,2.1200000000000004e-05,448,0.0001792,14,5.600000000000001e-06,0.000206,19.484713315963745
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,732,3.66e-05,512,0.0002048,14,5.600000000000001e-06,0.000247,19.48261666297913
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-134,CWE-79",357,1.785e-05,512,0.0002048,18,7.2000000000000005e-06,0.00022985,41.02457880973816
BenchmarkTest00014.java,1,0,CWE-79,,,0,0,0,1,CWE-134,354,1.77e-05,576,0.0002304,14,5.600000000000001e-06,0.0002537,35.27944326400757
BenchmarkTest00015.java,1,0,CWE-78,CWE-77,0,1,0,0,0,CWE-77,483,2.415e-05,448,0.0001792,14,5.600000000000001e-06,0.00020895,19.468117237091064
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,Not vulnerable,554,2.77e-05,512,0.0002048,12,4.800000000000001e-06,0.0002373,22.584405422210693
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,451,2.255e-05,704,0.0002816,14,5.600000000000001e-06,0.00030975,41.06351041793823
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,436,2.18e-05,192,7.680000000000001e-05,14,5.600000000000001e-06,0.0001042,22.567444562911987
BenchmarkTest00019.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-200",766,3.83e-05,640,0.000256,18,7.2000000000000005e-06,0.0003015,22.56944966316223
BenchmarkTest00020.java,1,0,CWE-327,CWE-327,1,1,0,0,0,CWE-327,1141,5.705e-05,576,0.0002304,14,5.600000000000001e-06,0.00029305,23.292211294174194
BenchmarkTest00021.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,673,3.365e-05,320,0.000128,14,5.600000000000001e-06,0.00016725,41.08990859985352
BenchmarkTest00022.java,0,0,CWE-328,,,0,0,1,0,"CWE-200,CWE-311",654,3.27e-05,576,0.0002304,18,7.2000000000000005e-06,0.0002703,21.05453491210937
BenchmarkTest00023.java,1,0,CWE-330,CWE-330,1,1,0,0,0,CWE-330,672,3.3600000000000004e-05,448,0.0001792,14,5.600000000000001e-06,0.0002184,40.94880247116089
BenchmarkTest00024.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,451,2.255e-05,320,0.000128,15,6e-06,0.00015655,22.82728338241577
BenchmarkTest00025.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",448,2.24e-05,384,0.0001536,18,7.2000000000000005e-06,0.0001832,35.130343437194824
BenchmarkTest00026.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-200",499,2.4950000000000003e-05,448,0.0001792,18,7.2000000000000005e-06,0.00021135,22.96586275100708
BenchmarkTest00027.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,399,1.9950000000000004e-05,192,7.680000000000001e-05,14,5.600000000000001e-06,0.00010235,40.914294958114624
