file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,713,0.00089125,768,0.00768,14,0.00014,0.00871125,30.255831003189087
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,604,0.000755,704,0.00704,14,0.00014,0.007935,41.254987716674805
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,CWE-352,874,0.0010925,1536,0.01536,14,0.00014,0.0165925,57.892990827560425
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209,CWE-400",810,0.0010125,960,0.0096,22,0.00022,0.0108324999999999,33.64292502403259
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,471,0.00058875,384,0.00384,14,0.00014,0.00456875,22.99837589263916
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-427",434,0.0005425,832,0.00832,18,0.00018,0.0090424999999999,30.716668128967285
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,429,0.00053625,384,0.00384,14,0.00014,0.00451625,19.02896475791931
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,CWE-400,847,0.00105875,1408,0.01408,14,0.00014,0.01527875,41.07308220863342
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,CWE-330,782,0.0009775,640,0.0064,14,0.00014,0.0075175,25.335989713668823
BenchmarkTest00011.java,1,0,CWE-22,,,0,0,0,1,CWE-200,424,0.00053,832,0.00832,14,0.00014,0.0089899999999999,45.2886917591095
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",732,0.000915,640,0.0064,18,0.00018,0.007495,24.85621023178101
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",357,0.00044625,512,0.00512,18,0.00018,0.00574625,28.89703345298767
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,354,0.0004425,704,0.00704,14,0.00014,0.0076225,26.007254600524902
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79",483,0.00060375,704,0.00704,18,0.00018,0.00782375,36.537803411483765
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,CWE-113,554,0.0006925,1024,0.01024,14,0.00014,0.0110725,45.05354619026184
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79,CWE-209",451,0.00056375,832,0.00832,22,0.00022,0.0091037499999999,28.872838973999023
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,436,0.000545,576,0.00576,14,0.00014,0.006445,25.49745988845825
BenchmarkTest00019.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209,CWE-400",766,0.0009575,960,0.0096,22,0.00022,0.0107774999999999,38.97354149818421
BenchmarkTest00020.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-326,CWE-209",1141,0.00142625,768,0.00768,22,0.00022,0.00932625,38.10583448410034
BenchmarkTest00021.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,673,0.00084125,576,0.00576,14,0.00014,0.00674125,31.41305565834045
BenchmarkTest00022.java,0,0,CWE-328,CWE-916,0,0,1,0,0,"CWE-400,CWE-759,CWE-916",654,0.0008175,1216,0.01216,22,0.00022,0.0131975,47.5288028717041
BenchmarkTest00023.java,1,0,CWE-330,,,0,0,0,1,Not vulnerable,672,0.00084,1280,0.0128,12,0.00012,0.01376,37.902235984802246
