model,prompting_type,cwe,direct_match_percentage,tp,fp,tn,fn,accuracy,precision,recall,f1,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
gpt-5-mini,zero-shot,CWE-22,1,125,10,125,8,0.9328,0.9259,0.9398,0.9328,618.8619,1033.0746,16.7015,0.0023,0.6041,12.7824,0
gpt-5-mini,zero-shot,CWE-328,0,107,50,57,22,0.6949,0.6815,0.8295,0.7483,858.4619,2066.7119,18.4703,0.0044,1.0349,21.7078,0
gpt-5-mini,zero-shot,CWE-327,1,129,30,86,1,0.874,0.8113,0.9923,0.8927,1039.8252,2031.3496,19.7846,0.0044,1.0731,21.8925,0
gpt-5-mini,zero-shot,CWE-78,1,119,17,108,7,0.9044,0.875,0.9444,0.9084,597.3347,937.0518,14.8008,0.0021,0.5153,11.9669,0
gpt-5-mini,zero-shot,CWE-89,1,272,39,193,0,0.9226,0.8746,1,0.9331,595.3095,1057.6508,15.9405,0.0023,1.1572,13.9376,0
gpt-5-mini,zero-shot,CWE-330,0.6389,216,108,167,2,0.7769,0.6667,0.9908,0.797,845.3813,1902.4746,16.7789,0.004,1.9966,20.5657,0
gpt-5-mini,zero-shot,CWE-90,1,27,5,27,0,0.9153,0.8438,1,0.9153,829.2712,1009.8983,18.1356,0.0023,0.1335,12.0783,0
gpt-5-mini,zero-shot,CWE-79,1,246,38,171,0,0.9165,0.8662,1,0.9283,455.9231,768.422,14.3868,0.0017,0.7642,9.6465,0
gpt-5-mini,zero-shot,CWE-614,1,30,0,31,6,0.9104,1,0.8333,0.9091,652.5373,1595.2239,16.9254,0.0034,0.227,18.9365,0
gpt-5-mini,zero-shot,CWE-643,1,15,2,18,0,0.9429,0.8824,1,0.9375,769.1429,1201.3714,13.4,0.0026,0.0918,13.6664,0
gpt-5-mini,zero-shot,all,0.8271,1286,299,983,46,0.868,0.8114,0.9655,0.8817,695.4862,1349.9005,16.4277,0.0029,7.5977,15.6657,0
gpt-5-nano,zero-shot,CWE-22,0.9632,118,18,117,15,0.8769,0.8676,0.8872,0.8773,618.8619,2468.5373,15.4291,0.001,0.2746,13.3031,0
gpt-5-nano,zero-shot,CWE-328,0.0286,96,9,98,33,0.822,0.9143,0.7442,0.8205,858.4619,3608.9492,16.322,0.0015,0.3524,18.2188,0
gpt-5-nano,zero-shot,CWE-327,0.9939,130,34,82,0,0.8618,0.7927,1,0.8844,1039.8252,3594.6667,18.1341,0.0015,0.3683,18.9452,0
gpt-5-nano,zero-shot,CWE-78,0.7898,126,31,94,0,0.8765,0.8025,1,0.8905,597.3347,2492.4303,14.3466,0.001,0.2592,13.8433,0
gpt-5-nano,zero-shot,CWE-89,1,272,51,181,0,0.8988,0.8421,1,0.9143,595.3095,2031.3651,14.9345,0.0008,0.4275,11.9612,0
gpt-5-nano,zero-shot,CWE-330,0.6621,199,94,181,19,0.7708,0.6792,0.9128,0.7789,845.3813,4266.7099,16.43,0.0018,0.8655,21.2956,0
gpt-5-nano,zero-shot,CWE-90,1,27,11,21,0,0.8136,0.7105,1,0.8308,829.2712,2442.8475,17.2203,0.001,0.0605,13.5835,0
gpt-5-nano,zero-shot,CWE-79,1,244,28,181,2,0.9341,0.8971,0.9919,0.9421,455.9231,1970.2154,14.4835,0.0008,0.3716,11.2291,0
gpt-5-nano,zero-shot,CWE-614,1,16,0,31,20,0.7015,1,0.4444,0.6154,652.5373,3118.806,14.9701,0.0013,0.0862,16.8239,0
gpt-5-nano,zero-shot,CWE-643,1,15,2,18,0,0.9429,0.8824,1,0.9375,769.1429,3115.8857,14.8,0.0013,0.0452,16.8666,0
gpt-5-nano,zero-shot,all,0.8422,1243,278,1004,89,0.8596,0.8172,0.9332,0.8714,695.4862,2872.6305,15.6094,0.0012,3.1108,15.3617,0
gpt-5,zero-shot,CWE-22,1,107,7,128,26,0.8769,0.9386,0.8045,0.8664,618.8619,2410.9851,14.541,0.025,6.7077,58.5382,0
gpt-5,zero-shot,CWE-328,0.3028,88,21,86,41,0.7373,0.8073,0.6822,0.7395,858.4619,3774.6441,16.7203,0.039,9.2009,87.8037,0
gpt-5,zero-shot,CWE-327,1,115,24,92,15,0.8415,0.8273,0.8846,0.855,1039.8252,4088.7154,15.7073,0.0423,10.4166,96.138,0
gpt-5,zero-shot,CWE-78,1,121,13,112,5,0.9283,0.903,0.9603,0.9308,597.3347,2442.7092,13.9442,0.0253,6.3536,59.2165,0
