scan,cwe,direct_match_percentage,tp,fp,tn,fn,accuracy,precision,recall,f1
snyk-cleaned-filtered,CWE-22,0.0000,118,94,41,15,0.5933,0.5566,0.8872,0.6841
snyk-cleaned-filtered,CWE-328,0.0000,89,0,107,40,0.8305,1.0000,0.6899,0.8165
snyk-cleaned-filtered,CWE-327,1.0000,130,0,116,0,1.0000,1.0000,1.0000,1.0000
snyk-cleaned-filtered,CWE-78,1.0000,115,71,54,11,0.6733,0.6183,0.9127,0.7372
snyk-cleaned-filtered,CWE-89,1.0000,196,112,120,76,0.6270,0.6364,0.7206,0.6759
snyk-cleaned-filtered,CWE-330,1.0000,218,23,252,0,0.9533,0.9046,1.0000,0.9499
snyk-cleaned-filtered,CWE-90,1.0000,24,17,15,3,0.6610,0.5854,0.8889,0.7059
snyk-cleaned-filtered,CWE-79,1.0000,220,115,94,26,0.6901,0.6567,0.8943,0.7573
snyk-cleaned-filtered,CWE-614,1.0000,36,0,31,0,1.0000,1.0000,1.0000,1.0000
snyk-cleaned-filtered,CWE-643,1.0000,14,12,8,1,0.6286,0.5385,0.9333,0.6829
snyk-cleaned-filtered,all,0.8123,1160,444,838,172,0.7643,0.7232,0.8709,0.7902
snyk-raw-filtered,CWE-22,0.0000,118,60,75,15,0.7201,0.6629,0.8872,0.7588
snyk-raw-filtered,CWE-328,0.0000,89,0,107,40,0.8305,1.0000,0.6899,0.8165
snyk-raw-filtered,CWE-327,1.0000,130,0,116,0,1.0000,1.0000,1.0000,1.0000
snyk-raw-filtered,CWE-78,1.0000,115,40,85,11,0.7968,0.7419,0.9127,0.8185
snyk-raw-filtered,CWE-89,1.0000,255,82,150,17,0.8036,0.7567,0.9375,0.8374
snyk-raw-filtered,CWE-330,1.0000,218,0,275,0,1.0000,1.0000,1.0000,1.0000
snyk-raw-filtered,CWE-90,1.0000,24,12,20,3,0.7458,0.6667,0.8889,0.7619
snyk-raw-filtered,CWE-79,1.0000,220,46,163,26,0.8418,0.8271,0.8943,0.8594
snyk-raw-filtered,CWE-614,1.0000,36,0,31,0,1.0000,1.0000,1.0000,1.0000
snyk-raw-filtered,CWE-643,1.0000,14,5,15,1,0.8286,0.7368,0.9333,0.8235
snyk-raw-filtered,all,0.8176,1219,245,1037,113,0.8630,0.8327,0.9152,0.8720
