model,prompting_type,cwe,tp,fp,tn,fn,accuracy,precision,recall,f1,tp_fpm,fp_fpm,tn_fpm,fn_fpm,recall_fpm,specificity_fpm,precision_fpm,bal_accuracy_fpm,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
DeepSeek-V3-0324,cot,CWE-22,118,79,56,15,0.6493,0.5990,0.8872,0.7152,118,79,15,0,1.0000,0.1596,0.5990,0.5798,1365.7453,0.0000,328.6462,0.0035,0.7477,5.4028,0
DeepSeek-V3-0324,cot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,1349.0449,0.0000,270.6067,0.0032,0.2881,4.5167,0
DeepSeek-V3-0324,cot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,1506.7538,0.0000,277.0385,0.0035,0.4551,4.8660,0
DeepSeek-V3-0324,cot,CWE-78,115,63,62,11,0.7052,0.6461,0.9127,0.7566,115,63,8,0,1.0000,0.1127,0.6461,0.5563,1057.6129,0.0000,342.2312,0.0031,0.5824,5.4860,0
DeepSeek-V3-0324,cot,CWE-89,195,101,131,76,0.6481,0.6588,0.7196,0.6878,195,101,11,0,1.0000,0.0982,0.6588,0.5491,1025.8994,0.0000,314.5032,0.0030,0.9109,4.8377,1
DeepSeek-V3-0324,cot,CWE-330,218,5,269,0,0.9898,0.9776,1.0000,0.9887,218,5,17,0,1.0000,0.7727,0.9776,0.8864,1340.9876,0.0000,296.3610,0.0033,0.8056,4.7846,1
DeepSeek-V3-0324,cot,CWE-90,24,15,17,3,0.6949,0.6154,0.8889,0.7273,24,15,2,0,1.0000,0.1176,0.6154,0.5588,1336.5610,0.0000,334.8049,0.0035,0.1440,5.0758,0
DeepSeek-V3-0324,cot,CWE-79,220,75,134,26,0.7780,0.7458,0.8943,0.8133,220,75,40,0,1.0000,0.3478,0.7458,0.6739,1381.3701,0.0000,354.0119,0.0037,1.2280,5.3219,0
DeepSeek-V3-0324,cot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,1082.4722,0.0000,302.6944,0.0030,0.1076,4.7904,0
DeepSeek-V3-0324,cot,CWE-643,14,12,8,1,0.6286,0.5385,0.9333,0.6829,14,12,0,0,1.0000,0.0000,0.5385,0.5000,1174.0000,0.0000,332.2308,0.0033,0.0847,5.4238,0
DeepSeek-V3-0324,cot,all,1159,350,931,172,0.8002,0.7681,0.8708,0.8162,1159,350,93,0,1.0000,0.2099,0.7681,0.6050,1264.5904,0.0000,320.1827,0.0033,5.3541,5.0797,2
DeepSeek-V3-0324,few-shot,CWE-22,118,92,42,15,0.5993,0.5619,0.8872,0.6880,118,92,1,0,1.0000,0.0108,0.5619,0.5054,2510.2877,0.0000,3.9764,0.0037,0.7941,1.7423,1
DeepSeek-V3-0324,few-shot,CWE-328,88,0,107,41,0.8263,1.0000,0.6822,0.8111,88,0,0,1,0.9888,0.0000,1.0000,0.4944,2505.0449,0.0000,3.9888,0.0037,0.3327,1.5436,0
DeepSeek-V3-0324,few-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,2662.7538,0.0000,4.0000,0.0040,0.5164,1.4277,0
