file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1452,0.0021562200000000004,0,0.0,294,0.00134064,0.00349686,4.663219928741455
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1344,0.00199584,0,0.0,325,0.0014819999999999998,0.00347784,5.153505802154541
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1237,0.0018369450000000002,0,0.0,276,0.00125856,0.003095505,5.165773391723633
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,937,0.0013914450000000003,0,0.0,351,0.00160056,0.0029920050000000003,5.92906379699707
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,851,0.0012637350000000002,0,0.0,300,0.0013679999999999999,0.002631735,4.920808792114258
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,857,0.001272645,0,0.0,338,0.00154128,0.002813925,5.631149053573608
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1157,0.0017181450000000001,0,0.0,362,0.0016507199999999998,0.003368865,4.447239398956299
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1241,0.0018428850000000003,0,0.0,297,0.00135432,0.0031972050000000003,3.943906545639038
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1275,0.0018933750000000003,0,0.0,356,0.00162336,0.003516735,5.082801342010498
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1268,0.00188298,0,0.0,334,0.00152304,0.00340602,5.274663925170898
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,950,0.00141075,0,0.0,296,0.00134976,0.00276051,4.703672409057617
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
