file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2790,0.000837,773,0.0019325,2,5e-06,0.0027744999999999996,4.955115795135498
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2654,0.0007962,940,0.00235,2,5e-06,0.0031512,5.679003715515137
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2545,0.0007635,276,0.00069,2,5e-06,0.0014585,3.112366199493408
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2213,0.0006638999999999999,642,0.001605,2,5e-06,0.0022738999999999997,4.445156812667847
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2091,0.0006272999999999999,2071,0.0051775,2,5e-06,0.0058097999999999995,11.204972267150879
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2096,0.0006288,601,0.0015025,2,5e-06,0.0021363,4.4786903858184814
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2432,0.0007296000000000001,680,0.0017,2,5e-06,0.0024346,5.19003963470459
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2507,0.0007521,759,0.0018975,2,5e-06,0.0026546,4.833288908004761
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2504,0.0007511999999999999,819,0.0020475,2,5e-06,0.0028036999999999997,5.9083311557769775
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2499,0.0007497,775,0.0019375,2,5e-06,0.0026921999999999996,5.125598192214966
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2227,0.0006681,774,0.001935,2,5e-06,0.0026081,4.087653398513794
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2181,0.0006542999999999999,551,0.0013775,2,5e-06,0.0020367999999999996,2.8184762001037598
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2103,0.0006309,705,0.0017625,2,5e-06,0.0023983999999999998,3.6272644996643066
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2481,0.0007442999999999999,196,0.00049,2,5e-06,0.0012392999999999998,2.4381508827209473
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2958,0.0008874,196,0.00049,2,5e-06,0.0013824,1.317927598953247
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2432,0.0007296000000000001,572,0.00143,2,5e-06,0.0021646,3.0376102924346924
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2481,0.0007442999999999999,456,0.00114,2,5e-06,0.0018892999999999998,2.4254016876220703
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2126,0.0006378,687,0.0017175,2,5e-06,0.0023603,3.493121385574341
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2057,0.0006171,481,0.0012025,2,5e-06,0.0018246,2.4709880352020264
BenchmarkTest00028.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2474,0.0007421999999999999,599,0.0014975,2,5e-06,0.0022446999999999996,3.009392023086548
BenchmarkTest00029.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00030.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2490,0.000747,852,0.00213,2,5e-06,0.002882,4.56989312171936
BenchmarkTest00032.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00033.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00034.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2106,0.0006318,686,0.001715,2,5e-06,0.0023518,3.4544880390167236
BenchmarkTest00035.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2616,0.0007848,401,0.0010025,2,5e-06,0.0017923,2.231945037841797
BenchmarkTest00036.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2589,0.0007767,825,0.0020625,2,5e-06,0.0028442,4.691207408905029
BenchmarkTest00037.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2245,0.0006735,785,0.0019625,2,5e-06,0.0026409999999999997,3.6222915649414062
BenchmarkTest00038.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2415,0.0007245,819,0.0020475,2,5e-06,0.0027769999999999995,4.140795469284058
BenchmarkTest00039.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00040.java,0,CWE-22,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00041.java,0,CWE-79,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00042.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00043.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00044.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2435,0.0007305,614,0.001535,2,5e-06,0.0022705,3.9032821655273438
BenchmarkTest00045.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2411,0.0007233,766,0.001915,2,5e-06,0.0026433,3.7073073387145996
BenchmarkTest00046.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,2441,0.0007323,263,0.0006575,2,5e-06,0.0013948,1.9161252975463867
BenchmarkTest00047.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2634,0.0007901999999999999,892,0.00223,2,5e-06,0.0030252,4.613307476043701
BenchmarkTest00048.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2628,0.0007884,543,0.0013575,2,5e-06,0.0021509,3.228050470352173
BenchmarkTest00049.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2625,0.0007875,452,0.00113,2,5e-06,0.0019225,2.877985715866089
BenchmarkTest00050.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2983,0.0008949,211,0.0005275,2,5e-06,0.0014274,2.6473050117492676
BenchmarkTest00051.java,0,CWE-78,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00052.java,0,CWE-89,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00053.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,3159,0.0009476999999999999,215,0.0005375,2,5e-06,0.0014902,2.996288776397705
BenchmarkTest00054.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00055.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,3189,0.0009566999999999999,257,0.0006425,2,5e-06,0.0016041999999999999,3.1186859607696533
BenchmarkTest00056.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,3275,0.0009825,236,0.00059,2,5e-06,0.0015775000000000001,3.1701111793518066
BenchmarkTest00057.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2787,0.0008361,311,0.0007775,2,5e-06,0.0016186,3.3083901405334473
BenchmarkTest00058.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00059.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00060.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2706,0.0008118,1109,0.0027725,2,5e-06,0.0035892999999999997,7.045627117156982
BenchmarkTest00061.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2684,0.0008052,1130,0.002825,2,5e-06,0.0036351999999999995,6.108316659927368
BenchmarkTest00062.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2919,0.0008757,767,0.0019175,2,5e-06,0.0027982,3.553170680999756
BenchmarkTest00063.java,0,CWE-22,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00064.java,0,CWE-22,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00065.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2898,0.0008694,1011,0.0025275,2,5e-06,0.0034018999999999994,4.56850266456604
BenchmarkTest00066.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2750,0.000825,568,0.00142,2,5e-06,0.00225,2.9787580966949463
BenchmarkTest00067.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,3070,0.000921,509,0.0012725,2,5e-06,0.0021985,2.7232449054718018
BenchmarkTest00068.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2742,0.0008226,557,0.0013925,2,5e-06,0.0022201,2.840522289276123
BenchmarkTest00069.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00070.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,2770,0.000831,480,0.0012,2,5e-06,0.0020359999999999996,2.630823850631714
BenchmarkTest00071.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,2777,0.0008331,735,0.0018375,2,5e-06,0.0026755999999999998,3.9426517486572266
BenchmarkTest00072.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00073.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,2746,0.0008238,368,0.00092,2,5e-06,0.0017488,3.4568920135498047
BenchmarkTest00074.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00075.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00076.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
