file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1596,0.00047879999999999993,616,0.00154,2,5e-06,0.0020237999999999996,3.328467845916748
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1460,0.000438,768,0.00192,2,5e-06,0.0023629999999999996,3.5975067615509033
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1351,0.0004053,188,0.00047,2,5e-06,0.0008803,1.4497225284576416
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,1019,0.0003057,764,0.00191,2,5e-06,0.0022207,4.239310026168823
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,897,0.0002691,2126,0.005315,2,5e-06,0.0055891,12.054522514343262
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,902,0.00027059999999999996,668,0.00167,2,5e-06,0.0019456,3.7716245651245117
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1238,0.0003714,3331,0.0083275,2,5e-06,0.008703899999999999,15.482041835784912
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1313,0.0003939,632,0.00158,2,5e-06,0.0019788999999999996,3.5143306255340576
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1310,0.000393,1390,0.003475,2,5e-06,0.0038729999999999997,6.90897798538208
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1305,0.0003915,930,0.002325,2,5e-06,0.0027214999999999995,5.305042505264282
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,1033,0.0003099,718,0.001795,2,5e-06,0.0021098999999999996,4.018409967422485
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,987,0.0002961,751,0.0018775,2,5e-06,0.0021785999999999997,4.164635419845581
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,909,0.0002727,472,0.00118,2,5e-06,0.0014577000000000001,2.8736467361450195
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1287,0.00038609999999999995,212,0.00053,2,5e-06,0.0009211,1.5186262130737305
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1764,0.0005292,257,0.0006425,2,5e-06,0.0011767,1.6376616954803467
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1238,0.0003714,638,0.001595,2,5e-06,0.0019714,3.780824661254883
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1287,0.00038609999999999995,420,0.00105,2,5e-06,0.0014410999999999998,2.3722925186157227
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,932,0.00027959999999999997,384,0.00096,2,5e-06,0.0012446,3.137571096420288
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,863,0.00025889999999999995,446,0.001115,2,5e-06,0.0013789,3.4765634536743164
BenchmarkTest00028.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1280,0.000384,651,0.0016275,2,5e-06,0.0020165,4.5160441398620605
BenchmarkTest00029.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00030.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1296,0.0003888,918,0.002295,2,5e-06,0.0026888,5.584286212921143
BenchmarkTest00032.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00033.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
