file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2790,0.0034875,1057,0.01057,2,2e-05,0.0140775,9.457146406173706
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2654,0.0033175,710,0.0071,2,2e-05,0.010437499999999999,8.214466571807861
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2545,0.00318125,551,0.00551,2,2e-05,0.00871125,5.833062410354614
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2213,0.00276625,761,0.00761,2,2e-05,0.01039625,7.3567726612091064
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2091,0.00261375,1037,0.01037,2,2e-05,0.01300375,9.62228775024414
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2096,0.00262,928,0.00928,2,2e-05,0.01192,9.022250175476074
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,2432,0.00304,831,0.00831,2,2e-05,0.011369999999999998,8.319024801254272
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2507,0.00313375,747,0.00747,2,2e-05,0.01062375,7.415407657623291
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2504,0.00313,1006,0.01006,2,2e-05,0.01321,9.78765344619751
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2499,0.00312375,939,0.00939,2,2e-05,0.01253375,9.148093461990356
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2227,0.00278375,900,0.009,2,2e-05,0.011803749999999998,9.348811388015747
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2181,0.00272625,764,0.00764,2,2e-05,0.01038625,7.413960218429565
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2103,0.00262875,806,0.00806,2,2e-05,0.01070875,7.723167419433594
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2481,0.00310125,580,0.0058,2,2e-05,0.008921249999999999,6.176677703857422
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2958,0.0036975,374,0.00374,2,2e-05,0.0074575,3.817654848098755
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2432,0.00304,645,0.00645,2,2e-05,0.00951,6.256714582443237
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2481,0.00310125,607,0.00607,2,2e-05,0.009191249999999998,5.724401235580444
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2126,0.0026575,791,0.00791,2,2e-05,0.0105875,7.737699747085571
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2057,0.00257125,546,0.00546,2,2e-05,0.00805125,5.172496318817139
BenchmarkTest00028.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2474,0.0030925,682,0.00682,2,2e-05,0.009932499999999999,7.382833957672119
BenchmarkTest00029.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00030.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2490,0.0031125,1017,0.01017,2,2e-05,0.013302499999999998,9.82987928390503
BenchmarkTest00032.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00033.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00034.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2106,0.0026325,681,0.00681,2,2e-05,0.009462499999999999,6.568504810333252
BenchmarkTest00035.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2616,0.00327,821,0.00821,2,2e-05,0.0115,7.780898809432983
BenchmarkTest00036.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2589,0.00323625,850,0.0085,2,2e-05,0.01175625,8.16676139831543
BenchmarkTest00037.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2245,0.00280625,810,0.0081,2,2e-05,0.010926249999999998,7.520129680633545
BenchmarkTest00038.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2415,0.00301875,851,0.00851,2,2e-05,0.01154875,7.754244804382324
BenchmarkTest00039.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00040.java,0,CWE-22,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00041.java,0,CWE-79,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00042.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00043.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00044.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2435,0.00304375,679,0.00679,2,2e-05,0.00985375,8.094970464706421
BenchmarkTest00045.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2411,0.00301375,733,0.00733,2,2e-05,0.010363749999999998,7.579845905303955
BenchmarkTest00046.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,2441,0.00305125,576,0.00576,2,2e-05,0.008831249999999999,7.950362682342529
BenchmarkTest00047.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2634,0.0032925,1071,0.01071,2,2e-05,0.0140225,11.509518384933472
BenchmarkTest00048.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2628,0.003285,947,0.00947,2,2e-05,0.012774999999999998,8.89829707145691
BenchmarkTest00049.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2625,0.00328125,928,0.00928,2,2e-05,0.012581249999999999,8.914210796356201
BenchmarkTest00050.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2983,0.00372875,394,0.00394,2,2e-05,0.00768875,4.33897066116333
BenchmarkTest00051.java,0,CWE-78,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00052.java,0,CWE-89,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00053.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,3159,0.00394875,455,0.00455,2,2e-05,0.008518749999999999,5.677531480789185
BenchmarkTest00054.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00055.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,3189,0.00398625,591,0.00591,2,2e-05,0.00991625,6.3916449546813965
BenchmarkTest00056.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,3275,0.00409375,374,0.00374,2,2e-05,0.00785375,4.048622131347656
BenchmarkTest00057.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2787,0.00348375,471,0.00471,2,2e-05,0.008213749999999999,5.254660606384277
BenchmarkTest00058.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00059.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00060.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2706,0.0033825,937,0.00937,2,2e-05,0.012772499999999999,9.172502040863037
BenchmarkTest00061.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2684,0.003355,1398,0.01398,2,2e-05,0.017355,13.442952632904053
BenchmarkTest00062.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2919,0.00364875,1081,0.01081,2,2e-05,0.014478749999999999,11.228821277618408
BenchmarkTest00063.java,0,CWE-22,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00064.java,0,CWE-22,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00065.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2898,0.0036225,992,0.00992,2,2e-05,0.013562499999999998,9.096655130386353
BenchmarkTest00066.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2750,0.0034375,813,0.00813,2,2e-05,0.011587499999999999,7.94736123085022
BenchmarkTest00067.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,3070,0.0038375,655,0.00655,2,2e-05,0.0104075,7.427802801132202
BenchmarkTest00068.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2742,0.0034275,722,0.00722,2,2e-05,0.0106675,7.438800573348999
BenchmarkTest00069.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00070.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,2770,0.0034625,618,0.00618,2,2e-05,0.0096625,7.186686277389526
BenchmarkTest00071.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,2777,0.00347125,837,0.00837,2,2e-05,0.01186125,10.325886249542236
BenchmarkTest00072.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00073.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,2746,0.0034325,809,0.00809,2,2e-05,0.011542499999999999,8.439682006835938
BenchmarkTest00074.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00075.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00076.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00077.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2518,0.0031475,946,0.00946,2,2e-05,0.0126275,9.304067373275757
BenchmarkTest00078.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2775,0.00346875,735,0.00735,2,2e-05,0.01083875,7.622501611709595
BenchmarkTest00079.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2839,0.00354875,603,0.00603,2,2e-05,0.00959875,5.70471715927124
BenchmarkTest00080.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2719,0.00339875,698,0.00698,2,2e-05,0.010398749999999998,7.1355156898498535
BenchmarkTest00081.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2702,0.0033775,632,0.00632,2,2e-05,0.009717499999999999,6.660677671432495
BenchmarkTest00082.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2712,0.00339,755,0.00755,2,2e-05,0.01096,6.864967584609985
BenchmarkTest00083.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2732,0.003415,868,0.00868,2,2e-05,0.012114999999999999,7.83364462852478
BenchmarkTest00084.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2712,0.00339,579,0.00579,2,2e-05,0.0092,6.22362756729126
BenchmarkTest00085.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2799,0.00349875,742,0.00742,2,2e-05,0.01093875,6.772989511489868
BenchmarkTest00086.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2726,0.0034075,823,0.00823,2,2e-05,0.011657499999999998,7.894064426422119
BenchmarkTest00087.java,0,CWE-614,CWE-614,1,0,1,0,0,0,1,0,0,0,2509,0.00313625,1471,0.01471,2,2e-05,0.01786625,33.80581021308899
BenchmarkTest00088.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00089.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00090.java,0,CWE-78,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00091.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2293,0.00286625,1560,0.0156,2,2e-05,0.01848625,34.45427966117859
BenchmarkTest00092.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2402,0.0030025,1704,0.01704,2,2e-05,0.020062499999999997,32.53877282142639
BenchmarkTest00093.java,0,CWE-78,CWE-78,1,1,0,1,0,0,0,0,1,0,2476,0.003095,1266,0.01266,2,2e-05,0.015774999999999997,11.480005502700806
BenchmarkTest00094.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00095.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00096.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00100.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2476,0.003095,940,0.0094,2,2e-05,0.012515,8.863158941268921
BenchmarkTest00101.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2399,0.00299875,971,0.00971,2,2e-05,0.012728749999999999,8.882389545440674
BenchmarkTest00102.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00103.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00104.java,0,CWE-89,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00105.java,0,CWE-89,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00106.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2385,0.00298125,930,0.0093,2,2e-05,0.012301249999999998,8.381909847259521
BenchmarkTest00107.java,0,CWE-89,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00108.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2411,0.00301375,812,0.00812,2,2e-05,0.01115375,8.940256834030151
