file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1596,0.001995,1229,0.01229,2,2e-05,0.014305,10.780312538146973
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1460,0.001825,888,0.00888,2,2e-05,0.010725,8.311801433563232
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1351,0.00168875,551,0.00551,2,2e-05,0.00721875,5.803423881530762
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,1019,0.00127375,1124,0.01124,2,2e-05,0.01253375,10.540382623672485
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,897,0.00112125,1872,0.01872,2,2e-05,0.01986125,17.990728855133057
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,902,0.0011275,886,0.00886,2,2e-05,0.010007499999999999,7.968020915985107
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,1238,0.0015475,1641,0.01641,2,2e-05,0.0179775,14.529650211334229
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1313,0.00164125,711,0.00711,2,2e-05,0.00877125,7.3819379806518555
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1310,0.0016375,1137,0.01137,2,2e-05,0.0130275,10.326209783554077
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1305,0.00163125,1274,0.01274,2,2e-05,0.01439125,11.154335260391235
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,1033,0.00129125,1179,0.01179,2,2e-05,0.01310125,11.154831886291504
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,987,0.00123375,1000,0.01,2,2e-05,0.01125375,10.029298782348633
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,909,0.00113625,924,0.00924,2,2e-05,0.01039625,8.334905862808228
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1287,0.00160875,457,0.00457,2,2e-05,0.00619875,4.514730453491211
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1764,0.002205,425,0.00425,2,2e-05,0.006475000000000001,4.247777223587036
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1238,0.0015475,694,0.00694,2,2e-05,0.0085075,6.414672136306763
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1287,0.00160875,579,0.00579,2,2e-05,0.00741875,5.3553626537323
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,932,0.001165,677,0.00677,2,2e-05,0.007954999999999999,6.243750095367432
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,863,0.00107875,557,0.00557,2,2e-05,0.00666875,5.704278469085693
