file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1439,0.0005756,0,0.0,408,0.0006528,0.0012284000000000002,10.301769733428955
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1331,0.0005323999999999999,0,0.0,427,0.0006832,0.0012155999999999998,7.234960556030273
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1213,0.00048520000000000003,0,0.0,494,0.0007904000000000001,0.0012756000000000002,9.70858645439148
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,933,0.00037320000000000007,0,0.0,596,0.0009536,0.0013268,10.819737434387207
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,844,0.0003376,0,0.0,567,0.0009072,0.0012448000000000001,10.140202522277832
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,844,0.0003376,0,0.0,441,0.0007056,0.0010432,9.155402898788452
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1155,0.000462,0,0.0,491,0.0007856,0.0012476,11.370775699615479
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1167,0.0004668,0,0.0,510,0.000816,0.0012828,9.571564435958862
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1263,0.0005052,0,0.0,566,0.0009056,0.0014108,11.303306579589844
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1260,0.000504,0,0.0,577,0.0009232,0.0014272,11.807413816452026
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,945,0.000378,0,0.0,593,0.0009488000000000001,0.0013268000000000002,8.21705675125122
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,913,0.00036520000000000004,0,0.0,443,0.0007088000000000001,0.001074,6.94352912902832
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,851,0.00034040000000000003,0,0.0,425,0.00068,0.0010204,7.516993761062622
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1162,0.0004648,0,0.0,420,0.000672,0.0011367999999999999,6.396650075912476
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1544,0.0006176,0,0.0,402,0.0006432,0.0012608,7.554097414016724
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1108,0.00044320000000000004,0,0.0,523,0.0008368000000000001,0.00128,7.860382318496704
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1187,0.0004748,0,0.0,362,0.0005792000000000001,0.001054,5.551999568939209
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,866,0.0003464,0,0.0,456,0.0007296000000000001,0.0010760000000000001,8.092503309249878
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,814,0.0003256,0,0.0,313,0.0005008,0.0008264,6.2619757652282715
BenchmarkTest00028.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1192,0.0004768,0,0.0,403,0.0006448000000000001,0.0011216,6.807530641555786
BenchmarkTest00029.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00030.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1253,0.0005012,0,0.0,412,0.0006592000000000001,0.0011604000000000002,6.519550085067749
BenchmarkTest00032.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00033.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
