file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2558,0.0010232000000000002,0,0.0,4,6.4000000000000006e-06,0.0010296,2.517634153366089
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2450,0.00098,0,0.0,4,6.4000000000000006e-06,0.0009864,2.8816823959350586
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2332,0.0009328000000000001,0,0.0,4,6.4000000000000006e-06,0.0009392000000000002,1.811635971069336
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2052,0.0008208000000000001,0,0.0,4,6.4000000000000006e-06,0.0008272000000000002,2.4881086349487305
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,1963,0.0007852,0,0.0,4,6.4000000000000006e-06,0.0007916,2.3971457481384277
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1963,0.0007852,0,0.0,4,6.4000000000000006e-06,0.0007916,2.5960545539855957
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2274,0.0009096,0,0.0,4,6.4000000000000006e-06,0.000916,2.5594639778137207
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2286,0.0009144000000000001,0,0.0,4,6.4000000000000006e-06,0.0009208000000000002,2.483721971511841
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2382,0.0009528000000000001,0,0.0,4,6.4000000000000006e-06,0.0009592000000000001,2.495483636856079
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2379,0.0009516,0,0.0,4,6.4000000000000006e-06,0.0009580000000000001,2.957099676132202
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2064,0.0008256,0,0.0,4,6.4000000000000006e-06,0.0008320000000000001,2.055363655090332
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2032,0.0008128,0,0.0,4,6.4000000000000006e-06,0.0008192000000000001,1.3382999897003174
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1970,0.000788,0,0.0,4,6.4000000000000006e-06,0.0007944,1.1859638690948486
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2281,0.0009124000000000001,0,0.0,4,6.4000000000000006e-06,0.0009188000000000001,1.3033843040466309
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2663,0.0010652,0,0.0,4,6.4000000000000006e-06,0.0010716,1.1452770233154297
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2227,0.0008908000000000001,0,0.0,4,6.4000000000000006e-06,0.0008972000000000001,1.214613676071167
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2306,0.0009224000000000001,0,0.0,4,6.4000000000000006e-06,0.0009288000000000001,1.2543764114379883
