file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1421,0.0005683999999999999,0,0.0,4,6.4000000000000006e-06,0.0005748,0.918541431427002
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1313,0.0005252000000000001,0,0.0,4,6.4000000000000006e-06,0.0005316000000000001,0.8750784397125244
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1195,0.000478,0,0.0,4,6.4000000000000006e-06,0.0004844,0.8674707412719727
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,915,0.000366,0,0.0,4,6.4000000000000006e-06,0.0003724,0.9952993392944336
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,826,0.0003304,0,0.0,4,6.4000000000000006e-06,0.0003368,0.9877238273620605
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,826,0.0003304,0,0.0,4,6.4000000000000006e-06,0.0003368,0.927278995513916
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1137,0.0004548,0,0.0,4,6.4000000000000006e-06,0.0004612,0.8674654960632324
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1149,0.0004596,0,0.0,4,6.4000000000000006e-06,0.000466,0.8703522682189941
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1245,0.000498,0,0.0,4,6.4000000000000006e-06,0.0005044,0.8693394660949707
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1242,0.0004968,0,0.0,4,6.4000000000000006e-06,0.0005032000000000001,0.905353307723999
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,927,0.0003708,0,0.0,4,6.4000000000000006e-06,0.0003772,0.5167930126190186
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,895,0.000358,0,0.0,4,6.4000000000000006e-06,0.00036439999999999997,0.3717341423034668
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,833,0.0003332,0,0.0,4,6.4000000000000006e-06,0.0003396,0.40688037872314453
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1144,0.0004576,0,0.0,4,6.4000000000000006e-06,0.000464,0.45927000045776367
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1526,0.0006104,0,0.0,4,6.4000000000000006e-06,0.0006168,0.5391640663146973
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1090,0.000436,0,0.0,4,6.4000000000000006e-06,0.0004424,0.4284782409667969
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1169,0.00046760000000000004,0,0.0,4,6.4000000000000006e-06,0.00047400000000000003,0.46204304695129395
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,848,0.00033920000000000006,0,0.0,4,6.4000000000000006e-06,0.00034560000000000005,0.5150110721588135
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,796,0.00031840000000000004,0,0.0,4,6.4000000000000006e-06,0.00032480000000000003,0.44052720069885254
BenchmarkTest00028.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1174,0.00046960000000000003,0,0.0,4,6.4000000000000006e-06,0.000476,0.4786818027496338
BenchmarkTest00029.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00030.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1235,0.000494,0,0.0,4,6.4000000000000006e-06,0.0005004,0.5706934928894043
BenchmarkTest00032.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00033.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00034.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,834,0.00033360000000000003,0,0.0,4,6.4000000000000006e-06,0.00034,0.472430944442749
BenchmarkTest00035.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1258,0.0005032000000000001,0,0.0,4,6.4000000000000006e-06,0.0005096000000000001,0.5962772369384766
BenchmarkTest00036.java,0,CWE-79,CWE-79,1,1,1,0,0,0,0,0,0,1,1320,0.000528,0,0.0,3,4.800000000000001e-06,0.0005328,0.4299771785736084
BenchmarkTest00037.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,948,0.00037920000000000006,0,0.0,4,6.4000000000000006e-06,0.00038560000000000005,0.39908313751220703
BenchmarkTest00038.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1080,0.000432,0,0.0,4,6.4000000000000006e-06,0.0004384,0.4210948944091797
BenchmarkTest00039.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00040.java,0,CWE-22,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00041.java,0,CWE-79,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00042.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00043.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00044.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1089,0.0004356,0,0.0,4,6.4000000000000006e-06,0.000442,0.42925405502319336
BenchmarkTest00045.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1124,0.00044960000000000003,0,0.0,4,6.4000000000000006e-06,0.000456,0.42815732955932617
BenchmarkTest00046.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,1115,0.000446,0,0.0,4,6.4000000000000006e-06,0.0004524,0.4003314971923828
BenchmarkTest00047.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1363,0.0005452,0,0.0,4,6.4000000000000006e-06,0.0005516000000000001,0.4122354984283447
BenchmarkTest00048.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1358,0.0005432000000000001,0,0.0,4,6.4000000000000006e-06,0.0005496000000000001,0.6285851001739502
BenchmarkTest00049.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1356,0.0005424,0,0.0,4,6.4000000000000006e-06,0.0005488,0.38814234733581543
BenchmarkTest00050.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1542,0.0006168,0,0.0,4,6.4000000000000006e-06,0.0006232000000000001,0.4322223663330078
BenchmarkTest00051.java,0,CWE-78,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00052.java,0,CWE-89,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00053.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1677,0.0006708,0,0.0,4,6.4000000000000006e-06,0.0006772000000000001,0.4603276252746582
BenchmarkTest00054.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00055.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1706,0.0006824000000000001,0,0.0,4,6.4000000000000006e-06,0.0006888000000000002,0.45893239974975586
BenchmarkTest00056.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1773,0.0007092,0,0.0,4,6.4000000000000006e-06,0.0007156,0.4611694812774658
BenchmarkTest00057.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1383,0.0005532,0,0.0,4,6.4000000000000006e-06,0.0005596,0.47897863388061523
BenchmarkTest00058.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
