file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1439,0.002878,0,0.0,445,0.00356,0.006437999999999999,7.100715398788452
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1331,0.002662,0,0.0,504,0.004032,0.006694,6.411848783493042
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1213,0.002426,0,0.0,379,0.003032,0.005458,5.960461616516113
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,933,0.001866,0,0.0,510,0.00408,0.005946,6.808397531509399
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,844,0.001688,0,0.0,437,0.003496,0.005184,6.769652605056763
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,844,0.001688,0,0.0,397,0.003176,0.004864,5.707539081573486
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1155,0.00231,0,0.0,494,0.003952,0.006262,6.785357713699341
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1167,0.002334,0,0.0,420,0.00336,0.005694,6.246319055557251
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1263,0.002526,0,0.0,451,0.003608,0.0061340000000000006,6.3596556186676025
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1260,0.00252,0,0.0,453,0.003624,0.006144,7.6344544887542725
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,945,0.00189,0,0.0,467,0.003736,0.005626,7.227046728134155
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,913,0.001826,0,0.0,468,0.003744,0.00557,6.477033615112305
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,851,0.001702,0,0.0,375,0.003,0.004702,5.242947101593018
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1162,0.002324,0,0.0,372,0.002976,0.0053,4.027190685272217
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1544,0.003088,0,0.0,383,0.003064,0.0061519999999999995,6.032459259033203
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1108,0.002216,0,0.0,387,0.003096,0.005312,5.254978656768799
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1187,0.002374,0,0.0,361,0.002888,0.005261999999999999,4.137490749359131
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,866,0.001732,0,0.0,415,0.00332,0.005052,11.196088790893555
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
