file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1421,0.002842,0,0.0,4,3.2e-05,0.002874,1.1996948719024658
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1313,0.002626,0,0.0,4,3.2e-05,0.0026579999999999998,1.1614086627960205
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1195,0.00239,0,0.0,4,3.2e-05,0.002422,1.2895872592926025
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,915,0.00183,0,0.0,4,3.2e-05,0.001862,1.1899619102478027
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,826,0.001652,0,0.0,4,3.2e-05,0.001684,1.24235200881958
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,826,0.001652,0,0.0,4,3.2e-05,0.001684,1.1614086627960205
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1137,0.002274,0,0.0,4,3.2e-05,0.002306,1.2748467922210693
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1149,0.002298,0,0.0,4,3.2e-05,0.00233,1.1850998401641846
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1245,0.00249,0,0.0,4,3.2e-05,0.002522,1.1899619102478027
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1242,0.002484,0,0.0,4,3.2e-05,0.002516,1.3947861194610596
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,927,0.001854,0,0.0,4,3.2e-05,0.0018859999999999999,0.36179566383361816
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,895,0.00179,0,0.0,4,3.2e-05,0.0018219999999999998,0.37517738342285156
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,833,0.001666,0,0.0,4,3.2e-05,0.0016979999999999999,0.5905084609985352
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1144,0.002288,0,0.0,4,3.2e-05,0.00232,0.41117405891418457
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1526,0.003052,0,0.0,4,3.2e-05,0.003084,0.42075324058532715
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1090,0.00218,0,0.0,4,3.2e-05,0.002212,0.4292261600494385
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1169,0.002338,0,0.0,4,3.2e-05,0.0023699999999999997,0.5032951831817627
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,848,0.001696,0,0.0,4,3.2e-05,0.001728,0.411327600479126
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,796,0.001592,0,0.0,4,3.2e-05,0.001624,0.40593528747558594
BenchmarkTest00028.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1174,0.002348,0,0.0,4,3.2e-05,0.0023799999999999997,0.42903733253479004
BenchmarkTest00029.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00030.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1235,0.00247,0,0.0,4,3.2e-05,0.002502,0.38555026054382324
BenchmarkTest00032.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00033.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00034.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,834,0.001668,0,0.0,4,3.2e-05,0.0017,0.38383007049560547
BenchmarkTest00035.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1258,0.002516,0,0.0,4,3.2e-05,0.002548,0.41349291801452637
BenchmarkTest00036.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1320,0.00264,0,0.0,4,3.2e-05,0.002672,0.40299081802368164
BenchmarkTest00037.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,948,0.001896,0,0.0,4,3.2e-05,0.0019279999999999998,0.6305153369903564
BenchmarkTest00038.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1080,0.00216,0,0.0,4,3.2e-05,0.002192,0.46498942375183105
BenchmarkTest00039.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00040.java,0,CWE-22,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00041.java,0,CWE-79,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00042.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00043.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00044.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1089,0.002178,0,0.0,4,3.2e-05,0.0022099999999999997,0.3658883571624756
BenchmarkTest00045.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1124,0.002248,0,0.0,4,3.2e-05,0.00228,0.5977118015289307
BenchmarkTest00046.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,1115,0.00223,0,0.0,4,3.2e-05,0.002262,0.6416292190551758
BenchmarkTest00047.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1363,0.002726,0,0.0,4,3.2e-05,0.002758,0.46554136276245117
BenchmarkTest00048.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1358,0.002716,0,0.0,4,3.2e-05,0.002748,0.4281280040740967
BenchmarkTest00049.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1356,0.002712,0,0.0,4,3.2e-05,0.002744,0.4289205074310303
BenchmarkTest00050.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1542,0.003084,0,0.0,4,3.2e-05,0.003116,0.4763040542602539
BenchmarkTest00051.java,0,CWE-78,,,,0,0,1,0,0,0,1,0,,,,,,,,
