file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2557,0.00063925,256,0.000512,13,2.6e-05,0.00117725,4.608362913131714
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2449,0.00061225,448,0.000896,13,2.6e-05,0.00153425,5.347261667251587
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2331,0.00058275,128,0.000256,13,2.6e-05,0.0008647500000000001,3.195842981338501
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2051,0.00051275,256,0.000512,13,2.6e-05,0.00105075,3.383094310760498
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,1962,0.0004905,640,0.00128,13,2.6e-05,0.0017965000000000001,6.049235105514526
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1962,0.0004905,128,0.000256,13,2.6e-05,0.0007725,3.8596677780151367
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,2273,0.00056825,1536,0.003072,12,2.4e-05,0.0036642500000000004,11.135171890258789
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2285,0.00057125,256,0.000512,13,2.6e-05,0.00110925,3.9177558422088623
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2381,0.00059525,256,0.000512,13,2.6e-05,0.00113325,4.424039602279663
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2378,0.0005945,704,0.001408,13,2.6e-05,0.0020285,6.379926443099976
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2063,0.00051575,320,0.00064,13,2.6e-05,0.00118175,3.838144302368164
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2031,0.00050775,960,0.00192,12,2.4e-05,0.0024517500000000004,9.882507085800171
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1969,0.00049225,128,0.000256,13,2.6e-05,0.00077425,1.630079746246338
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2280,0.00057,256,0.000512,13,2.6e-05,0.001108,3.1914896965026855
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2662,0.0006655,128,0.000256,13,2.6e-05,0.0009475,1.8111906051635742
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2226,0.0005565,320,0.00064,13,2.6e-05,0.0012225,4.51061749458313
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2305,0.00057625,512,0.001024,13,2.6e-05,0.00162625,4.963606834411621
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1984,0.000496,256,0.000512,13,2.6e-05,0.001034,3.3125972747802734
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1932,0.000483,128,0.000256,13,2.6e-05,0.000765,1.8791635036468506
BenchmarkTest00028.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2310,0.0005775,384,0.000768,13,2.6e-05,0.0013714999999999999,3.9396209716796875
BenchmarkTest00029.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
