file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1420,0.000355,256,0.000512,13,2.6e-05,0.0008929999999999999,3.2422022819519043
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1312,0.000328,320,0.00064,13,2.6e-05,0.000994,4.206904411315918
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1194,0.0002985,192,0.000384,13,2.6e-05,0.0007084999999999999,2.489267349243164
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,914,0.0002285,320,0.00064,13,2.6e-05,0.0008945,3.698864221572876
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,825,0.00020625,512,0.001024,13,2.6e-05,0.00125625,5.908497333526611
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,825,0.00020625,192,0.000384,13,2.6e-05,0.00061625,2.7873129844665527
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,1136,0.000284,1792,0.003584,12,2.4e-05,0.003892,14.734953165054321
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1148,0.000287,448,0.000896,13,2.6e-05,0.001209,5.325125455856323
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1244,0.000311,448,0.000896,13,2.6e-05,0.001233,4.813469171524048
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1241,0.00031025,384,0.000768,13,2.6e-05,0.00110425,4.211300611495972
