file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2557,0.00319625,384,0.00384,13,0.00013,0.00716625,6.0478363037109375
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2449,0.00306125,768,0.00768,13,0.00013,0.01087125,9.40715479850769
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2331,0.00291375,192,0.00192,13,0.00013,0.00496375,3.9861745834350586
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2051,0.00256375,512,0.00512,13,0.00013,0.007813750000000001,9.521273136138916
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,1962,0.0024525,1088,0.01088,13,0.00013,0.0134625,13.125717878341675
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1962,0.0024525,448,0.00448,13,0.00013,0.007062499999999999,5.593768119812012
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,2273,0.00284125,896,0.00896,12,0.00012,0.01192125,10.604750156402588
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2285,0.00285625,576,0.00576,13,0.00013,0.00874625,7.596028804779053
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2381,0.00297625,640,0.0064,13,0.00013,0.00950625,7.53083062171936
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2378,0.0029725,704,0.00704,13,0.00013,0.0101425,10.223036527633667
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2063,0.00257875,448,0.00448,13,0.00013,0.007188749999999999,8.798469305038452
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2031,0.00253875,768,0.00768,13,0.00013,0.01034875,14.883358240127563
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1969,0.00246125,256,0.00256,13,0.00013,0.00515125,3.2925000190734863
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2280,0.00285,512,0.00512,13,0.00013,0.008100000000000001,10.078569412231445
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2662,0.0033275,384,0.00384,13,0.00013,0.0072975,4.738124370574951
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2226,0.0027825,448,0.00448,13,0.00013,0.0073925,8.015110969543457
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2305,0.00288125,448,0.00448,13,0.00013,0.00749125,7.848508834838867
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1984,0.00248,256,0.00256,13,0.00013,0.00517,3.436439037322998
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1932,0.002415,192,0.00192,13,0.00013,0.004465,6.875542879104614
BenchmarkTest00028.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2310,0.0028875,448,0.00448,13,0.00013,0.007497499999999999,6.891670227050781
BenchmarkTest00029.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00030.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2371,0.00296375,384,0.00384,13,0.00013,0.00693375,7.256639719009399
BenchmarkTest00032.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00033.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00034.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1970,0.0024625,192,0.00192,13,0.00013,0.0045125,4.33980655670166
BenchmarkTest00035.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2394,0.0029925,448,0.00448,13,0.00013,0.0076025,4.694908618927002
BenchmarkTest00036.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2456,0.00307,576,0.00576,13,0.00013,0.008960000000000001,9.444128036499023
BenchmarkTest00037.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2084,0.002605,384,0.00384,13,0.00013,0.006575,5.298040151596069
BenchmarkTest00038.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2216,0.00277,1472,0.01472,14,0.00014,0.01763,21.371010541915894
BenchmarkTest00039.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00040.java,0,CWE-22,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00041.java,0,CWE-79,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00042.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00043.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00044.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2225,0.00278125,320,0.0032,13,0.00013,0.00611125,3.927764892578125
BenchmarkTest00045.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2260,0.002825,1024,0.01024,13,0.00013,0.013195,14.0647873878479
BenchmarkTest00046.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,2251,0.00281375,192,0.00192,13,0.00013,0.00486375,3.913012742996216
BenchmarkTest00047.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2499,0.00312375,576,0.00576,13,0.00013,0.00901375,10.41178297996521
BenchmarkTest00048.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2494,0.0031175,320,0.0032,13,0.00013,0.0064475,5.357095241546631
BenchmarkTest00049.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2492,0.003115,384,0.00384,13,0.00013,0.007085,7.226750135421753
BenchmarkTest00050.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2678,0.0033475,192,0.00192,13,0.00013,0.0053975,3.8052785396575928
BenchmarkTest00051.java,0,CWE-78,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00052.java,0,CWE-89,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00053.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2813,0.00351625,320,0.0032,13,0.00013,0.00684625,6.5141284465789795
BenchmarkTest00054.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00055.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2842,0.0035525,256,0.00256,13,0.00013,0.0062425,5.449316024780273
BenchmarkTest00056.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2909,0.00363625,192,0.00192,13,0.00013,0.00568625,2.633788585662842
BenchmarkTest00057.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2519,0.00314875,256,0.00256,13,0.00013,0.00583875,3.9879791736602783
BenchmarkTest00058.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00059.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00060.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2472,0.00309,768,0.00768,13,0.00013,0.0109,9.686030864715576
BenchmarkTest00061.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,2459,0.00307375,1088,0.01088,12,0.00012,0.014073750000000001,12.791910648345947
BenchmarkTest00062.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2648,0.00331,640,0.0064,13,0.00013,0.00984,9.530659198760986
BenchmarkTest00063.java,0,CWE-22,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00064.java,0,CWE-22,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00065.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2619,0.00327375,1152,0.01152,13,0.00013,0.014923750000000001,17.33861017227173
BenchmarkTest00066.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2511,0.00313875,1024,0.01024,13,0.00013,0.013508750000000002,15.466022491455078
BenchmarkTest00067.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2710,0.0033875,640,0.0064,13,0.00013,0.009917500000000001,8.523072242736816
