file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1420,0.001775,576,0.00576,13,0.00013,0.007665,9.250592231750488
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1312,0.00164,832,0.00832,13,0.00013,0.01009,12.539416074752808
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1194,0.0014925,192,0.00192,13,0.00013,0.0035424999999999996,4.3399834632873535
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,914,0.0011425,320,0.0032,13,0.00013,0.0044725,5.542436122894287
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,825,0.00103125,1216,0.01216,13,0.00013,0.013321250000000001,14.889141321182251
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,825,0.00103125,384,0.00384,13,0.00013,0.0050012500000000005,6.772765636444092
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,1136,0.00142,1088,0.01088,12,0.00012,0.01242,15.312369585037231
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1148,0.001435,1088,0.01088,13,0.00013,0.012445000000000001,13.112033128738403
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1244,0.001555,704,0.00704,13,0.00013,0.008725,9.789748430252075
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1241,0.00155125,832,0.00832,13,0.00013,0.01000125,11.443515300750732
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,926,0.0011575,192,0.00192,13,0.00013,0.0032075,4.553950071334839
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,894,0.0011175,768,0.00768,13,0.00013,0.0089275,9.991654634475708
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,832,0.00104,320,0.0032,13,0.00013,0.00437,7.698725461959839
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1143,0.00142875,448,0.00448,13,0.00013,0.006038749999999999,7.344885349273682
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1525,0.00190625,128,0.00128,13,0.00013,0.0033162499999999998,4.340893983840942
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1089,0.00136125,320,0.0032,13,0.00013,0.00469125,6.761327028274536
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1168,0.00146,1088,0.01088,13,0.00013,0.01247,15.50054407119751
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,847,0.00105875,192,0.00192,13,0.00013,0.00310875,2.7815606594085693
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,795,0.00099375,192,0.00192,13,0.00013,0.00304375,3.3432750701904297
BenchmarkTest00028.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1173,0.00146625,576,0.00576,13,0.00013,0.00735625,7.084908962249756
BenchmarkTest00029.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00030.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1234,0.0015425,384,0.00384,13,0.00013,0.0055125,6.695225477218628
BenchmarkTest00032.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00033.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00034.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,833,0.00104125,128,0.00128,13,0.00013,0.0024512500000000003,3.1985247135162354
BenchmarkTest00035.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1257,0.00157125,384,0.00384,13,0.00013,0.00554125,6.68000054359436
BenchmarkTest00036.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1319,0.00164875,832,0.00832,13,0.00013,0.010098749999999998,9.49631643295288
BenchmarkTest00037.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,947,0.00118375,896,0.00896,13,0.00013,0.01027375,14.273547410964966
BenchmarkTest00038.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1079,0.00134875,576,0.00576,13,0.00013,0.00723875,7.418083667755127
BenchmarkTest00039.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
