file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1492,0.0005968,0,0,458,0.000916,0.0015128,10.83677912
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1379,0.0005516,0,0,315,0.00063,0.0011816,7.565241575
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1251,0.0005004,0,0,176,0.000352,0.0008524,5.389451981
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,941,0.0003764,0,0,323,0.000646,0.0010224,8.784896612
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,854,0.0003416,0,0,346,0.000692,0.0010336,9.304528952
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,852,0.0003408,0,0,341,0.000682,0.0010228,8.060639143
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1193,0.0004772,0,0,404,0.000808,0.0012852,9.038053036
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1230,0.000492,0,0,397,0.000794,0.001286,9.476467848
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1280,0.000512,0,0,342,0.000684,0.001196,8.313621759
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1273,0.0005092,0,0,353,0.000706,0.0012152,8.296933413
