file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2564,0.005128,256,0.002048,22,0.000176,0.007352,5.324414968490601
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2456,0.004912,128,0.001024,22,0.000176,0.006111999999999999,4.780480623245239
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2338,0.004676,128,0.001024,22,0.000176,0.005875999999999999,4.317020416259766
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2058,0.004116,192,0.001536,22,0.000176,0.005828,4.087864637374878
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,1969,0.003938,448,0.003584,22,0.000176,0.007697999999999999,8.981470584869385
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1969,0.003938,64,0.000512,22,0.000176,0.004626,3.572056293487549
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,2280,0.00456,448,0.003584,21,0.000168,0.008312,9.871776819229126
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2292,0.004584,256,0.002048,22,0.000176,0.006808000000000001,5.11644721031189
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2388,0.004776,384,0.003072,22,0.000176,0.008024000000000002,7.181661367416382
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2385,0.00477,320,0.00256,22,0.000176,0.007506,5.910079479217529
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2070,0.00414,256,0.002048,22,0.000176,0.006363999999999999,5.1034629344940186
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2038,0.004076,704,0.005632,22,0.000176,0.009884,11.711475133895874
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1976,0.003952,128,0.001024,22,0.000176,0.0051519999999999995,3.0374484062194824
