file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1420,0.00284,192,0.001536,22,0.000176,0.004552,3.998060464859009
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1312,0.002624,192,0.001536,22,0.000176,0.0043360000000000004,4.801003932952881
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1194,0.002388,64,0.000512,22,0.000176,0.0030759999999999997,2.45841383934021
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,914,0.001828,192,0.001536,22,0.000176,0.0035399999999999997,6.845722675323486
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,825,0.00165,512,0.004096,22,0.000176,0.005921999999999999,6.973198652267456
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,825,0.00165,64,0.000512,22,0.000176,0.002338,2.916872262954712
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,1136,0.002272,640,0.00512,21,0.000168,0.007560000000000001,14.789581775665283
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1148,0.002296,128,0.001024,22,0.000176,0.003496,4.00881552696228
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1244,0.002488,320,0.00256,22,0.000176,0.005224,5.9343650341033936
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1241,0.002482,320,0.00256,22,0.000176,0.0052179999999999995,5.97507119178772
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,926,0.001852,192,0.001536,22,0.000176,0.003564,5.911419630050659
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,894,0.001788,448,0.003584,22,0.000176,0.005548,11.43002462387085
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,832,0.001664,64,0.000512,22,0.000176,0.002352,2.3982107639312744
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1143,0.002286,192,0.001536,22,0.000176,0.003998,4.348775386810303
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1525,0.00305,64,0.000512,22,0.000176,0.003738,3.7097702026367188
