file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2557,0.0028127000000000004,256,0.0011264,22,9.680000000000001e-05,0.004035900000000001,3.9309256076812744
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2449,0.0026939,256,0.0011264,22,9.680000000000001e-05,0.0039171,5.297428607940674
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2331,0.0025641000000000006,128,0.0005632,22,9.680000000000001e-05,0.0032241000000000006,2.526310682296753
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2051,0.0022561000000000005,512,0.0022528,22,9.680000000000001e-05,0.004605700000000001,8.280728816986084
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,1962,0.0021582000000000003,2432,0.010700800000000002,22,9.680000000000001e-05,0.012955800000000002,25.63849449157715
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1962,0.0021582000000000003,256,0.0011264,22,9.680000000000001e-05,0.0033814000000000006,3.431276559829712
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,2273,0.0025003,2048,0.0090112,21,9.240000000000001e-05,0.0116039,23.236804008483887
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2285,0.0025135,576,0.0025344,22,9.680000000000001e-05,0.0051447,8.14671540260315
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2381,0.0026191000000000005,704,0.0030976000000000003,22,9.680000000000001e-05,0.005813500000000001,8.649026870727539
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2378,0.0026158,896,0.0039424,22,9.680000000000001e-05,0.006655,9.944673776626587
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2063,0.0022693,384,0.0016896,22,9.680000000000001e-05,0.004055700000000001,4.937474250793457
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,2031,0.0022341,320,0.001408,22,9.680000000000001e-05,0.0037389000000000003,3.348001718521118
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1969,0.0021659,192,0.0008448,22,9.680000000000001e-05,0.0031075000000000005,5.287870645523071
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2280,0.002508,192,0.0008448,22,9.680000000000001e-05,0.0034496,3.922677516937256
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2662,0.0029282,128,0.0005632,22,9.680000000000001e-05,0.0035882000000000006,3.3695857524871826
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2226,0.0024486000000000004,192,0.0008448,22,9.680000000000001e-05,0.0033902000000000008,3.640105724334717
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,2305,0.0025355,192,0.0008448,22,9.680000000000001e-05,0.0034771000000000003,2.5224392414093018
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1984,0.0021824,192,0.0008448,22,9.680000000000001e-05,0.0031240000000000005,3.92464542388916
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1932,0.0021252000000000003,128,0.0005632,22,9.680000000000001e-05,0.0027852000000000007,2.995687484741211
BenchmarkTest00028.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2310,0.002541,128,0.0005632,22,9.680000000000001e-05,0.003201,2.0709645748138428
BenchmarkTest00029.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00030.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2371,0.0026081000000000003,512,0.0022528,22,9.680000000000001e-05,0.004957700000000001,4.921730279922485
BenchmarkTest00032.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00033.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00034.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1970,0.002167,128,0.0005632,22,9.680000000000001e-05,0.0028270000000000005,2.2743289470672607
BenchmarkTest00035.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2394,0.0026334,512,0.0022528,22,9.680000000000001e-05,0.0049830000000000004,5.1309428215026855
BenchmarkTest00036.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2456,0.0027016,768,0.0033792,22,9.680000000000001e-05,0.006177600000000001,8.485011577606201
BenchmarkTest00037.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2084,0.0022924,384,0.0016896,22,9.680000000000001e-05,0.0040788000000000005,5.685754060745239
BenchmarkTest00038.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,2216,0.0024376000000000003,896,0.0039424,22,9.680000000000001e-05,0.0064768000000000004,13.48342514038086
BenchmarkTest00039.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00040.java,0,CWE-22,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00041.java,0,CWE-79,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00042.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00043.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00044.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,2225,0.0024475,256,0.0011264,22,9.680000000000001e-05,0.0036707000000000003,3.1831305027008057
BenchmarkTest00045.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,2260,0.002486,1280,0.005632,22,9.680000000000001e-05,0.0082148,12.004470586776733
BenchmarkTest00046.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,2251,0.0024761,256,0.0011264,22,9.680000000000001e-05,0.0036993000000000004,3.092709541320801
BenchmarkTest00047.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2499,0.0027489000000000003,704,0.0030976000000000003,22,9.680000000000001e-05,0.005943300000000001,7.0773773193359375
BenchmarkTest00048.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2494,0.0027434,576,0.0025344,22,9.680000000000001e-05,0.0053746,9.41257643699646
BenchmarkTest00049.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,2492,0.0027412,192,0.0008448,22,9.680000000000001e-05,0.0036828000000000004,2.3945775032043457
BenchmarkTest00050.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2678,0.0029458,128,0.0005632,22,9.680000000000001e-05,0.0036058,1.8164019584655762
BenchmarkTest00051.java,0,CWE-78,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00052.java,0,CWE-89,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00053.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2813,0.0030943000000000003,192,0.0008448,22,9.680000000000001e-05,0.0040359,2.8406074047088623
BenchmarkTest00054.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00055.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,2842,0.0031262000000000004,128,0.0005632,22,9.680000000000001e-05,0.003786200000000001,2.4332516193389893
