file_name,error,correct_cwe,matched_cwe,direct_match,was_changed,tp_old,fp_old,tn_old,fn_old,tp_new,fp_new,tn_new,fn_new,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1420,0.0015620000000000002,1024,0.0045056,22,9.680000000000001e-05,0.0061644000000000004,13.47041368484497
BenchmarkTest00002.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1312,0.0014432,320,0.001408,22,9.680000000000001e-05,0.002948,5.786928176879883
BenchmarkTest00003.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00005.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1194,0.0013134000000000002,192,0.0008448,22,9.680000000000001e-05,0.0022550000000000005,4.043547868728638
BenchmarkTest00006.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,914,0.0010054,192,0.0008448,22,9.680000000000001e-05,0.0019470000000000002,3.9555437564849854
BenchmarkTest00007.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,825,0.0009075000000000001,832,0.0036608,22,9.680000000000001e-05,0.0046651,10.73966932296753
BenchmarkTest00008.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,825,0.0009075000000000001,192,0.0008448,22,9.680000000000001e-05,0.0018491,3.6769797801971436
BenchmarkTest00009.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00010.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00011.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,1136,0.0012496000000000002,1984,0.0087296,21,9.240000000000001e-05,0.0100716,18.0918972492218
BenchmarkTest00012.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1148,0.0012628000000000001,320,0.001408,22,9.680000000000001e-05,0.0027676000000000003,5.283461570739746
BenchmarkTest00013.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1244,0.0013684,512,0.0022528,22,9.680000000000001e-05,0.0037180000000000004,7.323492765426636
BenchmarkTest00014.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1241,0.0013651000000000002,512,0.0022528,22,9.680000000000001e-05,0.0037147000000000005,7.2851176261901855
BenchmarkTest00015.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,926,0.0010186000000000001,192,0.0008448,22,9.680000000000001e-05,0.0019602000000000005,5.626546621322632
BenchmarkTest00016.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00017.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,894,0.0009834000000000002,896,0.0039424,22,9.680000000000001e-05,0.005022600000000001,12.258076190948486
BenchmarkTest00018.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,832,0.0009152,128,0.0005632,22,9.680000000000001e-05,0.0015752,1.7615947723388672
BenchmarkTest00019.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1143,0.0012573000000000003,576,0.0025344,22,9.680000000000001e-05,0.0038885000000000005,8.347533464431763
BenchmarkTest00020.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1525,0.0016775000000000002,192,0.0008448,22,9.680000000000001e-05,0.0026191000000000005,4.3478922843933105
BenchmarkTest00021.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1089,0.0011979,384,0.0016896,22,9.680000000000001e-05,0.0029843000000000005,3.611646890640259
BenchmarkTest00022.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00023.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1168,0.0012848000000000002,64,0.0002816,22,9.680000000000001e-05,0.0016632000000000003,1.7173137664794922
BenchmarkTest00024.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,847,0.0009317,384,0.0016896,22,9.680000000000001e-05,0.0027181,3.91070556640625
BenchmarkTest00025.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00026.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00027.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,795,0.0008745000000000001,192,0.0008448,22,9.680000000000001e-05,0.0018161,2.748183250427246
BenchmarkTest00028.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1173,0.0012903,192,0.0008448,22,9.680000000000001e-05,0.0022319,5.148061513900757
BenchmarkTest00029.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00030.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1234,0.0013574000000000001,320,0.001408,22,9.680000000000001e-05,0.0028622000000000005,3.52555513381958
BenchmarkTest00032.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00033.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00034.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,833,0.0009163000000000001,128,0.0005632,22,9.680000000000001e-05,0.0015763,2.622061252593994
BenchmarkTest00035.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1257,0.0013827,256,0.0011264,22,9.680000000000001e-05,0.0026059000000000004,3.5091841220855713
BenchmarkTest00036.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1319,0.0014509000000000002,704,0.0030976000000000003,22,9.680000000000001e-05,0.004645300000000001,11.421724796295166
BenchmarkTest00037.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,947,0.0010417,1216,0.005350400000000001,22,9.680000000000001e-05,0.0064889000000000014,10.78763198852539
BenchmarkTest00038.java,0,CWE-89,CWE-89,1,0,1,0,0,0,1,0,0,0,1079,0.0011869,768,0.0033792,22,9.680000000000001e-05,0.0046629,7.140678405761719
BenchmarkTest00039.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00040.java,0,CWE-22,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00041.java,0,CWE-79,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00042.java,0,CWE-330,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00043.java,0,CWE-89,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00044.java,0,CWE-90,CWE-90,1,0,1,0,0,0,1,0,0,0,1088,0.0011968000000000003,128,0.0005632,22,9.680000000000001e-05,0.0018568000000000002,2.0537986755371094
BenchmarkTest00045.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1123,0.0012353000000000002,576,0.0025344,22,9.680000000000001e-05,0.0038665,5.345539093017578
BenchmarkTest00046.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,1114,0.0012254000000000002,256,0.0011264,22,9.680000000000001e-05,0.0024486000000000004,2.7352778911590576
BenchmarkTest00047.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1362,0.0014982,704,0.0030976000000000003,22,9.680000000000001e-05,0.004692600000000001,6.6905975341796875
BenchmarkTest00048.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1357,0.0014927,128,0.0005632,22,9.680000000000001e-05,0.0021527000000000004,1.9932262897491455
BenchmarkTest00049.java,0,CWE-79,CWE-79,1,0,1,0,0,0,1,0,0,0,1355,0.0014905000000000003,512,0.0022528,22,9.680000000000001e-05,0.003840100000000001,5.9475672245025635
BenchmarkTest00050.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1541,0.0016951000000000002,192,0.0008448,22,9.680000000000001e-05,0.0026367000000000005,2.2064216136932373
BenchmarkTest00051.java,0,CWE-78,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00052.java,0,CWE-89,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00053.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1676,0.0018436000000000001,192,0.0008448,22,9.680000000000001e-05,0.0027852000000000003,3.398153781890869
BenchmarkTest00054.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00055.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1705,0.0018755000000000002,192,0.0008448,22,9.680000000000001e-05,0.0028171000000000003,2.59549617767334
BenchmarkTest00056.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1772,0.0019492,64,0.0002816,22,9.680000000000001e-05,0.0023276000000000004,1.5210752487182617
BenchmarkTest00057.java,0,CWE-327,CWE-327,1,0,1,0,0,0,1,0,0,0,1382,0.0015202,192,0.0008448,22,9.680000000000001e-05,0.0024618,2.336252212524414
BenchmarkTest00058.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00059.java,0,CWE-327,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00060.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1335,0.0014685000000000002,576,0.0025344,22,9.680000000000001e-05,0.0040997,5.941615104675293
BenchmarkTest00061.java,0,CWE-22,CWE-23,0,1,1,0,0,0,0,0,0,1,1322,0.0014542000000000001,896,0.0039424,21,9.240000000000001e-05,0.005489000000000001,8.63602066040039
BenchmarkTest00062.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1511,0.0016621000000000001,768,0.0033792,22,9.680000000000001e-05,0.0051381000000000005,7.312055826187134
BenchmarkTest00063.java,0,CWE-22,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00064.java,0,CWE-22,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00065.java,0,CWE-22,CWE-23,0,0,1,0,0,0,1,0,0,0,1482,0.0016302,512,0.0022528,22,9.680000000000001e-05,0.0039798,5.47605562210083
BenchmarkTest00066.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1374,0.0015114,768,0.0033792,22,9.680000000000001e-05,0.0049874,7.333652019500732
BenchmarkTest00067.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1573,0.0017303000000000002,576,0.0025344,22,9.680000000000001e-05,0.0043615,6.06441068649292
BenchmarkTest00068.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1368,0.0015048000000000001,384,0.0016896,22,9.680000000000001e-05,0.0032912,3.8863487243652344
BenchmarkTest00069.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00070.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,1367,0.0015037,128,0.0005632,22,9.680000000000001e-05,0.0021637,2.3797645568847656
BenchmarkTest00071.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,1371,0.0015081,512,0.0022528,22,9.680000000000001e-05,0.0038577000000000004,5.516904354095459
BenchmarkTest00072.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00073.java,0,CWE-328,CWE-916,0,0,1,0,0,0,1,0,0,0,1354,0.0014894,256,0.0011264,22,9.680000000000001e-05,0.0027126000000000003,3.2784342765808105
BenchmarkTest00074.java,0,CWE-328,,,,0,0,0,1,0,0,0,1,,,,,,,,
BenchmarkTest00075.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00076.java,0,CWE-328,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00077.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,1159,0.0012749,512,0.0022528,22,9.680000000000001e-05,0.0036245,8.451041460037231
BenchmarkTest00078.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1387,0.0015257,192,0.0008448,22,9.680000000000001e-05,0.0024673000000000004,2.925853729248047
BenchmarkTest00079.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1437,0.0015807,320,0.001408,22,9.680000000000001e-05,0.0030855,3.1559016704559326
BenchmarkTest00080.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1350,0.0014850000000000002,1216,0.005350400000000001,22,9.680000000000001e-05,0.006932200000000001,12.339632272720337
BenchmarkTest00081.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1335,0.0014685000000000002,192,0.0008448,22,9.680000000000001e-05,0.0024101000000000005,2.5104775428771973
BenchmarkTest00082.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1346,0.0014806,640,0.002816,22,9.680000000000001e-05,0.0043934,6.004130125045776
BenchmarkTest00083.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1362,0.0014982,768,0.0033792,22,9.680000000000001e-05,0.004974200000000001,9.072229623794556
BenchmarkTest00084.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1344,0.0014784000000000002,320,0.001408,22,9.680000000000001e-05,0.0029832,19.83066749572754
BenchmarkTest00085.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1403,0.0015433000000000003,640,0.002816,22,9.680000000000001e-05,0.0044561,7.169437885284424
BenchmarkTest00086.java,0,CWE-330,CWE-330,1,0,1,0,0,0,1,0,0,0,1359,0.0014949000000000002,320,0.001408,22,9.680000000000001e-05,0.0029997,4.819775104522705
BenchmarkTest00087.java,0,CWE-614,CWE-614,1,0,1,0,0,0,1,0,0,0,1150,0.001265,512,0.0022528,22,9.680000000000001e-05,0.0036146000000000004,6.030663967132568
BenchmarkTest00088.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00089.java,0,CWE-614,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00090.java,0,CWE-78,,,,0,0,1,0,0,0,1,0,,,,,,,,
BenchmarkTest00091.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,984,0.0010824,1728,0.007603200000000001,23,0.00010120000000000001,0.0087868,15.673683404922485
BenchmarkTest00092.java,0,CWE-78,CWE-78,1,0,1,0,0,0,1,0,0,0,1076,0.0011836000000000001,704,0.0030976000000000003,22,9.680000000000001e-05,0.004378000000000001,11.387313604354858
