file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-20,CWE-200",728.0,0.00108108,0.0,0.0,13.0,5.928e-05,0.00114036,1.2085473537445068
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-1004,CWE-732",619.0,0.000919215,0.0,0.0,14.0,6.384e-05,0.000983055,1.9597694873809812
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-200,CWE-312,CWE-73,CWE-22",906.0,0.00134541,0.0,0.0,17.0,7.751999999999999e-05,0.00142293,1.2776210308074951
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-312,CWE-73,CWE-22,CWE-200",846.0,0.00125631,0.0,0.0,21.0,9.576e-05,0.00135207,1.321627855300903
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-20",474.0,0.00070389,0.0,0.0,9.0,4.104e-05,0.00074493,1.3891725540161133
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-116",441.0,0.000654885,0.0,0.0,9.0,4.104e-05,0.000695925,1.3717775344848633
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-20",445.0,0.000660825,0.0,0.0,9.0,4.104e-05,0.000701865,1.0783002376556396
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,"CWE-200,CWE-22,CWE-209",878.0,0.00130383,0.0,0.0,13.0,5.928e-05,0.00136311,1.00482439994812
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,CWE-330,786.0,0.00116721,0.0,0.0,5.0,2.28e-05,0.00119001,1.1112356185913086
BenchmarkTest00011.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-73",427.0,0.000634095,0.0,0.0,9.0,4.104e-05,0.000675135,1.857173442840576
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-113",796.0,0.00118206,0.0,0.0,9.0,4.104e-05,0.0012231,1.2824158668518066
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-113",364.0,0.00054054,0.0,0.0,9.0,4.104e-05,0.00058158,0.9176971912384032
BenchmarkTest00014.java,1,0,CWE-79,,,0,0,0,1,CWE-134,357.0,0.000530145,0.0,0.0,5.0,2.28e-05,0.000552945,3.769936800003052
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-20",487.0,0.000723195,0.0,0.0,9.0,4.104e-05,0.000764235,1.5085182189941406
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,"CWE-20,CWE-1004,CWE-117",561.0,0.000833085,0.0,0.0,14.0,6.384e-05,0.000896925,1.6515846252441406
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-116",460.0,0.0006831,0.0,0.0,9.0,4.104e-05,0.00072414,1.0036475658416748
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-20",449.0,0.000666765,0.0,0.0,9.0,4.104e-05,0.000707805,1.2676286697387695
BenchmarkTest00019.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-312,CWE-73,CWE-22",798.0,0.00118503,0.0,0.0,17.0,7.751999999999999e-05,0.0012625499999999,1.4878919124603271
BenchmarkTest00020.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-312,CWE-22,CWE-209",1181.0,0.001753785,0.0,0.0,17.0,7.751999999999999e-05,0.001831305,1.1041457653045654
BenchmarkTest00021.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-113",728.0,0.00108108,0.0,0.0,9.0,4.104e-05,0.00112212,1.0139734745025637
BenchmarkTest00022.java,0,0,CWE-328,,,0,0,1,0,"CWE-22,CWE-312,CWE-79",673.0,0.000999405,0.0,0.0,13.0,5.928e-05,0.001058685,1.0395939350128174
BenchmarkTest00023.java,1,0,CWE-330,CWE-330,1,1,0,0,0,CWE-330,677.0,0.001005345,0.0,0.0,5.0,2.28e-05,0.0010281449999999,1.2982850074768066
BenchmarkTest00024.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",480.0,0.0007128,0.0,0.0,9.0,4.104e-05,0.00075384,1.077589750289917
