file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,854,0.0002562,1671,0.0041775,4,1e-05,0.0044437,7.975405931
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-73",717,0.0002151,2348,0.00587,9,2.25e-05,0.0061076,12.95762944
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-346,CWE-400",1057,0.0003171,3974,0.009935,11,2.75e-05,0.0102796,20.28897977
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-320,CWE-400,CWE-209",969,0.0002907,3392,0.00848,23,5.75e-05,0.0088282,19.93105149
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,560,0.000168,1122,0.002805,4,1e-05,0.002983,6.166592836
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,505,0.0001515,2506,0.006265,4,1e-05,0.0064265,13.51367664
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-200",505,0.0001515,1338,0.003345,10,2.5e-05,0.0035215,7.772037745
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,CWE-400,1032,0.0003096,4316,0.01079,5,1.25e-05,0.0111121,21.88830185
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,CWE-330,913,0.0002739,2876,0.00719,5,1.25e-05,0.0074764,14.06257176
BenchmarkTest00011.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-200",491,0.0001473,1354,0.003385,10,2.5e-05,0.0035573,7.785263538
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",889,0.0002667,1747,0.0043675,9,2.25e-05,0.0046567,8.76265049
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,407,0.0001221,2257,0.0056425,4,1e-05,0.0057746,12.92721868
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-134,CWE-79",402,0.0001206,1336,0.00334,10,2.5e-05,0.0034856,7.241795778
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,574,0.0001722,1458,0.003645,4,1e-05,0.0038272,8.381137133
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,CWE-113,642,0.0001926,3454,0.008635,5,1.25e-05,0.0088401,19.11927414
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,528,0.0001584,1832,0.00458,4,1e-05,0.0047484,9.471070766
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-200",512,0.0001536,1416,0.00354,10,2.5e-05,0.0037186,7.948061943
