file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-209",1151,0.00143875,1820,0.0182,10,0.0001,0.01973875,16.94109272956848
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,1014,0.0012675,1819,0.01819,4,4e-05,0.0194975,17.434367179870605
BenchmarkTest00003.java,1,0,CWE-328,CWE-916,0,1,0,0,0,"CWE-352,CWE-798,CWE-916,CWE-1004",1354,0.0016925,5382,0.05382,24,0.00024,0.0557524999999999,49.51745629310608
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209",1266,0.0015825,2373,0.02373,11,0.00011,0.0254225,22.08112859725952
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,857,0.00107125,1271,0.01271,4,4e-05,0.01382125,11.732057332992554
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,802,0.0010025,1490,0.0149,4,4e-05,0.0159425,14.167596578598022
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-79,CWE-89,CWE-209",802,0.0010025,2915,0.02915,15,0.00015,0.0303025,27.80339407920837
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,"CWE-79,CWE-400",1329,0.00166125,6341,0.06341,10,0.0001,0.06517125,58.05955243110657
BenchmarkTest00010.java,0,0,CWE-330,CWE-338,0,0,1,0,0,"CWE-200,CWE-331,CWE-338",1210,0.0015125,6451,0.06451,17,0.00017,0.0661925,58.87355208396912
BenchmarkTest00011.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,788,0.000985,9601,0.09601,4,4e-05,0.097035,86.82844877243042
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",1186,0.0014825,1362,0.01362,9,9e-05,0.0151925,12.521417140960692
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",704,0.00088,1474,0.01474,10,0.0001,0.01572,13.37867546081543
BenchmarkTest00014.java,1,0,CWE-79,,,0,0,0,1,CWE-134,699,0.00087375,829,0.00829,5,5e-05,0.00921375,7.781758546829224
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79",871,0.00108875,1043,0.01043,9,9e-05,0.01160875,9.502811908721924
