file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-400,CWE-200",854,0.0010675,2647,0.02647,16,0.00016,0.0276975,24.638913869857788
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-117",717,0.00089625,1811,0.01811,10,0.0001,0.01910625,16.274538278579712
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-352,CWE-400,CWE-759",1057,0.00132125,5430,0.0543,17,0.00017,0.05579125,50.71100473403931
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327,CWE-400",969,0.00121125,2630,0.0263,17,0.00017,0.02768125,25.173157453536987
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,560,0.0007,1262,0.01262,4,4e-05,0.0133599999999999,12.056501150131226
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,505,0.00063125,1666,0.01666,4,4e-05,0.01733125,15.777254819869995
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",505,0.00063125,2668,0.02668,10,0.0001,0.0274112499999999,25.726057291030884
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,"CWE-400,CWE-209",1032,0.00129,4375,0.04375,11,0.00011,0.0451499999999999,39.88063025474548
BenchmarkTest00010.java,0,0,CWE-330,CWE-338,0,0,1,0,0,"CWE-200,CWE-338",913,0.00114125,2026,0.02026,11,0.00011,0.02151125,19.051258325576782
BenchmarkTest00011.java,1,0,CWE-22,,,0,0,0,1,CWE-200,491,0.00061375,2365,0.02365,5,5e-05,0.02431375,20.813268661499023
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",889,0.00111125,1913,0.01913,9,9e-05,0.02033125,17.842780590057373
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",407,0.00050875,1905,0.01905,10,0.0001,0.01965875,16.784074306488037
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",402,0.0005025,2181,0.02181,10,0.0001,0.0224125,19.95790791511536
