file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,744,0.0002976,0,0.0,605,0.000968,0.0012656,17.240986108779907
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,635,0.000254,0,0.0,806,0.0012896,0.0015436,21.23554277420044
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-300,CWE-1004,CWE-434,CWE-400",905,0.000362,0,0.0,1399,0.0022384,0.0026004,30.038796424865723
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209",841,0.0003364,0,0.0,793,0.0012688,0.0016052,20.63382625579834
BenchmarkTest00006.java,1,0,CWE-78,CWE-77,0,1,0,0,0,CWE-77,502,0.0002008,0,0.0,802,0.0012832,0.001484,20.637730598449707
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,465,0.000186,0,0.0,883,0.0014128,0.0015988,21.24369978904724
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",460,0.000184,0,0.0,470,0.000752,0.000936,14.551556825637816
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,Not vulnerable,878,0.0003512,0,0.0,1173,0.0018768,0.002228,25.51944255828857
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,"CWE-200,CWE-330",813,0.0003252,0,0.0,903,0.0014448,0.00177,21.506524562835693
BenchmarkTest00011.java,1,0,CWE-22,,,0,0,0,1,Not vulnerable,455,0.000182,0,0.0,578,0.0009248,0.0011068,16.90357780456543
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",763,0.0003052,0,0.0,709,0.0011344,0.0014396,18.510603427886963
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-134,CWE-79",388,0.0001552,0,0.0,627,0.0010032,0.0011584,17.019556999206543
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",385,0.000154,0,0.0,913,0.0014608,0.0016148,24.05574059486389
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,514,0.0002056,0,0.0,601,0.0009616,0.0011672,18.509604454040527
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,CWE-113,585,0.000234,0,0.0,836,0.0013376,0.0015716,21.105600833892822
BenchmarkTest00017.java,1,0,CWE-78,CWE-77,0,1,0,0,0,CWE-77,482,0.0001928,0,0.0,695,0.001112,0.0013048,18.509440660476685
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",467,0.0001868,0,0.0,545,0.000872,0.0010588,15.803941249847412
BenchmarkTest00019.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209,CWE-922",797,0.0003188,0,0.0,968,0.0015488,0.0018676,24.446563243865967
BenchmarkTest00020.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-330,CWE-209",1172,0.0004688,0,0.0,879,0.0014064,0.0018752,21.104236125946045
BenchmarkTest00021.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79,CWE-200",704,0.0002816,0,0.0,742,0.0011872,0.0014688,19.57965898513794
BenchmarkTest00022.java,0,0,CWE-328,,,0,0,1,0,CWE-362,685,0.000274,0,0.0,1194,0.0019104,0.0021844,25.63926601409912
BenchmarkTest00023.java,1,0,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-200",703,0.0002812,0,0.0,723,0.0011568,0.001438,20.62586569786072
BenchmarkTest00024.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",482,0.0001928,0,0.0,700,0.00112,0.0013127999999999,17.497551441192627
BenchmarkTest00025.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",479,0.0001916,0,0.0,641,0.0010256,0.0012172,18.50192379951477
BenchmarkTest00026.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,530,0.000212,0,0.0,421,0.0006736,0.0008856,13.54823875427246
BenchmarkTest00027.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",430,0.000172,0,0.0,577,0.0009232,0.0010952,17.33753252029419
BenchmarkTest00028.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-73",494,0.0001976,0,0.0,439,0.0007024,0.0009,15.582903385162354
BenchmarkTest00029.java,1,0,CWE-328,,,0,0,0,1,Not vulnerable,764,0.0003056,0,0.0,958,0.0015328,0.0018384,22.81379127502441
BenchmarkTest00030.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-134,CWE-79",378,0.0001512,0,0.0,643,0.0010287999999999,0.0011799999999999,19.029739141464237
BenchmarkTest00032.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,493,0.0001972,0,0.0,573,0.0009168,0.001114,16.296107530593872
BenchmarkTest00033.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-200",563,0.0002252,0,0.0,647,0.0010352,0.0012604,17.994662761688232
BenchmarkTest00034.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",469,0.0001876,0,0.0,526,0.0008416,0.0010292,16.649401664733887
BenchmarkTest00035.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209,CWE-400",911,0.0003644,0,0.0,1016,0.0016256,0.00199,124.0296561717987
BenchmarkTest00036.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,463,0.0001852,0,0.0,477,0.0007632,0.0009484,16.54082417488098
BenchmarkTest00037.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,582,0.0002328,0,0.0,645,0.001032,0.0012648,19.55644464492798
BenchmarkTest00038.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,705,0.000282,0,0.0,667,0.0010672,0.0013492,19.05319166183472
BenchmarkTest00039.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,602,0.0002408,0,0.0,566,0.0009056,0.0011464,16.64760136604309
BenchmarkTest00040.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-200,CWE-22",440,0.000176,0,0.0,742,0.0011872,0.0013632,20.60808086395264
BenchmarkTest00041.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,386,0.0001544,0,0.0,538,0.0008608,0.0010152,19.05712842941284
BenchmarkTest00042.java,0,0,CWE-330,CWE-330,1,0,1,0,0,"CWE-200,CWE-330,CWE-384",756,0.0003024,0,0.0,1057,0.0016912,0.0019936,126.13834309577942
