file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-209",744,0.001488,0,0.0,695,0.00556,0.007048,10.611696243286133
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-346,CWE-784,CWE-306,CWE-532",635,0.00127,0,0.0,813,0.006504,0.007774,11.113659620285034
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-565,CWE-784,CWE-113",905,0.00181,0,0.0,998,0.007984,0.009794,14.26810622215271
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209",841,0.001682,0,0.0,675,0.0054,0.007082,11.112236499786375
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79",502,0.001004,0,0.0,504,0.004032,0.005036,10.064152956008911
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,465,0.00093,0,0.0,583,0.004664,0.005594,10.600093841552734
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,460,0.00092,0,0.0,463,0.003704,0.004624,8.950506210327148
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,Not vulnerable,878,0.001756,0,0.0,953,0.007624,0.00938,18.439953804016117
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,"CWE-338,CWE-330",813,0.001626,0,0.0,903,0.007224,0.00885,14.323480367660522
BenchmarkTest00011.java,1,0,CWE-22,,,0,0,0,1,Not vulnerable,455,0.00091,0,0.0,528,0.004224,0.005134,8.952604532241821
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-200,CWE-79",763,0.001526,0,0.0,659,0.005272,0.006798,10.613077640533447
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-134,CWE-79,CWE-933",388,0.000776,0,0.0,591,0.004728,0.005504,11.100735664367676
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-134,CWE-79",385,0.00077,0,0.0,552,0.004416,0.005186,10.03962779045105
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,514,0.001028,0,0.0,456,0.003648,0.004676,8.9972403049469
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,"CWE-113,CWE-20",585,0.00117,0,0.0,681,0.005448,0.006618,11.167349100112917
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,482,0.000964,0,0.0,547,0.004376,0.0053399999999999,9.506314277648926
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,467,0.000934,0,0.0,483,0.003864,0.004798,8.995833158493042
BenchmarkTest00019.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-326,CWE-209",797,0.001594,0,0.0,633,0.005064,0.006658,11.079078674316406
BenchmarkTest00020.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209,CWE-532,CWE-306",1172,0.002344,0,0.0,875,0.007,0.009344,14.234044551849363
BenchmarkTest00021.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,704,0.001408,0,0.0,478,0.003824,0.005232,11.705349683761597
BenchmarkTest00022.java,0,0,CWE-328,,,0,0,1,0,"CWE-362,CWE-922",685,0.00137,0,0.0,893,0.007144,0.008514,14.313675880432127
BenchmarkTest00023.java,1,0,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-287",703,0.001406,0,0.0,703,0.005624,0.00703,14.027826309204102
BenchmarkTest00024.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,482,0.000964,0,0.0,400,0.0032,0.004164,8.401326179504395
BenchmarkTest00025.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",479,0.000958,0,0.0,427,0.003416,0.004374,11.104432582855225
BenchmarkTest00026.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",530,0.00106,0,0.0,504,0.004032,0.005092,9.497552156448364
BenchmarkTest00027.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,430,0.00086,0,0.0,445,0.00356,0.0044199999999999,9.520238637924194
BenchmarkTest00028.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,494,0.000988,0,0.0,414,0.003312,0.0043,11.068601608276367
BenchmarkTest00029.java,1,0,CWE-328,,,0,0,0,1,"CWE-400,CWE-352",764,0.001528,0,0.0,908,0.007264,0.008792,13.23736023902893
BenchmarkTest00030.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-134,CWE-79,CWE-933,CWE-16",378,0.000756,0,0.0,503,0.004024,0.0047799999999999,11.714359998703005
BenchmarkTest00032.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,493,0.000986,0,0.0,481,0.003848,0.004834,8.397275924682617
BenchmarkTest00033.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,563,0.001126,0,0.0,522,0.004176,0.005302,8.926226615905762
BenchmarkTest00034.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,469,0.000938,0,0.0,428,0.003424,0.0043619999999999,8.37680721282959
BenchmarkTest00035.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-532,CWE-209",911,0.001822,0,0.0,840,0.00672,0.008542,14.183032274246216
BenchmarkTest00036.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-933",463,0.000926,0,0.0,385,0.00308,0.004006,7.891110897064209
BenchmarkTest00037.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,582,0.001164,0,0.0,533,0.004264,0.005428,10.000797986984251
