file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-20",969,0.001938,0,0.0,9,7.2e-05,0.00201,3.734720945358277
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,860,0.00172,0,0.0,5,4e-05,0.00176,3.942390203475952
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-22,CWE-73,CWE-117",1130,0.00226,0,0.0,13,0.000104,0.0023639999999999,4.228307723999023
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-117",1066,0.002132,0,0.0,9,7.2e-05,0.002204,4.0143656730651855
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,727,0.001454,0,0.0,5,4e-05,0.001494,4.266990184783936
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,690,0.00138,0,0.0,5,4e-05,0.00142,4.407111644744873
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,685,0.00137,0,0.0,5,4e-05,0.00141,3.562978982925415
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,"CWE-22,CWE-20",1103,0.002206,0,0.0,9,7.2e-05,0.002278,3.687110900878906
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,"CWE-330,CWE-352,CWE-79",1038,0.002076,0,0.0,13,0.000104,0.00218,3.805092096328736
BenchmarkTest00011.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,680,0.00136,0,0.0,5,4e-05,0.0014,3.708043336868286
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",988,0.001976,0,0.0,9,7.2e-05,0.002048,3.8586268424987793
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-113",613,0.001226,0,0.0,9,7.2e-05,0.001298,4.284053087234497
