file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-425",714,0.001428,0,0.0,9,7.2e-05,0.0015,3.7794148921966553
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-20",605,0.00121,0,0.0,9,7.2e-05,0.001282,4.361933469772339
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-20,CWE-22,CWE-73",875,0.00175,0,0.0,13,0.000104,0.001854,3.603131055831909
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-117",811,0.001622,0,0.0,9,7.2e-05,0.001694,4.207378625869751
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,472,0.000944,0,0.0,5,4e-05,0.000984,3.7231404781341553
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,435,0.00087,0,0.0,5,4e-05,0.00091,3.434422254562378
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,430,0.00086,0,0.0,5,4e-05,0.0009,3.4232304096221924
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,"CWE-22,CWE-73,CWE-78",848,0.001696,0,0.0,13,0.000104,0.0018,3.8301520347595215
BenchmarkTest00010.java,0,0,CWE-330,CWE-338,0,0,1,0,0,"CWE-338,CWE-20,CWE-200",783,0.001566,0,0.0,13,0.000104,0.0016699999999999,3.8612656593322754
BenchmarkTest00011.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,425,0.00085,0,0.0,5,4e-05,0.00089,3.834616899490357
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",733,0.001466,0,0.0,9,7.2e-05,0.001538,3.47796368598938
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-117",358,0.000716,0,0.0,9,7.2e-05,0.000788,3.4579992294311523
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-117",355,0.00071,0,0.0,9,7.2e-05,0.000782,3.4860239028930664
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,484,0.000968,0,0.0,5,4e-05,0.001008,3.4348514080047607
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,Not vulnerable,555,0.00111,0,0.0,3,2.4e-05,0.001134,3.455712080001831
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,452,0.000904,0,0.0,5,4e-05,0.000944,3.5721235275268555
