file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,968,0.000242,1152,0.002304,14,2.8e-05,0.002574,9.530763149261476
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-73",859,0.00021475,1088,0.002176,18,3.6e-05,0.00242675,9.593220949172974
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-798,CWE-200,CWE-312",1129,0.00028225,3904,0.007808,22,4.4e-05,0.00813425,25.4251561164856
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209",1065,0.00026625,1920,0.00384,18,3.6e-05,0.00414225,13.547821044921877
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79",726,0.0001815,512,0.001024,18,3.6e-05,0.0012415,5.666330814361572
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-427",689,0.00017225,768,0.001536,18,3.6e-05,0.00174425,7.824578285217285
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209,CWE-772",684,0.000171,704,0.001408,22,4.4e-05,0.0016229999999999,5.60588526725769
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,Not vulnerable,1102,0.0002755,2688,0.005376,12,2.4e-05,0.0056754999999999,22.54181694984436
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,CWE-330,1037,0.00025925,1344,0.002688,14,2.8e-05,0.0029752499999999,12.893643856048584
BenchmarkTest00011.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-36,CWE-200",679,0.00016975,704,0.001408,22,4.4e-05,0.00162175,7.045372009277344
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",987,0.00024675,768,0.001536,18,3.6e-05,0.00181875,9.770428895950316
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",612,0.000153,512,0.001024,18,3.6e-05,0.0012129999999999,4.598623275756836
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",609,0.00015225,576,0.001152,18,3.6e-05,0.00134025,6.145489931106567
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79",738,0.0001845,768,0.001536,18,3.6e-05,0.0017565,8.476300477981567
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,CWE-113,809,0.00020225,1408,0.002816,14,2.8e-05,0.00304625,11.434847354888916
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,706,0.0001765,448,0.000896,14,2.8e-05,0.0011005,4.228238105773926
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",691,0.00017275,768,0.001536,18,3.6e-05,0.00174475,6.954015970230103
BenchmarkTest00019.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209",1021,0.00025525,1728,0.003456,18,3.6e-05,0.0037472499999999,12.12260389328003
BenchmarkTest00020.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209",1396,0.000349,1472,0.002944,18,3.6e-05,0.003329,12.192665576934814
BenchmarkTest00021.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",928,0.000232,640,0.00128,18,3.6e-05,0.001548,6.857180595397949
BenchmarkTest00022.java,0,0,CWE-328,,,0,0,1,0,"CWE-400,CWE-200",909,0.00022725,2368,0.004736,18,3.6e-05,0.0049992499999999,17.34562349319458
BenchmarkTest00023.java,1,0,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-200",927,0.00023175,2304,0.004608,18,3.6e-05,0.00487575,16.110658168792725
BenchmarkTest00024.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,706,0.0001765,320,0.00064,14,2.8e-05,0.0008445,4.41168212890625
BenchmarkTest00025.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-200",703,0.00017575,960,0.00192,18,3.6e-05,0.00213175,7.93771505355835
BenchmarkTest00026.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",754,0.0001885,960,0.00192,18,3.6e-05,0.0021445,8.822654485702515
BenchmarkTest00027.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-79,CWE-352",654,0.0001635,960,0.00192,22,4.4e-05,0.0021275,8.707989931106567
BenchmarkTest00028.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-73",718,0.0001795,512,0.001024,18,3.6e-05,0.0012395,5.549234628677368
BenchmarkTest00029.java,1,0,CWE-328,CWE-916,0,1,0,0,0,"CWE-352,CWE-916,CWE-200",988,0.000247,2432,0.004864,22,4.4e-05,0.005155,16.28656768798828
BenchmarkTest00030.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",602,0.0001505,832,0.001664,18,3.6e-05,0.0018505,7.945199966430664
BenchmarkTest00032.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-200",717,0.00017925,1024,0.002048,18,3.6e-05,0.00226325,8.264346599578857
BenchmarkTest00033.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-200,CWE-209",787,0.00019675,896,0.001792,22,4.4e-05,0.00203275,6.831893682479858
BenchmarkTest00034.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,693,0.00017325,256,0.000512,14,2.8e-05,0.00071325,3.245783805847168
BenchmarkTest00035.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209",1135,0.00028375,2304,0.004608,18,3.6e-05,0.00492775,16.14897108078003
BenchmarkTest00036.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,687,0.00017175,448,0.000896,14,2.8e-05,0.00109575,5.081012964248657
BenchmarkTest00037.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-772",806,0.0002015,1024,0.002048,18,3.6e-05,0.0022854999999999,7.465067386627197
BenchmarkTest00038.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",929,0.00023225,1088,0.002176,18,3.6e-05,0.00244425,9.014808893203735
BenchmarkTest00039.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",826,0.0002065,1024,0.002048,18,3.6e-05,0.0022905,8.175692081451416
BenchmarkTest00040.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-200",664,0.000166,704,0.001408,18,3.6e-05,0.0016099999999999,10.76108741760254
BenchmarkTest00041.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-116",610,0.0001525,640,0.00128,18,3.6e-05,0.0014685,5.293358325958252
BenchmarkTest00042.java,0,0,CWE-330,,,0,0,1,0,CWE-200,980,0.000245,2496,0.004992,14,2.8e-05,0.005265,20.718685626983643
BenchmarkTest00043.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-312,CWE-352",689,0.00017225,1408,0.002816,22,4.4e-05,0.00303225,10.399417161941528
BenchmarkTest00044.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",927,0.00023175,768,0.001536,18,3.6e-05,0.00180375,8.067779541015625
BenchmarkTest00045.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-73,CWE-772,CWE-200",668,0.000167,1408,0.002816,26,5.2e-05,0.003035,13.61547064781189
BenchmarkTest00046.java,1,0,CWE-328,CWE-328,1,1,0,0,0,"CWE-328,CWE-200",930,0.0002325,1728,0.003456,18,3.6e-05,0.0037245,13.594939708709717
BenchmarkTest00047.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",730,0.0001825,832,0.001664,18,3.6e-05,0.0018824999999999,6.331996917724609
BenchmarkTest00048.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-116",725,0.00018125,640,0.00128,18,3.6e-05,0.00149725,6.520032405853272
BenchmarkTest00049.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,723,0.00018075,768,0.001536,14,2.8e-05,0.00174475,8.371158599853516
BenchmarkTest00050.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209,CWE-200",1412,0.000353,1664,0.003328,22,4.4e-05,0.003725,15.272144079208374
BenchmarkTest00051.java,0,0,CWE-78,CWE-78,1,0,1,0,0,"CWE-78,CWE-20",716,0.000179,640,0.00128,18,3.6e-05,0.001495,7.215723752975464
BenchmarkTest00052.java,0,0,CWE-89,CWE-89,1,0,1,0,0,"CWE-89,CWE-79,CWE-209",711,0.00017775,896,0.001792,22,4.4e-05,0.00201375,8.906398296356201
BenchmarkTest00053.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-200",1554,0.0003885,2496,0.004992,18,3.6e-05,0.0054164999999999,17.648747444152832
BenchmarkTest00054.java,0,0,CWE-327,,,0,0,1,0,"CWE-798,CWE-330,CWE-200",1482,0.0003705,2752,0.005504,22,4.4e-05,0.0059185,21.27395462989807
BenchmarkTest00055.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209,CWE-200",1576,0.000394,3136,0.006272,22,4.4e-05,0.00671,22.09042358398437
BenchmarkTest00056.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-798,CWE-200",1643,0.00041075,1920,0.00384,22,4.4e-05,0.00429475,14.799089193344116
BenchmarkTest00057.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-200,CWE-1004",1253,0.00031325,2304,0.004608,23,4.6e-05,0.00496725,18.60055351257324
BenchmarkTest00058.java,0,0,CWE-327,,,0,0,1,0,"CWE-1004,CWE-798,CWE-209,CWE-200",1169,0.00029225,2688,0.005376,27,5.4e-05,0.00572225,26.66436553001404
BenchmarkTest00059.java,0,0,CWE-327,CWE-327,1,0,1,0,0,"CWE-327,CWE-200,CWE-798",1228,0.000307,2112,0.004224,22,4.4e-05,0.004575,17.852069854736328
BenchmarkTest00060.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-200",880,0.00022,1408,0.002816,18,3.6e-05,0.003072,11.815372705459597
BenchmarkTest00061.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-200",867,0.00021675,1408,0.002816,18,3.6e-05,0.00306875,13.01433515548706
BenchmarkTest00062.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-200",1059,0.00026475,1280,0.00256,18,3.6e-05,0.00286075,12.029444932937622
BenchmarkTest00063.java,0,0,CWE-22,,,0,0,1,0,Not vulnerable,1005,0.00025125,1344,0.002688,12,2.4e-05,0.00296325,9.296184539794922
BenchmarkTest00064.java,0,0,CWE-22,,,0,0,1,0,Not vulnerable,894,0.0002235,896,0.001792,12,2.4e-05,0.0020395,6.788531064987183
BenchmarkTest00065.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-200",1028,0.000257,960,0.00192,18,3.6e-05,0.002213,10.135702848434448
BenchmarkTest00066.java,1,0,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-200",1131,0.00028275,2432,0.004864,18,3.6e-05,0.00518275,25.530176639556885
BenchmarkTest00067.java,1,0,CWE-330,CWE-330,1,1,0,0,0,CWE-330,1330,0.0003325,1856,0.003712,14,2.8e-05,0.0040725,16.54205298423767
BenchmarkTest00068.java,1,0,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-200",1125,0.00028125,2496,0.004992,18,3.6e-05,0.00530925,19.248626232147217
BenchmarkTest00069.java,0,0,CWE-328,,,0,0,1,0,"CWE-798,CWE-200",1236,0.000309,2112,0.004224,18,3.6e-05,0.004569,19.10685420036316
BenchmarkTest00070.java,1,0,CWE-328,CWE-327,0,1,0,0,0,"CWE-327,CWE-200,CWE-312",1183,0.00029575,2432,0.004864,22,4.4e-05,0.00520375,20.48959827423096
BenchmarkTest00071.java,1,0,CWE-328,CWE-327,0,1,0,0,0,"CWE-327,CWE-798,CWE-312",1187,0.00029675,2112,0.004224,22,4.4e-05,0.00456475,15.083661317825316
BenchmarkTest00072.java,0,0,CWE-328,,,0,0,1,0,"CWE-200,CWE-312,CWE-798",1182,0.0002955,2496,0.004992,22,4.4e-05,0.0053314999999999,205.94017505645752
BenchmarkTest00073.java,1,0,CWE-328,CWE-328,1,1,0,0,0,"CWE-328,CWE-798,CWE-200,CWE-1004",1170,0.0002925,2496,0.004992,27,5.4e-05,0.0053385,18.94331908226013
BenchmarkTest00074.java,1,0,CWE-328,,,0,0,0,1,"CWE-798,CWE-200",1220,0.000305,2752,0.005504,18,3.6e-05,0.0058449999999999,18.967158555984497
BenchmarkTest00075.java,0,0,CWE-328,,,0,0,1,0,"CWE-798,CWE-200,CWE-922",1164,0.000291,2752,0.005504,22,4.4e-05,0.005839,18.94293618202209
BenchmarkTest00076.java,0,0,CWE-328,,,0,0,1,0,CWE-798,1227,0.00030675,3136,0.006272,14,2.8e-05,0.00660675,21.761251211166385
