file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,968,0.00121,1728,0.01728,14,0.00014,0.01863,51.12713408470154
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,859,0.00107375,2944,0.02944,14,0.00014,0.03065375,108.97207188606262
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,CWE-1004,1129,0.00141125,4672,0.04672,15,0.00015,0.04828125,150.13403391838074
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,CWE-327,1065,0.00133125,3520,0.0352,14,0.00014,0.03667125,112.28339743614195
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79",726,0.0009075,2176,0.02176,18,0.00018,0.0228475,74.50356698036194
BenchmarkTest00007.java,1,0,CWE-78,,,0,0,0,1,CWE-427,689,0.00086125,3840,0.0384,14,0.00014,0.03940125,104.6219072341919
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,684,0.000855,1408,0.01408,14,0.00014,0.015075,54.74209666252136
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,Not vulnerable,1102,0.0013775,2816,0.02816,12,0.00012,0.0296575,103.65723538398744
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,CWE-330,1037,0.00129625,3328,0.03328,14,0.00014,0.03471625,93.56870102882384
BenchmarkTest00011.java,1,0,CWE-22,,,0,0,0,1,Not vulnerable,679,0.00084875,1536,0.01536,12,0.00012,0.01632875,64.86572813987732
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,987,0.00123375,2304,0.02304,14,0.00014,0.02441375,93.38488793373108
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,CWE-79,612,0.000765,2304,0.02304,14,0.00014,0.023945,97.96658444404602
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",609,0.00076125,1408,0.01408,18,0.00018,0.01502125,50.455307960510254
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,738,0.0009225,832,0.00832,15,0.00015,0.0093925,51.49485635757446
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,CWE-113,809,0.00101125,1600,0.016,14,0.00014,0.01715125,60.884825229644775
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,706,0.0008825,1344,0.01344,14,0.00014,0.0144625,63.90008592605591
