file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-79,CWE-311",737.0,0.0002948,0.0,0.0,17.0,3.4e-05,0.0003288,1.673147201538086
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-79,CWE-327",623.0,0.0002492,0.0,0.0,17.0,3.4e-05,0.0002832,1.6934254169464111
BenchmarkTest00003.java,1,0,CWE-328,CWE-327,0,1,0,0,0,"CWE-22,CWE-79,CWE-327,CWE-326,CWE-209",900.0,0.00036,0.0,0.0,29.0,5.8e-05,0.000418,5.3997228145599365
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-22,CWE-209,CWE-532",848.0,0.0003392,0.0,0.0,24.0,4.8e-05,0.0003872,1.7786595821380615
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-77",478.0,0.0001912,0.0,0.0,11.0,2.2e-05,0.0002132,1.0486836433410645
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79",444.0,0.0001776,0.0,0.0,11.0,2.2e-05,0.0001996,1.3458995819091797
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209,CWE-79",440.0,0.000176,0.0,0.0,17.0,3.4e-05,0.00021,1.0346295833587646
BenchmarkTest00009.java,0,0,CWE-328,CWE-327,0,0,1,0,0,"CWE-22,CWE-79,CWE-327,CWE-330",873.0,0.0003492,0.0,0.0,23.0,4.6e-05,0.0003952,1.255908489227295
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,"CWE-330,CWE-338",806.0,0.0003224,0.0,0.0,13.0,2.6e-05,0.0003484,1.0411365032196045
BenchmarkTest00011.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-73,CWE-116",433.0,0.0001732,0.0,0.0,17.0,3.4e-05,0.0002072,1.1043765544891355
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-116",784.0,0.0003136,0.0,0.0,12.0,2.4e-05,0.0003376,1.1125357151031494
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-116",368.0,0.0001472,0.0,0.0,12.0,2.4e-05,0.0001712,1.0706501007080078
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-116,CWE-79,CWE-113",361.0,0.0001444,0.0,0.0,18.0,3.6e-05,0.0001804,1.1495509147644043
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-77",491.0,0.0001964,0.0,0.0,11.0,2.2e-05,0.0002184,0.9989829063415528
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,"CWE-116,CWE-209",570.0,0.000228,0.0,0.0,13.0,2.6e-05,0.000254,1.0529322624206543
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79,CWE-116",462.0,0.0001848,0.0,0.0,17.0,3.4e-05,0.0002188,5.712370157241821
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",449.0,0.0001796,0.0,0.0,12.0,2.4e-05,0.0002036,1.130136489868164
BenchmarkTest00019.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-22,CWE-327,CWE-330,CWE-326,CWE-209,CWE-532",802.0,0.0003208,0.0,0.0,36.0,7.2e-05,0.0003928,1.554330587387085
BenchmarkTest00020.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-22,CWE-209,CWE-532",1186.0,0.0004744,0.0,0.0,24.0,4.8e-05,0.0005224,3.45247483253479
BenchmarkTest00021.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-89",717.0,0.0002868,0.0,0.0,11.0,2.2e-05,0.0003088,2.522014617919922
BenchmarkTest00022.java,0,0,CWE-328,CWE-327,0,0,1,0,0,"CWE-79,CWE-22,CWE-327",674.0,0.0002696,0.0,0.0,17.0,3.4e-05,0.0003036,1.1775858402252195
BenchmarkTest00023.java,1,0,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-338",691.0,0.0002764,0.0,0.0,13.0,2.6e-05,0.0003024,1.1359553337097168
BenchmarkTest00024.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",473.0,0.0001892,0.0,0.0,12.0,2.4e-05,0.0002132,1.12078595161438
BenchmarkTest00025.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",463.0,0.0001852,0.0,0.0,12.0,2.4e-05,0.0002092,1.1429495811462402
BenchmarkTest00026.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",516.0,0.0002064,0.0,0.0,12.0,2.4e-05,0.0002304,1.5016639232635498
BenchmarkTest00027.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",411.0,0.0001644,0.0,0.0,12.0,2.4e-05,0.0001884,6.36466908454895
BenchmarkTest00028.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-79,CWE-209",476.0,0.0001904,0.0,0.0,17.0,3.4e-05,0.0002243999999999,1.372159719467163
BenchmarkTest00029.java,1,0,CWE-328,CWE-327,0,1,0,0,0,"CWE-79,CWE-22,CWE-327,CWE-330",753.0,0.0003012,0.0,0.0,23.0,4.6e-05,0.0003472,1.5023503303527832
BenchmarkTest00030.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-116",353.0,0.0001412,0.0,0.0,12.0,2.4e-05,0.0001652,0.9498734474182128
BenchmarkTest00032.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",478.0,0.0001912,0.0,0.0,12.0,2.4e-05,0.0002152,1.040579080581665
BenchmarkTest00033.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",549.0,0.0002196,0.0,0.0,12.0,2.4e-05,0.0002436,1.1354053020477295
BenchmarkTest00034.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",455.0,0.000182,0.0,0.0,12.0,2.4e-05,0.000206,1.0577547550201416
BenchmarkTest00035.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-22,CWE-209,CWE-532",918.0,0.0003672,0.0,0.0,24.0,4.8e-05,0.0004152,1.317335605621338
BenchmarkTest00036.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-116",439.0,0.0001756,0.0,0.0,12.0,2.4e-05,0.0001996,5.898754596710205
BenchmarkTest00037.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",574.0,0.0002296,0.0,0.0,12.0,2.4e-05,0.0002536,1.367038011550903
BenchmarkTest00038.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",695.0,0.000278,0.0,0.0,12.0,2.4e-05,0.0003019999999999,2.413118839263916
BenchmarkTest00039.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209",589.0,0.0002356,0.0,0.0,12.0,2.4e-05,0.0002596,2.3002798557281494
BenchmarkTest00040.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-73",423.0,0.0001692,0.0,0.0,11.0,2.2e-05,0.0001912,2.067310333251953
