file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,968,0.001936,384,0.003072,23,0.000184,0.005192,18.333611488342285
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,859,0.001718,576,0.004608,23,0.000184,0.00651,21.12651824951172
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-1004,CWE-759",1129,0.002258,1024,0.008192,28,0.000224,0.010674,41.763789892196655
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209",1065,0.00213,704,0.005632,27,0.000216,0.0079779999999999,35.479182958602905
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79",726,0.001452,960,0.00768,27,0.000216,0.0093479999999999,27.768848180770878
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,689,0.001378,640,0.00512,23,0.000184,0.006682,21.318536520004272
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-79",684,0.001368,256,0.002048,27,0.000216,0.003632,29.88964056968689
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,Not vulnerable,1102,0.002204,832,0.006656,21,0.000168,0.009028,24.884822368621823
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,CWE-330,1037,0.002074,704,0.005632,23,0.000184,0.00789,47.31062531471253
BenchmarkTest00011.java,1,0,CWE-22,,,0,0,0,1,Not vulnerable,679,0.001358,1664,0.013312,21,0.000168,0.0148379999999999,37.36294937133789
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,987,0.001974,1216,0.009728,23,0.000184,0.011886,40.3044023513794
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",612,0.001224,512,0.004096,27,0.000216,0.005536,22.674484252929688
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",609,0.001218,640,0.00512,27,0.000216,0.006554,23.47391390800476
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,738,0.001476,192,0.001536,23,0.000184,0.003196,28.911251068115234
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,CWE-113,809,0.001618,1344,0.010752,23,0.000184,0.012554,44.055721044540405
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,706,0.001412,384,0.003072,23,0.000184,0.004668,19.195525407791138
