file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,CWE-22,713,0.0007843,1600,0.00704,23,0.0001012,0.0079255,32.97621703147888
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-23,CWE-73,CWE-352,CWE-117",604,0.0006644,2304,0.0101376,39,0.0001716,0.0109736,22.93788504600525
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-352,CWE-614",874,0.0009614,5504,0.0242176,27,0.0001188,0.0252978,50.97481799125672
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,CWE-327,810,0.000891,1856,0.0081664,23,0.0001012,0.0091586,76.4194848537445
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79",471,0.0005181,640,0.002816,27,0.0001188,0.0034529,9.129846811294556
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-427",434,0.0004774,2304,0.0101376,27,0.0001188,0.0107338,22.76720762252808
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,429,0.0004719,640,0.002816,24,0.0001056,0.0033935,12.284820795059204
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,"CWE-284,CWE-352,CWE-400",847,0.0009317,4736,0.0208384,30,0.000132,0.0219021,43.78170037269592
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,CWE-330,782,0.0008602,1792,0.0078848,23,0.0001012,0.0088462,18.513367414474487
BenchmarkTest00011.java,1,0,CWE-22,,,0,0,0,1,Not vulnerable,424,0.0004664,1728,0.0076032,21,9.24e-05,0.008162,16.777655839920044
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,732,0.0008052,768,0.0033792,23,0.0001012,0.0042856,10.146447896957396
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",357,0.0003927,960,0.004224,27,0.0001188,0.0047355,9.432539701461792
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",354,0.0003894,448,0.0019712,27,0.0001188,0.0024794,6.512606620788574
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79",483,0.0005313,448,0.0019712,27,0.0001188,0.0026213,6.365485906600952
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,CWE-113,554,0.0006094,2112,0.0092928,23,0.0001012,0.0100033999999999,27.56868886947632
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,451,0.0004961,320,0.001408,23,0.0001012,0.0020053,4.241023063659668
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,436,0.0004796,384,0.0016896,23,0.0001012,0.0022704,4.983956813812256
BenchmarkTest00019.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209",766,0.0008426,3520,0.015488,27,0.0001188,0.0164494,34.78676629066467
BenchmarkTest00020.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327",1141,0.0012551,1152,0.0050688,27,0.0001188,0.0064427,11.62599229812622
BenchmarkTest00021.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",673,0.0007403,576,0.0025344,27,0.0001188,0.0033935,8.620465517044067
BenchmarkTest00022.java,0,0,CWE-328,,,0,0,1,0,CWE-759,654,0.0007194,2752,0.0121088,23,0.0001012,0.0129294,35.401082038879395
BenchmarkTest00023.java,1,0,CWE-330,CWE-330,1,1,0,0,0,CWE-330,672,0.0007392,1344,0.0059136,23,0.0001012,0.006754,16.373462200164795
BenchmarkTest00024.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,451,0.0004961,704,0.0030976,23,0.0001012,0.0036949,7.73565936088562
BenchmarkTest00025.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,448,0.0004928,1664,0.0073216,23,0.0001012,0.0079156,15.37374234199524
BenchmarkTest00026.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-200,CWE-209,CWE-598",499,0.0005489,1280,0.005632,35,0.000154,0.0063348999999999,13.970247268676758
