model,prompting_type,cwe,direct_match_percentage,tp,fp,tn,fn,accuracy,precision,recall,f1,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
DeepSeek-V3-0324,cot,CWE-22,1.0000,132,126,9,1,0.5261,0.5116,0.9925,0.6752,661.6891,0.0000,326.6442,0.0025,0.6601,5.5519,1
DeepSeek-V3-0324,cot,CWE-328,0.0732,50,32,75,79,0.5297,0.6098,0.3876,0.4739,916.4553,0.0000,402.8851,0.0032,0.7516,6.1082,1
DeepSeek-V3-0324,cot,CWE-327,1.0000,106,68,48,24,0.6260,0.6092,0.8154,0.6974,1111.0861,0.0000,393.6230,0.0034,0.8406,6.0269,2
DeepSeek-V3-0324,cot,CWE-78,1.0000,126,119,6,0,0.5259,0.5143,1.0000,0.6792,638.1673,0.0000,312.4701,0.0024,0.5955,4.9811,0
DeepSeek-V3-0324,cot,CWE-89,1.0000,272,221,11,0,0.5615,0.5517,1.0000,0.7111,646.6024,0.0000,313.2803,0.0024,1.2015,5.1546,1
DeepSeek-V3-0324,cot,CWE-330,0.9592,210,158,117,8,0.6633,0.5707,0.9633,0.7167,884.9022,0.0000,354.0815,0.0029,1.4380,5.4829,2
DeepSeek-V3-0324,cot,CWE-90,1.0000,27,32,0,0,0.4576,0.4576,1.0000,0.6279,922.9322,0.0000,329.1356,0.0029,0.1694,5.2693,0
DeepSeek-V3-0324,cot,CWE-79,1.0000,239,162,47,7,0.6286,0.5960,0.9715,0.7388,492.8000,0.0000,311.4879,0.0022,0.9792,5.1577,1
DeepSeek-V3-0324,cot,CWE-614,1.0000,15,0,31,21,0.6866,1.0000,0.4167,0.5882,692.7164,0.0000,376.1045,0.0027,0.1838,5.9124,0
DeepSeek-V3-0324,cot,CWE-643,1.0000,15,20,0,0,0.4286,0.4286,1.0000,0.6000,849.9714,0.0000,335.0286,0.0028,0.0976,5.2420,0
DeepSeek-V3-0324,cot,all,0.9573,1192,938,344,140,0.5876,0.5596,0.8949,0.6886,743.3406,0.0000,339.8048,0.0027,6.9173,5.4318,8
DeepSeek-V3-0324,few-shot,CWE-22,1.0000,133,135,0,0,0.4963,0.4963,1.0000,0.6633,903.4440,0.0000,9.3806,0.0014,0.3710,1.6922,0
DeepSeek-V3-0324,few-shot,CWE-328,0.3033,72,50,57,57,0.5466,0.5902,0.5581,0.5737,1157.8644,0.0000,13.7203,0.0018,0.4206,1.6217,0
DeepSeek-V3-0324,few-shot,CWE-327,1.0000,128,37,79,2,0.8415,0.7758,0.9846,0.8678,1353.0772,0.0000,16.6870,0.0021,0.5130,1.7422,0
DeepSeek-V3-0324,few-shot,CWE-78,1.0000,126,125,0,0,0.5020,0.5020,1.0000,0.6684,880.1673,0.0000,9.9602,0.0014,0.3395,1.5665,0
DeepSeek-V3-0324,few-shot,CWE-89,1.0000,272,230,2,0,0.5437,0.5418,1.0000,0.7028,888.3645,0.0000,9.5080,0.0014,0.6840,1.7055,2
DeepSeek-V3-0324,few-shot,CWE-330,1.0000,210,270,5,8,0.4361,0.4375,0.9633,0.6017,1126.9655,0.0000,10.9371,0.0017,0.8496,2.3455,0
DeepSeek-V3-0324,few-shot,CWE-90,1.0000,27,32,0,0,0.4576,0.4576,1.0000,0.6279,1164.9322,0.0000,9.1525,0.0018,0.1045,1.5560,0
DeepSeek-V3-0324,few-shot,CWE-79,0.9977,241,202,7,5,0.5451,0.5440,0.9797,0.6996,735.0132,0.0000,8.8678,0.0011,0.5139,1.6222,1
DeepSeek-V3-0324,few-shot,CWE-614,1.0000,3,3,28,33,0.4627,0.5000,0.0833,0.1429,934.7164,0.0000,11.8806,0.0014,0.0966,1.5038,0
DeepSeek-V3-0324,few-shot,CWE-643,1.0000,15,20,0,0,0.4286,0.4286,1.0000,0.6000,1091.9714,0.0000,9.6857,0.0017,0.0583,1.7873,0
DeepSeek-V3-0324,few-shot,all,0.9631,1227,1104,178,105,0.5375,0.5264,0.9212,0.6699,985.8227,0.0000,10.8093,0.0015,3.9511,1.7855,3
DeepSeek-V3-0324,zero-shot,CWE-22,1.0000,133,135,0,0,0.4963,0.4963,1.0000,0.6633,630.4440,0.0000,9.3582,0.0010,0.2623,2.9136,0
DeepSeek-V3-0324,zero-shot,CWE-328,0.0256,22,17,90,107,0.4746,0.5641,0.1705,0.2619,884.8644,0.0000,16.2331,0.0014,0.3276,2.5310,1
DeepSeek-V3-0324,zero-shot,CWE-327,1.0000,130,31,85,0,0.8740,0.8075,1.0000,0.8935,1080.0772,0.0000,17.2195,0.0017,0.4139,2.0102,0
DeepSeek-V3-0324,zero-shot,CWE-78,1.0000,126,125,0,0,0.5020,0.5020,1.0000,0.6684,607.1673,0.0000,8.6534,0.0009,0.2362,1.9063,0
DeepSeek-V3-0324,zero-shot,CWE-89,1.0000,271,232,0,1,0.5377,0.5388,0.9963,0.6994,615.5595,0.0000,9.4524,0.0010,0.4824,1.9174,1
DeepSeek-V3-0324,zero-shot,CWE-330,1.0000,193,248,27,25,0.4462,0.4376,0.8853,0.5857,854.0793,0.0000,29.8374,0.0014,0.6909,2.1153,3
DeepSeek-V3-0324,zero-shot,CWE-90,1.0000,27,32,0,0,0.4576,0.4576,1.0000,0.6279,891.9322,0.0000,9.6949,0.0014,0.0808,1.8566,0
DeepSeek-V3-0324,zero-shot,CWE-79,1.0000,236,199,10,10,0.5407,0.5425,0.9593,0.6931,461.8018,0.0000,8.9383,0.0007,0.3298,1.9566,2
DeepSeek-V3-0324,zero-shot,CWE-614,1.0000,2,0,31,34,0.4925,1.0000,0.0556,0.1053,661.7164,0.0000,10.3731,0.0010,0.0690,2.0181,0
DeepSeek-V3-0324,zero-shot,CWE-643,1.0000,14,20,0,1,0.4000,0.4118,0.9333,0.5714,824.6176,0.0000,8.2059,0.0013,0.0429,3.9083,1
DeepSeek-V3-0324,zero-shot,all,0.9827,1154,1039,243,178,0.5344,0.5262,0.8664,0.6548,712.7491,0.0000,14.4753,0.0011,2.9359,2.1540,8
gemini-2.5-flash,few-shot,CWE-22,1.0000,126,15,120,7,0.9179,0.8936,0.9474,0.9197,1036.8097,2465.4403,5.5410,0.0065,1.7389,12.1399,0
gemini-2.5-flash,few-shot,CWE-328,0.0182,84,26,81,45,0.6992,0.7636,0.6512,0.7029,1339.0381,3622.1059,8.7203,0.0095,2.2370,18.1473,0
gemini-2.5-flash,few-shot,CWE-327,1.0000,67,37,79,63,0.5935,0.6442,0.5154,0.5726,1558.5163,3559.0447,12.0691,0.0094,2.3113,17.8916,0
gemini-2.5-flash,few-shot,CWE-78,0.9942,125,46,79,1,0.8127,0.7310,0.9921,0.8418,1008.6653,2609.2231,4.2470,0.0068,1.7159,12.7895,0
gemini-2.5-flash,few-shot,CWE-89,1.0000,272,42,190,0,0.9167,0.8662,1.0000,0.9283,1009.9266,2061.2778,8.6409,0.0055,2.7608,10.2631,0
gemini-2.5-flash,few-shot,CWE-330,0.3208,204,195,80,14,0.5761,0.5113,0.9358,0.6613,1297.7424,3256.5030,7.8742,0.0086,4.2153,15.9790,0
gemini-2.5-flash,few-shot,CWE-90,1.0000,27,7,25,0,0.8814,0.7941,1.0000,0.8852,1317.3559,1846.5932,6.6102,0.0050,0.2967,8.9661,0
gemini-2.5-flash,few-shot,CWE-79,1.0000,246,30,179,0,0.9341,0.8913,1.0000,0.9425,831.1714,1994.7824,8.9055,0.0053,2.3926,9.7807,0
gemini-2.5-flash,few-shot,CWE-614,1.0000,34,0,31,2,0.9701,1.0000,0.9444,0.9714,1065.4179,3395.4776,5.4478,0.0088,0.5911,17.5862,0
gemini-2.5-flash,few-shot,CWE-643,1.0000,15,2,18,0,0.9429,0.8824,1.0000,0.9375,1230.9714,2020.9429,4.0286,0.0054,0.1901,9.5274,0
gemini-2.5-flash,few-shot,all,0.7625,1200,400,882,132,0.7965,0.7500,0.9009,0.8186,1128.3902,2679.8546,7.9430,0.0071,18.4496,13.2704,0
gemini-2.5-flash,zero-shot,CWE-22,1.0000,122,19,116,11,0.8881,0.8652,0.9173,0.8905,739.8097,2539.6343,4.9739,0.0066,1.7644,12.6847,0
