file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest02688.java,0,"CWE-134,CWE-693",765,0.0002295,1325,0.0033125,11,2.75E-05,0.0035695,6.511508226
BenchmarkTest01343.java,0,Not vulnerable,870,0.000261,2116,0.00529,2,5.00E-06,0.005556,9.53813076
BenchmarkTest00014.java,0,"CWE-134,CWE-79",725,0.0002175,2161,0.0054025,10,2.50E-05,0.005645,10.01036906
BenchmarkTest02054.java,0,"CWE-134,CWE-79,CWE-693",787,0.0002361,2288,0.00572,16,4.00E-05,0.0059961,10.86534238
BenchmarkTest01924.java,0,CWE-134,776,0.0002328,2175,0.0054375,5,1.25E-05,0.0056828,11.40027475
BenchmarkTest00473.java,0,"CWE-134,CWE-79",798,0.0002394,2454,0.006135,10,2.50E-05,0.0063994,12.25092626
BenchmarkTest00581.java,0,"CWE-330,CWE-359",1275,0.0003825,2992,0.00748,11,2.75E-05,0.00789,13.32806587
BenchmarkTest00013.java,0,"CWE-79,CWE-400",730,0.000219,2703,0.0067575,10,2.50E-05,0.0070015,13.3897233
BenchmarkTest00211.java,0,CWE-321,1392,0.0004176,4270,0.010675,5,1.25E-05,0.0111051,22.25139523
BenchmarkTest01414.java,0,CWE-400,1372,0.0004116,4534,0.011335,5,1.25E-05,0.0117591,22.57930088
BenchmarkTest00242.java,0,CWE-400,1106,0.0003318,4534,0.011335,5,1.25E-05,0.0116793,22.96886182
BenchmarkTest00271.java,0,"CWE-78,CWE-22,CWE-400",1590,0.000477,6398,0.015995,15,3.75E-05,0.0165095,32.22939634
BenchmarkTest01444.java,0,CWE-78,1053,0.0003159,6196,0.01549,4,1.00E-05,0.0158159,32.22668815
BenchmarkTest01739.java,0,"CWE-400,CWE-321,CWE-327",1337,0.0004011,6523,0.0163075,17,4.25E-05,0.0167511,32.93388772
BenchmarkTest01413.java,0,"CWE-200,CWE-1138",1485,0.0004455,7360,0.0184,12,3.00E-05,0.0188755,36.53227234
BenchmarkTest00015.java,0,CWE-78,871,0.0002613,1008,0.00252,4,1.00E-05,0.0027913,5.371495247
