file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00021.java,0,"CWE-90,CWE-79",814,0.0010175,1170,0.0117,9,9e-05,0.0128075,10.74079704284668
BenchmarkTest00015.java,0,"CWE-78,CWE-79",574,0.0007175,1404,0.01404,9,9e-05,0.0148475,12.011184215545654
BenchmarkTest00006.java,0,CWE-78,560,0.0007,1262,0.01262,4,4e-05,0.013359999999999999,12.056501150131226
BenchmarkTest00018.java,0,"CWE-89,CWE-79",512,0.00064,1466,0.01466,9,9e-05,0.01539,13.054221153259277
BenchmarkTest00017.java,0,"CWE-78,CWE-79",528,0.00066,1453,0.01453,9,9e-05,0.015279999999999998,13.089927434921265
BenchmarkTest00007.java,0,CWE-78,505,0.00063125,1666,0.01666,4,4e-05,0.01733125,15.777254819869995
BenchmarkTest00002.java,0,"CWE-22,CWE-117",717,0.00089625,1811,0.01811,10,0.0001,0.01910625,16.274538278579712
BenchmarkTest00013.java,0,"CWE-79,CWE-134",407,0.00050875,1905,0.01905,10,0.0001,0.01965875,16.784074306488037
BenchmarkTest00012.java,0,"CWE-90,CWE-79",889,0.00111125,1913,0.01913,9,9e-05,0.020331250000000002,17.842780590057373
BenchmarkTest00010.java,0,"CWE-200,CWE-338",913,0.00114125,2026,0.02026,11,0.00011,0.02151125,19.051258325576782
BenchmarkTest00014.java,0,"CWE-79,CWE-134",402,0.0005025,2181,0.02181,10,0.0001,0.0224125,19.957907915115356
BenchmarkTest00011.java,0,CWE-200,491,0.00061375,2365,0.02365,5,5e-05,0.024313750000000002,20.813268661499023
BenchmarkTest00020.java,0,"CWE-209,CWE-327,CWE-338",1382,0.0017275,2523,0.02523,17,0.00017,0.0271275,22.86017608642578
BenchmarkTest00001.java,0,"CWE-22,CWE-400,CWE-200",854,0.0010675,2647,0.02647,16,0.00016,0.0276975,24.638913869857788
BenchmarkTest00005.java,0,"CWE-209,CWE-327,CWE-400",969,0.00121125,2630,0.0263,17,0.00017,0.02768125,25.173157453536987
BenchmarkTest00008.java,0,"CWE-89,CWE-209",505,0.00063125,2668,0.02668,10,0.0001,0.027411249999999998,25.726057291030884
BenchmarkTest00023.java,0,"CWE-200,CWE-338",778,0.0009725,1547,0.01547,11,0.00011,0.016552499999999998,15.38879132270813
BenchmarkTest00028.java,0,CWE-22,535,0.00066875,1253,0.01253,4,4e-05,0.013238749999999999,11.645906209945679
BenchmarkTest00019.java,0,"CWE-209,CWE-326,CWE-327",910,0.0011375,2976,0.02976,17,0.00017,0.0310675,27.95995044708252
BenchmarkTest00024.java,0,"CWE-89,CWE-209",535,0.00066875,1847,0.01847,10,0.0001,0.01923875,17.56046438217163
BenchmarkTest00026.java,0,"CWE-89,CWE-209",586,0.0007325,1712,0.01712,10,0.0001,0.0179525,16.839980125427246
BenchmarkTest00033.java,0,"CWE-89,CWE-209",627,0.00078375,1073,0.01073,10,0.0001,0.011613749999999999,10.090262651443481
BenchmarkTest00025.java,0,"CWE-89,CWE-209",519,0.00064875,1733,0.01733,10,0.0001,0.01807875,17.31534504890442
BenchmarkTest00027.java,0,"CWE-89,CWE-79,CWE-209",466,0.0005825,1996,0.01996,15,0.00015,0.0206925,18.178648710250854
BenchmarkTest00032.java,0,"CWE-89,CWE-209",540,0.000675,1620,0.0162,10,0.0001,0.016974999999999997,14.947416543960571
BenchmarkTest00034.java,0,CWE-89,516,0.000645,1403,0.01403,4,4e-05,0.014715,13.646179676055908
BenchmarkTest00041.java,0,CWE-79,407,0.00050875,868,0.00868,4,4e-05,0.00922875,8.666481733322144
BenchmarkTest00036.java,0,CWE-79,492,0.000615,1293,0.01293,4,4e-05,0.013585,12.553789138793945
BenchmarkTest00016.java,0,"CWE-93,CWE-20",642,0.0008025,3967,0.03967,9,9e-05,0.040562499999999994,37.14387917518616
BenchmarkTest00030.java,0,"CWE-79,CWE-134",393,0.00049125,2078,0.02078,10,0.0001,0.021371249999999998,20.388452529907227
BenchmarkTest00009.java,0,"CWE-400,CWE-209",1032,0.00129,4375,0.04375,11,0.00011,0.045149999999999996,39.88063025474548
BenchmarkTest00044.java,0,"CWE-90,CWE-79",817,0.00102125,1078,0.01078,9,9e-05,0.011891249999999999,10.137099742889404
BenchmarkTest00040.java,0,CWE-22,476,0.000595,1351,0.01351,4,4e-05,0.014145,12.443742752075195
BenchmarkTest00029.java,0,"CWE-200,CWE-327,CWE-400",874,0.0010925,2450,0.0245,17,0.00017,0.0257625,23.635512590408325
BenchmarkTest00039.java,0,"CWE-89,CWE-209",670,0.0008375,1431,0.01431,10,0.0001,0.015247499999999999,14.476481914520264
BenchmarkTest00038.java,0,"CWE-89,CWE-209",810,0.0010125,1885,0.01885,10,0.0001,0.019962499999999998,17.715784788131714
BenchmarkTest00048.java,0,CWE-79,531,0.00066375,1007,0.01007,4,4e-05,0.01077375,9.745489835739136
BenchmarkTest00051.java,0,CWE-78,541,0.00067625,982,0.00982,4,4e-05,0.01053625,10.23096227645874
BenchmarkTest00049.java,0,CWE-79,528,0.00066,1370,0.0137,4,4e-05,0.014400000000000001,13.4753737449646
BenchmarkTest00003.java,0,"CWE-352,CWE-400,CWE-759",1057,0.00132125,5430,0.0543,17,0.00017,0.05579125,50.71100473403931
