file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00052.java,0,CWE-89,712,0.001424,0,0.0,5,4e-05,0.001464,3.503652811050415
BenchmarkTest00046.java,0,CWE-328,931,0.001862,0,0.0,5,4e-05,0.001902,3.509428024291992
BenchmarkTest00008.java,0,CWE-89,685,0.00137,0,0.0,5,4e-05,0.00141,3.562978982925415
BenchmarkTest00014.java,0,CWE-79,610,0.00122,0,0.0,5,4e-05,0.00126,3.560253858566284
BenchmarkTest00026.java,0,CWE-89,755,0.00151,0,0.0,5,4e-05,0.0015500000000000002,3.5586133003234863
BenchmarkTest00043.java,0,CWE-89,690,0.00138,0,0.0,5,4e-05,0.00142,3.536339282989502
BenchmarkTest00041.java,0,CWE-79,611,0.001222,0,0.0,5,4e-05,0.001262,3.5414071083068848
BenchmarkTest00045.java,0,CWE-22,669,0.001338,0,0.0,5,4e-05,0.001378,3.551920175552368
BenchmarkTest00017.java,0,CWE-78,707,0.001414,0,0.0,5,4e-05,0.001454,3.616400957107544
BenchmarkTest00048.java,0,CWE-79,726,0.001452,0,0.0,5,4e-05,0.001492,3.617769718170166
BenchmarkTest00049.java,0,"CWE-79,CWE-693",724,0.001448,0,0.0,9,7.2e-05,0.00152,3.6189565658569336
BenchmarkTest00050.java,0,"CWE-327,CWE-209",1413,0.002826,0,0.0,9,7.2e-05,0.002898,3.6317434310913086
BenchmarkTest00040.java,0,CWE-22,665,0.00133,0,0.0,5,4e-05,0.0013700000000000001,3.644789218902588
BenchmarkTest00028.java,0,CWE-22,719,0.001438,0,0.0,5,4e-05,0.0014780000000000001,3.6680750846862793
BenchmarkTest00009.java,0,"CWE-22,CWE-20",1103,0.002206,0,0.0,9,7.2e-05,0.002278,3.6871109008789062
BenchmarkTest00035.java,0,"CWE-327,CWE-611",1136,0.002272,0,0.0,9,7.2e-05,0.002344,3.658799171447754
BenchmarkTest00027.java,0,CWE-89,655,0.00131,0,0.0,5,4e-05,0.00135,3.68807315826416
BenchmarkTest00011.java,0,CWE-22,680,0.00136,0,0.0,5,4e-05,0.0014000000000000002,3.708043336868286
BenchmarkTest00020.java,0,"CWE-327,CWE-22",1397,0.002794,0,0.0,9,7.2e-05,0.002866,3.7043747901916504
BenchmarkTest00042.java,0,"CWE-352,CWE-642",981,0.001962,0,0.0,9,7.2e-05,0.0020340000000000002,3.6711792945861816
BenchmarkTest00037.java,0,CWE-89,807,0.001614,0,0.0,5,4e-05,0.001654,3.686244249343872
BenchmarkTest00001.java,0,"CWE-22,CWE-20",969,0.001938,0,0.0,9,7.2e-05,0.00201,3.7347209453582764
BenchmarkTest00010.java,0,"CWE-330,CWE-352,CWE-79",1038,0.002076,0,0.0,13,0.000104,0.00218,3.8050920963287354
BenchmarkTest00019.java,0,"CWE-327,CWE-209",1022,0.002044,0,0.0,9,7.2e-05,0.002116,3.819161891937256
BenchmarkTest00012.java,0,"CWE-90,CWE-79",988,0.001976,0,0.0,9,7.2e-05,0.002048,3.8586268424987793
BenchmarkTest00018.java,0,CWE-89,692,0.001384,0,0.0,5,4e-05,0.0014240000000000001,3.8917899131774902
BenchmarkTest00044.java,0,"CWE-90,CWE-79",928,0.001856,0,0.0,9,7.2e-05,0.001928,3.8904595375061035
BenchmarkTest00002.java,0,CWE-22,860,0.00172,0,0.0,5,4e-05,0.00176,3.942390203475952
BenchmarkTest00036.java,0,"CWE-79,CWE-16",688,0.001376,0,0.0,9,7.2e-05,0.001448,3.926887035369873
BenchmarkTest00030.java,0,CWE-79,603,0.001206,0,0.0,5,4e-05,0.0012460000000000001,3.941373348236084
BenchmarkTest00038.java,0,CWE-89,930,0.00186,0,0.0,5,4e-05,0.0019000000000000002,3.9436941146850586
BenchmarkTest00005.java,0,"CWE-327,CWE-117",1066,0.002132,0,0.0,9,7.2e-05,0.0022040000000000002,4.0143656730651855
BenchmarkTest00032.java,0,CWE-89,718,0.001436,0,0.0,5,4e-05,0.001476,4.037684440612793
BenchmarkTest00039.java,0,CWE-89,827,0.001654,0,0.0,5,4e-05,0.0016940000000000002,4.116904258728027
BenchmarkTest00015.java,0,CWE-78,739,0.001478,0,0.0,5,4e-05,0.001518,4.18977952003479
BenchmarkTest00022.java,0,Not vulnerable,910,0.00182,0,0.0,3,2.4e-05,0.001844,4.201777458190918
BenchmarkTest00003.java,0,"CWE-22,CWE-73,CWE-117",1130,0.00226,0,0.0,13,0.000104,0.0023639999999999998,4.228307723999023
BenchmarkTest00006.java,0,CWE-78,727,0.001454,0,0.0,5,4e-05,0.001494,4.2669901847839355
BenchmarkTest00013.java,0,"CWE-79,CWE-113",613,0.001226,0,0.0,9,7.2e-05,0.0012980000000000001,4.284053087234497
BenchmarkTest00016.java,0,CWE-113,810,0.00162,0,0.0,5,4e-05,0.00166,4.293055534362793
BenchmarkTest00029.java,0,"CWE-22,CWE-73,CWE-117",989,0.001978,0,0.0,13,0.000104,0.002082,4.288930177688599
BenchmarkTest00021.java,0,"CWE-90,CWE-79",929,0.001858,0,0.0,9,7.2e-05,0.00193,4.3515849113464355
BenchmarkTest00025.java,0,"CWE-89,CWE-79",704,0.001408,0,0.0,9,7.2e-05,0.00148,4.356584787368774
BenchmarkTest00034.java,0,CWE-89,694,0.001388,0,0.0,5,4e-05,0.001428,4.340320825576782
BenchmarkTest00007.java,0,CWE-78,690,0.00138,0,0.0,5,4e-05,0.00142,4.407111644744873
