file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00008.java,0,CWE-89,430,0.00086,0,0.0,5,4e-05,0.0009,3.4232304096221924
BenchmarkTest00033.java,0,CWE-89,533,0.001066,0,0.0,5,4e-05,0.0011060000000000002,3.3920235633850098
BenchmarkTest00007.java,0,CWE-78,435,0.00087,0,0.0,5,4e-05,0.00091,3.434422254562378
BenchmarkTest00039.java,0,CWE-89,572,0.001144,0,0.0,5,4e-05,0.0011840000000000002,3.3932433128356934
BenchmarkTest00038.java,0,CWE-89,675,0.00135,0,0.0,5,4e-05,0.0013900000000000002,3.396594762802124
BenchmarkTest00015.java,0,CWE-78,484,0.000968,0,0.0,5,4e-05,0.001008,3.4348514080047607
BenchmarkTest00040.java,0,CWE-22,410,0.00082,0,0.0,5,4e-05,0.00086,3.406721353530884
BenchmarkTest00016.java,0,Not vulnerable,555,0.00111,0,0.0,3,2.4e-05,0.001134,3.455712080001831
BenchmarkTest00013.java,0,"CWE-79,CWE-117",358,0.000716,0,0.0,9,7.2e-05,0.000788,3.4579992294311523
BenchmarkTest00012.java,0,"CWE-90,CWE-79",733,0.001466,0,0.0,9,7.2e-05,0.001538,3.47796368598938
BenchmarkTest00041.java,0,"CWE-79,CWE-16",356,0.000712,0,0.0,9,7.2e-05,0.000784,3.4416122436523438
BenchmarkTest00048.java,0,"CWE-79,CWE-113",471,0.000942,0,0.0,9,7.2e-05,0.001014,3.440969228744507
BenchmarkTest00032.java,0,CWE-89,463,0.000926,0,0.0,5,4e-05,0.000966,3.4509036540985107
BenchmarkTest00014.java,0,"CWE-79,CWE-117",355,0.00071,0,0.0,9,7.2e-05,0.000782,3.4860239028930664
BenchmarkTest00043.java,0,CWE-89,435,0.00087,0,0.0,5,4e-05,0.00091,3.4576001167297363
BenchmarkTest00030.java,0,"CWE-79,CWE-116",348,0.000696,0,0.0,9,7.2e-05,0.000768,3.4829750061035156
