file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00041.java,0,CWE-79,610,3.05E-05,832,0.0003328,14,5.60E-06,0.0003689,16.96590805
BenchmarkTest00109.java,0,CWE-89,887,4.44E-05,896,0.0003584,15,6.00E-06,0.00040875,17.18409848
BenchmarkTest00049.java,0,CWE-79,723,3.62E-05,768,0.0003072,14,5.60E-06,0.00034895,17.31752253
BenchmarkTest00196.java,0,CWE-89,743,3.72E-05,832,0.0003328,14,5.60E-06,0.00037555,17.37802553
BenchmarkTest00115.java,0,CWE-89,927,4.64E-05,768,0.0003072,15,6.00E-06,0.00035955,17.90178156
BenchmarkTest00172.java,0,CWE-78,791,3.96E-05,960,0.000384,16,6.40E-06,0.00042995,18.03097177
BenchmarkTest00108.java,0,CWE-89,941,4.71E-05,1152,0.0004608,15,6.00E-06,0.00051385,18.26005793
BenchmarkTest00154.java,0,CWE-79,680,3.40E-05,896,0.0003584,14,5.60E-06,0.000398,18.29095554
BenchmarkTest00193.java,0,CWE-89,746,3.73E-05,960,0.000384,14,5.60E-06,0.0004269,18.22319221
BenchmarkTest00103.java,0,CWE-89,938,4.69E-05,1280,0.000512,14,5.60E-06,0.0005645,18.42903233
BenchmarkTest00051.java,0,CWE-78,716,3.58E-05,1344,0.0005376,14,5.60E-06,0.000579,18.75279713
BenchmarkTest00204.java,0,CWE-89,721,3.61E-05,1024,0.0004096,14,5.60E-06,0.00045125,18.53229475
BenchmarkTest00025.java,0,"CWE-89,CWE-209",703,3.52E-05,1152,0.0004608,18,7.20E-06,0.00050315,19.03063273
BenchmarkTest00006.java,0,CWE-77,726,3.63E-05,1024,0.0004096,15,6.00E-06,0.0004519,19.05885816
BenchmarkTest00203.java,0,CWE-89,723,3.62E-05,896,0.0003584,14,5.60E-06,0.00040015,12.43445611
BenchmarkTest00157.java,0,CWE-79,616,3.08E-05,768,0.0003072,14,5.60E-06,0.0003436,19.01558876
BenchmarkTest00148.java,0,CWE-79,642,3.21E-05,1024,0.0004096,14,5.60E-06,0.0004473,19.03696489
BenchmarkTest00158.java,0,Not vulnerable,763,3.82E-05,1088,0.0004352,12,4.80E-06,0.00047815,19.08013654
BenchmarkTest00018.java,0,CWE-89,691,3.46E-05,1344,0.0005376,14,5.60E-06,0.00057775,19.27146459
BenchmarkTest00159.java,0,CWE-78,757,3.79E-05,1216,0.0004864,14,5.60E-06,0.00052985,19.16208982
BenchmarkTest00044.java,0,"CWE-90,CWE-79,CWE-200",927,4.64E-05,1344,0.0005376,22,8.80E-06,0.00059275,19.31490231
BenchmarkTest00152.java,0,CWE-79,682,3.41E-05,1216,0.0004864,15,6.00E-06,0.0005265,19.31436515
BenchmarkTest00036.java,0,CWE-79,687,3.44E-05,1344,0.0005376,16,6.40E-06,0.00057835,19.48576498
BenchmarkTest00040.java,0,"CWE-22,CWE-200",664,3.32E-05,1536,0.0006144,19,7.60E-06,0.0006552,19.4885602
BenchmarkTest00106.java,0,CWE-89,908,4.54E-05,1024,0.0004096,14,5.60E-06,0.0004606,19.48315072
BenchmarkTest00028.java,0,CWE-22,718,3.59E-05,960,0.000384,15,6.00E-06,0.0004259,19.56646776
BenchmarkTest00150.java,0,CWE-79,647,3.24E-05,1152,0.0004608,14,5.60E-06,0.00049875,19.43468475
BenchmarkTest00033.java,0,"CWE-89,CWE-209",787,3.94E-05,1344,0.0005376,19,7.60E-06,0.00058455,19.70549941
BenchmarkTest00015.java,0,CWE-78,738,3.69E-05,1536,0.0006144,15,6.00E-06,0.0006573,19.72548842
BenchmarkTest00043.java,0,CWE-89,689,3.45E-05,1088,0.0004352,17,6.80E-06,0.00047645,19.71797395
BenchmarkTest00001.java,0,CWE-22,968,4.84E-05,1536,0.0006144,15,6.00E-06,0.0006688,19.84450126
BenchmarkTest00149.java,0,CWE-79,637,3.19E-05,1408,0.0005632,14,5.60E-06,0.00060065,19.90814042
BenchmarkTest00173.java,0,CWE-78,772,3.86E-05,1216,0.0004864,14,5.60E-06,0.0005306,20.00223374
BenchmarkTest00137.java,0,Not vulnerable,934,4.67E-05,1344,0.0005376,12,4.80E-06,0.0005891,20.06655455
BenchmarkTest00133.java,0,CWE-22,798,3.99E-05,1344,0.0005376,15,6.00E-06,0.0005835,20.14007449
BenchmarkTest00032.java,0,CWE-89,717,3.59E-05,1152,0.0004608,14,5.60E-06,0.00050225,20.26445484
BenchmarkTest00155.java,0,CWE-79,618,3.09E-05,1408,0.0005632,15,6.00E-06,0.0006001,20.14451957
BenchmarkTest00131.java,0,Not vulnerable,754,3.77E-05,1600,0.00064,12,4.80E-06,0.0006825,20.1790278
BenchmarkTest00111.java,0,CWE-89,902,4.51E-05,1280,0.000512,15,6.00E-06,0.0005631,20.23149276
BenchmarkTest00021.java,0,"CWE-79,CWE-90",928,4.64E-05,1536,0.0006144,18,7.20E-06,0.000668,20.35741425
BenchmarkTest00192.java,0,CWE-89,793,3.97E-05,1344,0.0005376,14,5.60E-06,0.00058285,20.14869523
BenchmarkTest00026.java,0,"CWE-89,CWE-200",754,3.77E-05,1280,0.000512,18,7.20E-06,0.0005569,20.4415586
BenchmarkTest00027.java,0,"CWE-89,CWE-312",654,3.27E-05,1344,0.0005376,18,7.20E-06,0.0005775,20.57580113
BenchmarkTest00195.java,0,CWE-89,739,3.70E-05,1088,0.0004352,14,5.60E-06,0.00047775,14.12686276
BenchmarkTest00153.java,0,CWE-79,672,3.36E-05,1472,0.0005888,14,5.60E-06,0.000628,20.61614347
BenchmarkTest00177.java,0,Not vulnerable,761,3.81E-05,1536,0.0006144,12,4.80E-06,0.00065725,20.83640766
BenchmarkTest00175.java,0,Not vulnerable,787,3.94E-05,1536,0.0006144,12,4.80E-06,0.00065855,20.94246769
BenchmarkTest00080.java,0,"CWE-338,CWE-200",1109,5.55E-05,1792,0.0007168,19,7.60E-06,0.00077985,21.06562376
BenchmarkTest00100.java,0,CWE-89,970,4.85E-05,1792,0.0007168,15,6.00E-06,0.0007713,21.0810926
BenchmarkTest00065.java,0,"CWE-22,CWE-200",1028,5.14E-05,1856,0.0007424,19,7.60E-06,0.0008014,21.12880635
BenchmarkTest00198.java,0,"CWE-89,CWE-209",757,3.79E-05,1664,0.0006656,18,7.20E-06,0.00071065,20.92699337
BenchmarkTest00052.java,0,CWE-89,711,3.56E-05,1152,0.0004608,14,5.60E-06,0.00050195,21.20836258
