file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00025.java,0,"CWE-89,CWE-200",448,2.24E-05,1088,0.0004352,18,7.20E-06,0.0004648,18.4060111
BenchmarkTest00051.java,0,CWE-78,461,2.31E-05,960,0.000384,14,5.60E-06,0.00041265,18.43874598
BenchmarkTest00048.java,0,CWE-79,470,2.35E-05,1152,0.0004608,14,5.60E-06,0.0004899,18.52989459
BenchmarkTest00196.java,0,CWE-89,488,2.44E-05,1088,0.0004352,15,6.00E-06,0.0004656,17.44751668
BenchmarkTest00018.java,0,CWE-89,436,2.18E-05,1216,0.0004864,15,6.00E-06,0.0005142,19.10444617
BenchmarkTest00008.java,0,CWE-89,429,2.15E-05,576,0.0002304,14,5.60E-06,0.00025745,19.36618924
BenchmarkTest00041.java,0,CWE-79,355,1.78E-05,960,0.000384,14,5.60E-06,0.00040735,19.34067655
BenchmarkTest00103.java,0,CWE-89,683,3.41E-05,1152,0.0004608,14,5.60E-06,0.00050055,19.42928195
BenchmarkTest00192.java,0,CWE-89,538,2.69E-05,1152,0.0004608,14,5.60E-06,0.0004933,18.14691567
BenchmarkTest00199.java,0,CWE-89,514,2.57E-05,1088,0.0004352,14,5.60E-06,0.0004665,18.2233448
BenchmarkTest00153.java,0,CWE-79,417,2.09E-05,1216,0.0004864,14,5.60E-06,0.00051285,19.58703017
BenchmarkTest00017.java,0,CWE-78,451,2.26E-05,1472,0.0005888,15,6.00E-06,0.00061735,19.7407527
BenchmarkTest00044.java,0,"CWE-90,CWE-79",672,3.36E-05,1088,0.0004352,18,7.20E-06,0.000476,20.02405548
BenchmarkTest00032.java,0,"CWE-89,CWE-200",462,2.31E-05,1344,0.0005376,18,7.20E-06,0.0005679,20.18689609
BenchmarkTest00204.java,0,"CWE-89,CWE-209",466,2.33E-05,1344,0.0005376,19,7.60E-06,0.0005685,18.96321297
BenchmarkTest00026.java,0,"CWE-89,CWE-209",499,2.50E-05,1344,0.0005376,19,7.60E-06,0.00057015,20.44476962
BenchmarkTest00027.java,0,"CWE-89,CWE-209",399,2.00E-05,1472,0.0005888,18,7.20E-06,0.00061595,20.46243238
BenchmarkTest00030.java,0,"CWE-79,CWE-134",347,1.74E-05,1664,0.0006656,18,7.20E-06,0.00069015,20.59916854
BenchmarkTest00158.java,0,Not vulnerable,508,2.54E-05,1472,0.0005888,12,4.80E-06,0.000619,20.7124362
BenchmarkTest00034.java,0,"CWE-89,CWE-209",438,2.19E-05,1856,0.0007424,18,7.20E-06,0.0007715,20.88225174
BenchmarkTest00021.java,0,CWE-90,673,3.37E-05,1856,0.0007424,14,5.60E-06,0.00078165,20.96402287
BenchmarkTest00193.java,0,CWE-89,491,2.46E-05,1152,0.0004608,14,5.60E-06,0.00049095,19.57266378
BenchmarkTest00037.java,0,CWE-89,551,2.76E-05,1664,0.0006656,14,5.60E-06,0.00069875,21.17207956
BenchmarkTest00015.java,0,CWE-78,483,2.42E-05,1728,0.0006912,15,6.00E-06,0.00072135,21.26700497
BenchmarkTest00012.java,0,CWE-90,732,3.66E-05,1728,0.0006912,14,5.60E-06,0.0007334,21.32102919
BenchmarkTest00108.java,0,CWE-89,686,3.43E-05,1536,0.0006144,14,5.60E-06,0.0006543,21.38329887
BenchmarkTest00147.java,0,Not vulnerable,421,2.11E-05,1792,0.0007168,12,4.80E-06,0.00074265,21.38709855
BenchmarkTest00052.java,0,"CWE-89,CWE-209",456,2.28E-05,1920,0.000768,18,7.20E-06,0.000798,21.61576509
BenchmarkTest00001.java,0,"CWE-22,CWE-200",713,3.57E-05,1792,0.0007168,19,7.60E-06,0.00076005,21.78853226
BenchmarkTest00156.java,0,CWE-79,401,2.01E-05,1600,0.00064,14,5.60E-06,0.00066565,21.78847313
BenchmarkTest00150.java,0,CWE-79,392,1.96E-05,1728,0.0006912,15,6.00E-06,0.0007168,21.84757566
BenchmarkTest00038.java,0,"CWE-89,CWE-209",674,3.37E-05,1792,0.0007168,21,8.40E-06,0.0007589,22.04890132
BenchmarkTest00171.java,0,Not vulnerable,660,3.30E-05,1728,0.0006912,12,4.80E-06,0.000729,22.02709603
BenchmarkTest00043.java,0,CWE-89,434,2.17E-05,1984,0.0007936,14,5.60E-06,0.0008209,22.24926758
BenchmarkTest00024.java,0,"CWE-89,CWE-209",451,2.26E-05,1664,0.0006656,19,7.60E-06,0.00069575,22.35786533
BenchmarkTest00200.java,0,Not vulnerable,527,2.64E-05,1920,0.000768,12,4.80E-06,0.00079915,21.01507878
BenchmarkTest00191.java,0,Not vulnerable,542,2.71E-05,1984,0.0007936,13,5.20E-06,0.0008259,21.56297994
BenchmarkTest00106.java,0,CWE-89,653,3.27E-05,1856,0.0007424,15,6.00E-06,0.00078105,22.52512956
BenchmarkTest00159.java,0,CWE-78,502,2.51E-05,1792,0.0007168,15,6.00E-06,0.0007479,22.51604271
BenchmarkTest00173.java,0,CWE-78,517,2.59E-05,1728,0.0006912,14,5.60E-06,0.00072265,22.52041698
BenchmarkTest00016.java,0,CWE-113,554,2.77E-05,1920,0.000768,14,5.60E-06,0.0008013,22.76268959
BenchmarkTest00151.java,0,Not vulnerable,414,2.07E-05,1856,0.0007424,12,4.80E-06,0.0007679,22.64808369
