file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00041.java,0,CWE-79,610,0.0007625,576,0.00576,14,0.00014,0.006662500000000001,31.091216802597046
BenchmarkTest00049.java,0,CWE-79,723,0.00090375,512,0.00512,14,0.00014,0.006163750000000001,33.328957319259644
BenchmarkTest00276.java,0,CWE-79,628,0.000785,640,0.0064,14,0.00014,0.007325000000000001,31.984505891799927
BenchmarkTest00291.java,0,CWE-79,631,0.00078875,512,0.00512,14,0.00014,0.006048750000000001,31.941016674041748
BenchmarkTest00048.java,0,CWE-79,725,0.00090625,640,0.0064,14,0.00014,0.007446250000000001,37.51179647445679
BenchmarkTest00301.java,0,CWE-79,690,0.0008625,576,0.00576,14,0.00014,0.0067625,33.57172989845276
BenchmarkTest00030.java,0,"CWE-79,CWE-134",602,0.0007525,768,0.00768,18,0.00018,0.0086125,38.97896957397461
BenchmarkTest00024.java,0,CWE-89,706,0.0008825,768,0.00768,14,0.00014,0.0087025,39.236032009124756
BenchmarkTest00159.java,0,CWE-78,757,0.00094625,704,0.00704,14,0.00014,0.00812625,39.32672476768494
BenchmarkTest00036.java,0,CWE-79,687,0.00085875,1024,0.01024,14,0.00014,0.01123875,39.759758949279785
BenchmarkTest00034.java,0,CWE-89,693,0.00086625,960,0.0096,14,0.00014,0.01060625,41.07060146331787
BenchmarkTest00292.java,0,CWE-79,659,0.00082375,768,0.00768,14,0.00014,0.00864375,36.889517068862915
BenchmarkTest00204.java,0,CWE-89,721,0.00090125,1152,0.01152,14,0.00014,0.01256125,38.31500864028931
BenchmarkTest00037.java,0,CWE-89,806,0.0010075,1024,0.01024,14,0.00014,0.0113875,43.24136233329773
BenchmarkTest00284.java,0,CWE-79,599,0.00074875,704,0.00704,14,0.00014,0.00792875,38.83723163604736
BenchmarkTest00158.java,0,Not vulnerable,763,0.00095375,1280,0.0128,12,0.00012,0.01387375,43.20147514343262
BenchmarkTest00151.java,0,Not vulnerable,669,0.00083625,1088,0.01088,12,0.00012,0.011836250000000001,43.70395231246948
BenchmarkTest00052.java,0,CWE-89,711,0.00088875,1024,0.01024,14,0.00014,0.011268750000000001,43.974698305130005
BenchmarkTest00051.java,0,CWE-78,716,0.000895,768,0.00768,14,0.00014,0.008714999999999999,44.120763301849365
BenchmarkTest00148.java,0,CWE-79,642,0.0008025,1024,0.01024,14,0.00014,0.0111825,44.70361948013306
BenchmarkTest00149.java,0,CWE-79,637,0.00079625,1152,0.01152,14,0.00014,0.01245625,45.113197803497314
BenchmarkTest00154.java,0,CWE-79,680,0.00085,1024,0.01024,14,0.00014,0.01123,45.176657915115356
