file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00279.java,0,CWE-79,407,0.00050875,576,0.00576,14,0.00014,0.00640875,30.684267282485962
BenchmarkTest00041.java,0,CWE-79,355,0.00044375,768,0.00768,14,0.00014,0.00826375,37.463114738464355
BenchmarkTest00284.java,0,CWE-79,344,0.00043,832,0.00832,14,0.00014,0.008889999999999999,34.591352462768555
BenchmarkTest00147.java,0,Not vulnerable,421,0.00052625,1024,0.01024,12,0.00012,0.010886250000000002,37.54650950431824
BenchmarkTest00304.java,0,CWE-78,635,0.00079375,832,0.00832,14,0.00014,0.009253749999999998,23.95586585998535
BenchmarkTest00195.java,0,CWE-89,484,0.000605,1024,0.01024,14,0.00014,0.010985,36.72748327255249
BenchmarkTest00290.java,0,CWE-79,367,0.00045875,896,0.00896,14,0.00014,0.00955875,34.23550748825073
BenchmarkTest00024.java,0,CWE-89,451,0.00056375,1152,0.01152,14,0.00014,0.01222375,39.80393624305725
BenchmarkTest00150.java,0,CWE-79,392,0.00049,960,0.0096,14,0.00014,0.010229999999999998,39.800172328948975
BenchmarkTest00048.java,0,CWE-79,470,0.0005875,960,0.0096,14,0.00014,0.010327499999999998,40.38412404060364
BenchmarkTest00036.java,0,CWE-79,432,0.00054,1024,0.01024,14,0.00014,0.010920000000000001,41.138277769088745
BenchmarkTest00034.java,0,CWE-89,438,0.0005475,1280,0.0128,14,0.00014,0.0134875,42.27072501182556
BenchmarkTest00044.java,0,"CWE-90,CWE-79",672,0.00084,1088,0.01088,18,0.00018,0.0119,42.32700800895691
BenchmarkTest00148.java,0,CWE-79,387,0.00048375,1152,0.01152,14,0.00014,0.01214375,42.48126721382141
BenchmarkTest00154.java,0,CWE-79,425,0.00053125,1152,0.01152,14,0.00014,0.01219125,42.51439714431763
BenchmarkTest00155.java,0,CWE-79,363,0.00045375,704,0.00704,14,0.00014,0.007633750000000001,42.5903000831604
BenchmarkTest00049.java,0,CWE-79,468,0.000585,1280,0.0128,14,0.00014,0.013525,43.484883069992065
BenchmarkTest00301.java,0,CWE-79,435,0.00054375,1344,0.01344,14,0.00014,0.01412375,29.869536876678467
BenchmarkTest00156.java,0,CWE-79,401,0.00050125,1216,0.01216,14,0.00014,0.01280125,44.49057745933533
BenchmarkTest00153.java,0,CWE-79,417,0.00052125,1408,0.01408,14,0.00014,0.01474125,44.54561924934387
BenchmarkTest00198.java,0,"CWE-89,CWE-209",502,0.0006275,1088,0.01088,18,0.00018,0.0116875,42.104432344436646
BenchmarkTest00310.java,0,Not vulnerable,569,0.00071125,1280,0.0128,12,0.00012,0.013631250000000001,26.12473773956299
BenchmarkTest00131.java,0,Not vulnerable,499,0.00062375,1344,0.01344,12,0.00012,0.01418375,46.43244981765747
BenchmarkTest00012.java,0,CWE-90,732,0.000915,1600,0.016,14,0.00014,0.017055,46.54407358169556
BenchmarkTest00047.java,0,"CWE-79,CWE-134",475,0.00059375,1408,0.01408,19,0.00019,0.01486375,46.513477087020874
BenchmarkTest00157.java,0,CWE-79,361,0.00045125,1536,0.01536,14,0.00014,0.01595125,47.4079167842865
BenchmarkTest00030.java,0,"CWE-79,CWE-134",347,0.00043375,1344,0.01344,18,0.00018,0.01405375,47.536696910858154
BenchmarkTest00207.java,0,CWE-643,623,0.00077875,1344,0.01344,14,0.00014,0.01435875,45.31281590461731
BenchmarkTest00013.java,0,"CWE-79,CWE-134",357,0.00044625,1344,0.01344,18,0.00018,0.01406625,48.119744300842285
BenchmarkTest00192.java,0,CWE-89,538,0.0006725,1664,0.01664,14,0.00014,0.0174525,45.422321796417236
BenchmarkTest00291.java,0,CWE-79,376,0.00047,1088,0.01088,14,0.00014,0.01149,42.870201110839844
BenchmarkTest00265.java,0,Not vulnerable,541,0.00067625,1472,0.01472,12,0.00012,0.01551625,46.28639221191406
BenchmarkTest00283.java,0,Not vulnerable,359,0.00044875,1152,0.01152,12,0.00012,0.01208875,46.23687148094177
BenchmarkTest00281.java,0,Not vulnerable,396,0.000495,1472,0.01472,12,0.00012,0.015335000000000001,47.053083658218384
BenchmarkTest00204.java,0,CWE-89,466,0.0005825,1600,0.016,14,0.00014,0.0167225,47.95664358139038
BenchmarkTest00176.java,0,CWE-78,471,0.00058875,1792,0.01792,14,0.00014,0.01864875,50.65414214134216
BenchmarkTest00194.java,0,CWE-89,507,0.00063375,1664,0.01664,14,0.00014,0.01741375,48.18692684173584
BenchmarkTest00295.java,0,"CWE-78,CWE-79",517,0.00064625,1216,0.01216,18,0.00018,0.01298625,41.54086232185364
BenchmarkTest00280.java,0,CWE-79,436,0.000545,1152,0.01152,14,0.00014,0.012205,48.1416118144989
BenchmarkTest00288.java,0,Not vulnerable,475,0.00059375,1728,0.01728,12,0.00012,0.01799375,47.266470193862915
BenchmarkTest00293.java,0,CWE-78,534,0.0006675,1792,0.01792,14,0.00014,0.0187275,43.4204306602478
BenchmarkTest00171.java,0,Not vulnerable,660,0.000825,1600,0.016,12,0.00012,0.016944999999999998,52.485297203063965
BenchmarkTest00051.java,0,"CWE-78,CWE-79",461,0.00057625,1664,0.01664,18,0.00018,0.01739625,53.15607690811157
BenchmarkTest00158.java,0,Not vulnerable,508,0.000635,1280,0.0128,12,0.00012,0.013555000000000001,54.248790979385376
BenchmarkTest00277.java,0,Not vulnerable,578,0.0007225,1408,0.01408,12,0.00012,0.0149225,50.830655097961426
BenchmarkTest00008.java,0,CWE-89,429,0.00053625,1216,0.01216,14,0.00014,0.01283625,54.97049164772034
BenchmarkTest00149.java,0,CWE-79,382,0.0004775,1152,0.01152,14,0.00014,0.0121375,55.251957654953
BenchmarkTest00193.java,0,CWE-89,491,0.00061375,1280,0.0128,14,0.00014,0.01355375,52.679035663604736
BenchmarkTest00011.java,0,Not vulnerable,424,0.00053,1920,0.0192,12,0.00012,0.019849999999999996,55.93532752990723
BenchmarkTest00027.java,0,CWE-89,399,0.00049875,1856,0.01856,14,0.00014,0.01919875,57.4924213886261
BenchmarkTest00200.java,0,Not vulnerable,527,0.00065875,1856,0.01856,12,0.00012,0.01933875,54.778958559036255
BenchmarkTest00052.java,0,CWE-89,456,0.00057,1856,0.01856,14,0.00014,0.019270000000000002,57.49043345451355
BenchmarkTest00196.java,0,CWE-89,488,0.00061,1600,0.016,14,0.00014,0.01675,55.090447187423706
BenchmarkTest00015.java,0,CWE-78,483,0.00060375,1408,0.01408,14,0.00014,0.01482375,59.0800621509552
BenchmarkTest00077.java,0,CWE-78,715,0.00089375,2112,0.02112,14,0.00014,0.02215375,59.02411866188049
BenchmarkTest00101.java,0,CWE-89,669,0.00083625,2048,0.02048,14,0.00014,0.021456250000000003,59.04039406776428
BenchmarkTest00025.java,0,"CWE-89,CWE-209,CWE-598",448,0.00056,2048,0.02048,22,0.00022,0.021260000000000005,59.62065768241882
BenchmarkTest00040.java,0,CWE-203,409,0.00051125,1344,0.01344,14,0.00014,0.01409125,59.60794997215271
BenchmarkTest00261.java,0,Not vulnerable,677,0.00084625,1920,0.0192,12,0.00012,0.020166249999999997,56.474828004837036
BenchmarkTest00285.java,0,Not vulnerable,356,0.000445,1664,0.01664,12,0.00012,0.017204999999999998,57.19701027870178
BenchmarkTest00135.java,0,Not vulnerable,509,0.00063625,2112,0.02112,12,0.00012,0.02187625,60.05461144447327
BenchmarkTest00264.java,0,CWE-22,615,0.00076875,2368,0.02368,14,0.00014,0.02458875,57.76526880264282
BenchmarkTest00018.java,0,CWE-89,436,0.000545,1664,0.01664,14,0.00014,0.017325,60.712968826293945
BenchmarkTest00014.java,0,"CWE-79,CWE-134",354,0.0004425,1984,0.01984,18,0.00018,0.020462499999999998,61.23808550834656
BenchmarkTest00294.java,0,CWE-78,514,0.0006425,1984,0.01984,14,0.00014,0.020622500000000002,52.65748167037964
BenchmarkTest00032.java,0,CWE-89,462,0.0005775,1600,0.016,14,0.00014,0.016717500000000003,61.22333216667175
BenchmarkTest00038.java,0,CWE-89,674,0.0008425,2112,0.02112,14,0.00014,0.0221025,61.69340705871582
BenchmarkTest00151.java,0,Not vulnerable,414,0.0005175,1472,0.01472,12,0.00012,0.015357500000000001,61.578768253326416
BenchmarkTest00006.java,0,CWE-78,471,0.00058875,1408,0.01408,14,0.00014,0.01480875,61.71984624862671
BenchmarkTest00328.java,0,CWE-89,476,0.000595,1088,0.01088,14,0.00014,0.011615,21.33319592475891
BenchmarkTest00262.java,0,CWE-22,518,0.0006475,2368,0.02368,14,0.00014,0.0244675,59.60199522972107
BenchmarkTest00152.java,0,CWE-79,427,0.00053375,1728,0.01728,15,0.00015,0.01796375,62.54137992858887
BenchmarkTest00278.java,0,CWE-248,352,0.00044,2304,0.02304,14,0.00014,0.023620000000000002,59.773040771484375
BenchmarkTest00276.java,0,CWE-79,373,0.00046625,1408,0.01408,14,0.00014,0.01468625,60.79640483856201
BenchmarkTest00039.java,0,"CWE-89,CWE-209",571,0.00071375,1920,0.0192,18,0.00018,0.020093749999999997,65.00175833702087
BenchmarkTest00109.java,0,CWE-89,632,0.00079,2304,0.02304,14,0.00014,0.02397,64.94063925743103
BenchmarkTest00100.java,0,CWE-89,715,0.00089375,2240,0.0224,14,0.00014,0.02343375,64.96492290496826
BenchmarkTest00226.java,0,Not vulnerable,877,0.00109625,2240,0.0224,12,0.00012,0.02361625,62.67754244804382
BenchmarkTest00205.java,0,Not vulnerable,506,0.0006325,2496,0.02496,12,0.00012,0.0257125,63.081603050231934
BenchmarkTest00159.java,0,CWE-78,502,0.0006275,1536,0.01536,14,0.00014,0.016127500000000003,65.73093843460083
BenchmarkTest00028.java,0,CWE-22,463,0.00057875,1664,0.01664,14,0.00014,0.01735875,66.44336247444153
BenchmarkTest00045.java,0,"CWE-22,CWE-200,CWE-117",413,0.00051625,2752,0.02752,22,0.00022,0.02825625,66.45794200897217
BenchmarkTest00133.java,0,"CWE-22,CWE-117",543,0.00067875,2368,0.02368,18,0.00018,0.024538749999999998,66.6977608203888
BenchmarkTest00217.java,0,Not vulnerable,704,0.00088,2496,0.02496,12,0.00012,0.025959999999999997,64.31641173362732
BenchmarkTest00042.java,0,Not vulnerable,725,0.00090625,2688,0.02688,12,0.00012,0.02790625,68.35059094429016
BenchmarkTest00132.java,0,Not vulnerable,655,0.00081875,2176,0.02176,12,0.00012,0.02269875,68.33730125427246
BenchmarkTest00228.java,0,Not vulnerable,846,0.0010575,2432,0.02432,12,0.00012,0.0254975,65.63338088989258
BenchmarkTest00146.java,0,"CWE-79,CWE-134",406,0.0005075,2496,0.02496,18,0.00018,0.0256475,68.88832259178162
BenchmarkTest00241.java,0,CWE-614,638,0.0007975,2624,0.02624,14,0.00014,0.0271775,66.46436762809753
BenchmarkTest00201.java,0,Not vulnerable,691,0.00086375,2432,0.02432,12,0.00012,0.02530375,67.83688855171204
BenchmarkTest00287.java,0,CWE-79,375,0.00046875,2560,0.0256,14,0.00014,0.026208750000000003,66.7422022819519
BenchmarkTest00245.java,0,Not vulnerable,1051,0.00131375,2624,0.02624,12,0.00012,0.027673749999999997,67.70985531806946
