file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00032.java,0,"CWE-89,CWE-209",509,0.0002036,0,0,378,0.000756,0.0009596,8.080635786
BenchmarkTest00222.java,0,CWE-22,650,0.00026,0,0,412,0.000824,0.001084,9.072122574
BenchmarkTest00174.java,0,"CWE-89,CWE-78,CWE-116",507,0.0002028,0,0,395,0.00079,0.0009928,9.570286989
BenchmarkTest00302.java,0,CWE-78,533,0.0002132,0,0,361,0.000722,0.0009352,7.971393108
BenchmarkTest00281.java,0,"CWE-79,CWE-116",444,0.0001776,0,0,421,0.000842,0.0010196,10.04838848
BenchmarkTest00244.java,0,"CWE-113,CWE-116,CWE-330",952,0.0003808,0,0,517,0.001034,0.0014148,12.72840977
BenchmarkTest00524.java,0,"CWE-327,CWE-22,CWE-209",1242,0.0004968,0,0,539,0.001078,0.0015748,11.98854232
BenchmarkTest00521.java,0,"CWE-326,CWE-327,CWE-116",1306,0.0005224,0,0,618,0.001236,0.0017584,14.3852613
BenchmarkTest00462.java,0,"CWE-89,CWE-79,CWE-22,CWE-328,CWE-200",926,0.0003704,0,0,681,0.001362,0.0017324,16.12574148
BenchmarkTest00678.java,0,"CWE-89,CWE-209",572,0.0002288,0,0,392,0.000784,0.0010128,10.47155786
BenchmarkTest00663.java,0,"CWE-79,CWE-330",902,0.0003608,0,0,552,0.001104,0.0014648,12.48459744
BenchmarkTest00577.java,0,"CWE-79,CWE-330,CWE-200",941,0.0003764,0,0,589,0.001178,0.0015544,13.9438889
BenchmarkTest00730.java,0,CWE-79,504,0.0002016,0,0,375,0.00075,0.0009516,8.573167801
BenchmarkTest00738.java,0,CWE-78,632,0.0002528,0,0,350,0.0007,0.0009528,7.816420317
BenchmarkTest00740.java,0,CWE-78,591,0.0002364,0,0,335,0.00067,0.0009064,9.432211161
BenchmarkTest00773.java,0,"CWE-89,CWE-209,CWE-79,CWE-200,CWE-20",539,0.0002156,0,0,400,0.0008,0.0010156,10.97765326
BenchmarkTest00814.java,0,"CWE-78,CWE-77",697,0.0002788,0,0,342,0.000684,0.0009628,7.604432583
BenchmarkTest00879.java,0,CWE-79,517,0.0002068,0,0,407,0.000814,0.0010208,10.90386534
BenchmarkTest00906.java,0,"CWE-78,CWE-116,CWE-200",647,0.0002588,0,0,393,0.000786,0.0010448,8.979898214
BenchmarkTest00934.java,0,"CWE-89,CWE-79",609,0.0002436,0,0,460,0.00092,0.0011636,9.604034901
BenchmarkTest00936.java,0,"CWE-89,CWE-209",540,0.000216,0,0,333,0.000666,0.000882,7.04973197
BenchmarkTest00947.java,0,"CWE-90,CWE-116",1009,0.0004036,0,0,495,0.00099,0.0013936,10.72148347
BenchmarkTest00955.java,0,Not vulnerable,709,0.0002836,0,0,602,0.001204,0.0014876,12.77633715
BenchmarkTest01026.java,0,CWE-200,816,0.0003264,0,0,454,0.000908,0.0012344,9.818777084
BenchmarkTest01035.java,0,CWE-22,589,0.0002356,0,0,467,0.000934,0.0011696,10.11981034
BenchmarkTest01036.java,0,"CWE-22,CWE-116,CWE-200",797,0.0003188,0,0,379,0.000758,0.0010768,8.539518356
BenchmarkTest01038.java,0,"CWE-327,CWE-22,CWE-79,CWE-312,CWE-20",830,0.000332,0,0,659,0.001318,0.00165,15.13701677
BenchmarkTest01060.java,0,"CWE-330,CWE-79,CWE-384,CWE-20,CWE-1004,CWE-391,CWE-113",860,0.000344,0,0,651,0.001302,0.001646,14.92433429
BenchmarkTest01067.java,0,"CWE-78,CWE-20,CWE-200,CWE-676",586,0.0002344,0,0,363,0.000726,0.0009604,9.554380178
