file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,0,"CWE-22,CWE-79,CWE-312",1006,0.0004024,0,0.0,17,3.4e-05,0.00043640000000000004,3.0991976261138916
BenchmarkTest00003.java,0,"CWE-312,CWE-327,CWE-79,CWE-22",1169,0.00046760000000000004,0,0.0,23,4.6e-05,0.0005136,3.0991976261138916
BenchmarkTest00002.java,0,"CWE-22,CWE-79",892,0.0003568,0,0.0,11,2.2e-05,0.0003788,3.5911922454833984
BenchmarkTest00006.java,0,"CWE-78,CWE-116",747,0.0002988,0,0.0,12,2.4e-05,0.0003228,1.6001410484313965
BenchmarkTest00007.java,0,"CWE-78,CWE-74,CWE-116",713,0.0002852,0,0.0,17,3.4e-05,0.0003192,1.3943061828613281
BenchmarkTest00005.java,0,"CWE-327,CWE-329,CWE-22,CWE-209,CWE-312",1117,0.0004468,0,0.0,30,6e-05,0.0005068000000000001,1.9293363094329834
BenchmarkTest00008.java,0,"CWE-89,CWE-20,CWE-209",709,0.0002836,0,0.0,17,3.4e-05,0.0003176,1.174898386001587
BenchmarkTest00010.java,0,"CWE-330,CWE-338",1075,0.00043,0,0.0,13,2.6e-05,0.00045599999999999997,1.075791597366333
BenchmarkTest00009.java,0,"CWE-22,CWE-327,CWE-328,CWE-330",1142,0.0004568,0,0.0,24,4.8e-05,0.0005048,1.6469230651855469
BenchmarkTest00011.java,0,"CWE-22,CWE-79",702,0.0002808,0,0.0,11,2.2e-05,0.0003028,0.9874720573425293
BenchmarkTest00012.java,0,"CWE-90,CWE-116",1053,0.00042120000000000005,0,0.0,12,2.4e-05,0.00044520000000000003,1.575035810470581
BenchmarkTest00014.java,0,"CWE-116,CWE-79",630,0.000252,0,0.0,12,2.4e-05,0.000276,1.114691972732544
BenchmarkTest00015.java,0,"CWE-78,CWE-116",760,0.000304,0,0.0,12,2.4e-05,0.000328,0.9431703090667725
BenchmarkTest00016.java,0,"CWE-116,CWE-209",839,0.0003356,0,0.0,13,2.6e-05,0.0003616,0.9680500030517578
BenchmarkTest00017.java,0,"CWE-78,CWE-116",731,0.00029240000000000006,0,0.0,12,2.4e-05,0.00031640000000000005,1.0469155311584473
BenchmarkTest00018.java,0,"CWE-89,CWE-20,CWE-116",718,0.0002872,0,0.0,17,3.4e-05,0.0003212,1.2889740467071533
BenchmarkTest00019.java,0,"CWE-327,CWE-326,CWE-22,CWE-209",1071,0.00042840000000000006,0,0.0,24,4.8e-05,0.0004764000000000001,1.2624542713165283
BenchmarkTest00020.java,0,"CWE-327,CWE-329,CWE-330,CWE-22,CWE-209,CWE-532",1455,0.000582,0,0.0,36,7.2e-05,0.0006540000000000001,1.6857988834381104
BenchmarkTest00021.java,0,"CWE-90,CWE-116",986,0.00039440000000000005,0,0.0,12,2.4e-05,0.00041840000000000003,1.4120721817016602
BenchmarkTest00022.java,0,"CWE-312,CWE-22,CWE-79",943,0.00037720000000000006,0,0.0,17,3.4e-05,0.0004112000000000001,1.1874444484710693
BenchmarkTest00023.java,0,"CWE-330,CWE-338",960,0.000384,0,0.0,13,2.6e-05,0.00041,2.8065783977508545
BenchmarkTest00024.java,0,"CWE-89,CWE-209",742,0.0002968,0,0.0,12,2.4e-05,0.0003208,2.0458502769470215
BenchmarkTest00013.java,0,"CWE-79,CWE-116",637,0.0002548,0,0.0,12,2.4e-05,0.0002788,9.513542890548706
BenchmarkTest00026.java,0,"CWE-89,CWE-209,CWE-200",785,0.000314,0,0.0,18,3.6e-05,0.00035,1.7827932834625244
BenchmarkTest00025.java,0,"CWE-89,CWE-209,CWE-200",732,0.0002928,0,0.0,18,3.6e-05,0.0003288,1.862297534942627
BenchmarkTest00027.java,0,"CWE-89,CWE-209",680,0.000272,0,0.0,12,2.4e-05,0.000296,0.98488450050354
BenchmarkTest00028.java,0,"CWE-22,CWE-73",745,0.000298,0,0.0,11,2.2e-05,0.00031999999999999997,1.0225722789764404
BenchmarkTest00030.java,0,"CWE-79,CWE-116",622,0.00024880000000000003,0,0.0,12,2.4e-05,0.0002728,1.1052238941192627
BenchmarkTest00029.java,0,"CWE-22,CWE-328,CWE-79,CWE-312",1022,0.0004088,0,0.0,23,4.6e-05,0.0004548,1.406888723373413
BenchmarkTest00032.java,0,"CWE-89,CWE-209",747,0.0002988,0,0.0,12,2.4e-05,0.0003228,0.9607686996459961
BenchmarkTest00033.java,0,"CWE-89,CWE-209,CWE-200",818,0.00032720000000000004,0,0.0,18,3.6e-05,0.00036320000000000005,1.1357207298278809
BenchmarkTest00034.java,0,"CWE-89,CWE-209",724,0.00028960000000000005,0,0.0,12,2.4e-05,0.00031360000000000003,0.9624209403991699
BenchmarkTest00035.java,0,"CWE-327,CWE-326,CWE-22,CWE-209",1187,0.0004748,0,0.0,24,4.8e-05,0.0005228,1.3451650142669678
BenchmarkTest00036.java,0,"CWE-79,CWE-116",708,0.0002832,0,0.0,12,2.4e-05,0.0003072,1.0720231533050537
BenchmarkTest00037.java,0,"CWE-89,CWE-209",843,0.00033720000000000006,0,0.0,12,2.4e-05,0.00036120000000000005,1.078949213027954
BenchmarkTest00038.java,0,"CWE-89,CWE-209,CWE-200",964,0.00038560000000000005,0,0.0,18,3.6e-05,0.00042160000000000006,1.3207941055297852
BenchmarkTest00040.java,0,"CWE-22,CWE-73",692,0.0002768,0,0.0,11,2.2e-05,0.0002988,1.1540498733520508
BenchmarkTest00039.java,0,"CWE-89,CWE-209,CWE-200",858,0.00034320000000000005,0,0.0,18,3.6e-05,0.00037920000000000006,1.368485927581787
BenchmarkTest00041.java,0,"CWE-79,CWE-116",636,0.0002544,0,0.0,12,2.4e-05,0.0002784,1.1169219017028809
BenchmarkTest00043.java,0,"CWE-89,CWE-209",721,0.0002884,0,0.0,12,2.4e-05,0.0003124,1.069765329360962
BenchmarkTest00042.java,0,"CWE-330,CWE-338",1018,0.00040720000000000003,0,0.0,13,2.6e-05,0.0004332,1.2421910762786865
BenchmarkTest00044.java,0,"CWE-90,CWE-116",987,0.0003948,0,0.0,12,2.4e-05,0.0004188,1.1370279788970947
BenchmarkTest00045.java,0,"CWE-22,CWE-73,CWE-209",695,0.000278,0,0.0,17,3.4e-05,0.000312,1.2206244468688965
BenchmarkTest00046.java,0,"CWE-327,CWE-328,CWE-22,CWE-79",963,0.00038520000000000004,0,0.0,23,4.6e-05,0.0004312,1.2562084197998047
BenchmarkTest00047.java,0,"CWE-79,CWE-116",753,0.0003012,0,0.0,12,2.4e-05,0.0003252,1.1741206645965576
BenchmarkTest00049.java,0,"CWE-79,CWE-116",746,0.00029840000000000004,0,0.0,12,2.4e-05,0.00032240000000000003,1.926262617111206
BenchmarkTest00048.java,0,"CWE-79,CWE-116",749,0.0002996,0,0.0,12,2.4e-05,0.0003236,2.9990017414093018
BenchmarkTest00050.java,0,"CWE-327,CWE-329,CWE-330,CWE-22,CWE-209",1477,0.0005908,0,0.0,30,6e-05,0.0006508000000000001,2.057934522628784
BenchmarkTest00052.java,0,"CWE-94,CWE-209",749,0.0002996,0,0.0,12,2.4e-05,0.0003236,1.5410513877868652
BenchmarkTest00051.java,0,"CWE-78,CWE-79",743,0.0002972,0,0.0,11,2.2e-05,0.0003192,2.5931332111358643
BenchmarkTest00053.java,0,"CWE-327,CWE-329,CWE-330,CWE-532,CWE-209",1625,0.00065,0,0.0,31,6.2e-05,0.000712,2.751671075820923
BenchmarkTest00054.java,0,"CWE-327,CWE-22,CWE-209,CWE-312",1551,0.0006204000000000001,0,0.0,24,4.8e-05,0.0006684000000000001,1.3184356689453125
BenchmarkTest00055.java,0,"CWE-327,CWE-326,CWE-22,CWE-209,CWE-312",1641,0.0006564000000000001,0,0.0,30,6e-05,0.0007164000000000002,1.6927249431610107
BenchmarkTest00057.java,0,"CWE-327,CWE-329,CWE-330,CWE-22",1318,0.0005272,0,0.0,24,4.8e-05,0.0005752,1.3475902080535889
BenchmarkTest00056.java,0,"CWE-327,CWE-329,CWE-22,CWE-79,CWE-209",1708,0.0006832,0,0.0,29,5.8e-05,0.0007412,1.6787197589874268
BenchmarkTest00058.java,0,"CWE-327,CWE-22,CWE-209,CWE-532",1224,0.0004896,0,0.0,24,4.8e-05,0.0005376,1.340970754623413
BenchmarkTest00060.java,0,"CWE-22,CWE-79",919,0.00036760000000000004,0,0.0,11,2.2e-05,0.00038960000000000004,1.0761175155639648
BenchmarkTest00061.java,0,"CWE-22,CWE-79",905,0.000362,0,0.0,11,2.2e-05,0.000384,1.098059892654419
BenchmarkTest00059.java,0,"CWE-327,CWE-312,CWE-22,CWE-209,CWE-532",1290,0.000516,0,0.0,30,6e-05,0.000576,1.5212841033935547
BenchmarkTest00062.java,0,"CWE-22,CWE-79",1121,0.00044840000000000006,0,0.0,11,2.2e-05,0.00047040000000000005,1.079646110534668
BenchmarkTest00063.java,0,"CWE-22,CWE-79",1049,0.0004196,0,0.0,11,2.2e-05,0.0004416,1.0789036750793457
BenchmarkTest00064.java,0,"CWE-22,CWE-79",933,0.00037320000000000007,0,0.0,11,2.2e-05,0.00039520000000000007,1.1019153594970703
BenchmarkTest00065.java,0,"CWE-22,CWE-79,CWE-327",1078,0.0004312,0,0.0,17,3.4e-05,0.00046520000000000003,1.292210578918457
BenchmarkTest00067.java,0,"CWE-330,CWE-338",1453,0.0005812,0,0.0,13,2.6e-05,0.0006072,1.1478867530822754
BenchmarkTest00066.java,0,"CWE-330,CWE-338,CWE-345,CWE-79",1177,0.0004708,0,0.0,24,4.8e-05,0.0005188,1.4393234252929688
BenchmarkTest00068.java,0,"CWE-200,CWE-330",1171,0.00046840000000000006,0,0.0,13,2.6e-05,0.0004944000000000001,1.1471107006072998
BenchmarkTest00069.java,0,"CWE-79,CWE-327,CWE-22,CWE-312",1285,0.000514,0,0.0,23,4.6e-05,0.0005600000000000001,1.3369686603546143
BenchmarkTest00070.java,0,"CWE-326,CWE-22,CWE-79,CWE-327",1227,0.0004908,0,0.0,23,4.6e-05,0.0005368,1.190495491027832
BenchmarkTest00072.java,0,"CWE-79,CWE-327,CWE-22,CWE-312",1225,0.00049,0,0.0,23,4.6e-05,0.000536,2.2484874725341797
BenchmarkTest00071.java,0,"CWE-326,CWE-327,CWE-79,CWE-312",1233,0.0004932000000000001,0,0.0,24,4.8e-05,0.0005412,2.534029483795166
