file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00153.java,0,CWE-79,417,0.000834,192,0.001536,23,0.000184,0.0025540000000000003,13.574775218963623
BenchmarkTest00157.java,0,CWE-79,361,0.000722,128,0.001024,23,0.000184,0.0019299999999999999,13.828799962997437
BenchmarkTest00196.java,0,CWE-89,488,0.000976,192,0.001536,23,0.000184,0.002696,10.508551597595215
BenchmarkTest00028.java,0,CWE-22,463,0.000926,256,0.002048,23,0.000184,0.003158,14.678567171096802
BenchmarkTest00198.java,0,CWE-89,502,0.001004,256,0.002048,23,0.000184,0.003236,10.92698049545288
BenchmarkTest00152.java,0,CWE-79,427,0.000854,320,0.00256,23,0.000184,0.0035980000000000005,15.016219854354858
BenchmarkTest00111.java,0,CWE-89,647,0.001294,256,0.002048,23,0.000184,0.003526,15.667121648788452
BenchmarkTest00008.java,0,"CWE-89,CWE-79",429,0.000858,128,0.001024,27,0.000216,0.002098,15.783975601196289
BenchmarkTest00044.java,0,"CWE-90,CWE-79",672,0.001344,384,0.003072,27,0.000216,0.004632,15.879411458969116
BenchmarkTest00017.java,0,CWE-78,451,0.000902,384,0.003072,23,0.000184,0.004158,15.942800760269165
BenchmarkTest00025.java,0,"CWE-89,CWE-209",448,0.000896,320,0.00256,27,0.000216,0.0036720000000000004,16.090222597122192
BenchmarkTest00112.java,0,CWE-89,604,0.001208,256,0.002048,23,0.000184,0.0034400000000000003,16.156601190567017
BenchmarkTest00081.java,0,CWE-338,839,0.001678,320,0.00256,23,0.000184,0.004422000000000001,16.507564067840576
BenchmarkTest00101.java,0,CWE-89,669,0.001338,128,0.001024,23,0.000184,0.002546,16.604868173599243
BenchmarkTest00138.java,0,CWE-79,760,0.00152,384,0.003072,23,0.000184,0.004776000000000001,16.588411808013916
BenchmarkTest00176.java,0,CWE-78,471,0.000942,384,0.003072,23,0.000184,0.004198,16.840596199035645
BenchmarkTest00171.java,0,Not vulnerable,660,0.00132,384,0.003072,21,0.000168,0.00456,16.944803714752197
BenchmarkTest00040.java,0,"CWE-22,CWE-203",409,0.000818,512,0.004096,27,0.000216,0.00513,17.186974048614502
BenchmarkTest00155.java,0,CWE-79,363,0.000726,256,0.002048,23,0.000184,0.002958,17.130398273468018
BenchmarkTest00201.java,0,Not vulnerable,691,0.001382,448,0.003584,21,0.000168,0.005134,14.00186038017273
BenchmarkTest00109.java,0,CWE-89,632,0.001264,448,0.003584,23,0.000184,0.005032,17.450571537017822
BenchmarkTest00136.java,0,Not vulnerable,546,0.001092,384,0.003072,21,0.000168,0.004332,17.457481384277344
BenchmarkTest00146.java,0,"CWE-79,CWE-134",406,0.000812,384,0.003072,27,0.000216,0.0041,17.494609594345093
BenchmarkTest00206.java,0,Not vulnerable,673,0.001346,384,0.003072,21,0.000168,0.004586,13.137691259384155
BenchmarkTest00170.java,0,"CWE-113,CWE-614",787,0.001574,576,0.004608,27,0.000216,0.006398,17.793803930282593
BenchmarkTest00137.java,0,Not vulnerable,679,0.001358,448,0.003584,21,0.000168,0.00511,17.83334994316101
BenchmarkTest00147.java,0,Not vulnerable,421,0.000842,384,0.003072,21,0.000168,0.004082,17.945724964141846
BenchmarkTest00047.java,0,"CWE-79,CWE-134",475,0.00095,448,0.003584,27,0.000216,0.00475,18.101966619491577
BenchmarkTest00162.java,0,CWE-330,687,0.001374,512,0.004096,23,0.000184,0.005654,18.27524995803833
BenchmarkTest00169.java,0,CWE-614,615,0.00123,512,0.004096,23,0.000184,0.00551,18.56399178504944
BenchmarkTest00192.java,0,CWE-89,538,0.001076,256,0.002048,23,0.000184,0.003308,16.21077799797058
BenchmarkTest00139.java,0,Not vulnerable,934,0.001868,576,0.004608,21,0.000168,0.006644,18.848456859588623
BenchmarkTest00091.java,0,CWE-78,595,0.00119,576,0.004608,23,0.000184,0.005982,19.140654802322388
BenchmarkTest00009.java,0,Not vulnerable,847,0.001694,576,0.004608,21,0.000168,0.00647,19.46748399734497
BenchmarkTest00037.java,0,"CWE-89,CWE-79",551,0.001102,320,0.00256,27,0.000216,0.0038780000000000004,19.60958218574524
BenchmarkTest00030.java,0,"CWE-79,CWE-134",347,0.000694,384,0.003072,27,0.000216,0.003982,19.678109407424927
BenchmarkTest00175.java,0,Not vulnerable,532,0.001064,384,0.003072,21,0.000168,0.004304,19.62001657485962
BenchmarkTest00050.java,0,"CWE-209,CWE-327",1157,0.002314,384,0.003072,27,0.000216,0.005602,19.800671339035034
BenchmarkTest00166.java,0,CWE-330,672,0.001344,640,0.00512,23,0.000184,0.006648,19.778693675994873
BenchmarkTest00026.java,0,CWE-89,499,0.000998,192,0.001536,23,0.000184,0.002718,19.9884352684021
BenchmarkTest00177.java,0,Not vulnerable,506,0.001012,640,0.00512,21,0.000168,0.0063,20.112364768981934
BenchmarkTest00122.java,0,Not vulnerable,1083,0.002166,768,0.006144,21,0.000168,0.008478,20.25132966041565
BenchmarkTest00001.java,0,CWE-22,713,0.001426,384,0.003072,23,0.000184,0.004682,20.3880672454834
BenchmarkTest00148.java,0,CWE-79,387,0.000774,320,0.00256,23,0.000184,0.0035180000000000003,20.29054021835327
BenchmarkTest00018.java,0,CWE-89,436,0.000872,192,0.001536,23,0.000184,0.002592,20.47079586982727
BenchmarkTest00086.java,0,CWE-330,863,0.001726,832,0.006656,23,0.000184,0.008566,20.56581687927246
BenchmarkTest00208.java,0,CWE-327,1260,0.00252,384,0.003072,23,0.000184,0.005776,6.683470249176025
BenchmarkTest00164.java,0,CWE-338,707,0.001414,320,0.00256,23,0.000184,0.004158,20.533499240875244
BenchmarkTest00088.java,0,CWE-113,708,0.001416,704,0.005632,23,0.000184,0.007232,20.735908031463623
BenchmarkTest00133.java,0,CWE-22,543,0.001086,768,0.006144,23,0.000184,0.0074140000000000005,20.744874715805054
BenchmarkTest00041.java,0,CWE-79,355,0.00071,192,0.001536,23,0.000184,0.0024300000000000003,20.867501974105835
BenchmarkTest00188.java,0,Not vulnerable,763,0.001526,640,0.00512,21,0.000168,0.006814000000000001,20.709888458251953
BenchmarkTest00186.java,0,CWE-330,971,0.001942,640,0.00512,23,0.000184,0.007246000000000001,20.31834101676941
BenchmarkTest00095.java,0,CWE-330,979,0.001958,768,0.006144,23,0.000184,0.008286,21.377567768096924
BenchmarkTest00084.java,0,CWE-338,848,0.001696,704,0.005632,23,0.000184,0.007512,21.603928804397583
BenchmarkTest00005.java,0,"CWE-327,CWE-330",810,0.00162,768,0.006144,27,0.000216,0.00798,21.943402767181396
BenchmarkTest00079.java,0,CWE-330,941,0.001882,512,0.004096,23,0.000184,0.006162,21.883897066116333
BenchmarkTest00106.java,0,CWE-89,653,0.001306,256,0.002048,23,0.000184,0.0035380000000000003,21.92591142654419
BenchmarkTest00045.java,0,CWE-22,413,0.000826,384,0.003072,23,0.000184,0.004082,22.003690481185913
BenchmarkTest00115.java,0,CWE-89,672,0.001344,384,0.003072,23,0.000184,0.0046,21.990611791610718
BenchmarkTest00125.java,0,CWE-327,830,0.00166,512,0.004096,23,0.000184,0.00594,22.05781102180481
BenchmarkTest00043.java,0,"CWE-89,CWE-79",434,0.000868,512,0.004096,27,0.000216,0.00518,22.214664459228516
BenchmarkTest00123.java,0,"CWE-327,CWE-209",828,0.001656,832,0.006656,27,0.000216,0.008527999999999999,22.197274446487427
BenchmarkTest00103.java,0,CWE-89,683,0.001366,448,0.003584,23,0.000184,0.005134,22.28687858581543
BenchmarkTest00185.java,0,CWE-330,836,0.001672,704,0.005632,23,0.000184,0.007488,21.773387670516968
BenchmarkTest00219.java,0,CWE-22,651,0.001302,320,0.00256,23,0.000184,0.004046,6.021535634994507
BenchmarkTest00015.java,0,"CWE-78,CWE-79",483,0.000966,448,0.003584,27,0.000216,0.004766,22.601579427719116
BenchmarkTest00156.java,0,CWE-79,401,0.000802,320,0.00256,23,0.000184,0.0035460000000000005,22.657004594802856
BenchmarkTest00207.java,0,CWE-643,623,0.001246,512,0.004096,23,0.000184,0.005526,9.083634853363037
BenchmarkTest00011.java,0,"CWE-22,CWE-200",424,0.000848,512,0.004096,27,0.000216,0.00516,22.839587450027466
BenchmarkTest00226.java,0,Not vulnerable,877,0.001754,320,0.00256,21,0.000168,0.004482,5.415442705154419
BenchmarkTest00131.java,0,Not vulnerable,499,0.000998,256,0.002048,21,0.000168,0.0032140000000000003,22.90294313430786
BenchmarkTest00013.java,0,"CWE-79,CWE-134",357,0.000714,448,0.003584,27,0.000216,0.004514,23.084436178207397
BenchmarkTest00195.java,0,CWE-89,484,0.000968,256,0.002048,23,0.000184,0.0032,18.159278631210327
BenchmarkTest00202.java,0,Not vulnerable,673,0.001346,448,0.003584,21,0.000168,0.005098,19.61638379096985
BenchmarkTest00174.java,0,CWE-78,463,0.000926,960,0.00768,23,0.000184,0.008790000000000001,22.9293270111084
BenchmarkTest00135.java,0,Not vulnerable,509,0.001018,576,0.004608,21,0.000168,0.005794,22.98755121231079
BenchmarkTest00033.java,0,"CWE-89,CWE-209",532,0.001064,448,0.003584,27,0.000216,0.004864,23.23636293411255
BenchmarkTest00048.java,0,CWE-79,470,0.00094,320,0.00256,23,0.000184,0.003684,23.30759048461914
