file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00030.java,0,"CWE-79,CWE-134",347,8.675e-05,1216,0.002432,18,3.6e-05,0.00255475,23.390470027923584
BenchmarkTest00158.java,0,Not vulnerable,508,0.000127,1408,0.002816,12,2.4e-05,0.002967,24.668482303619385
BenchmarkTest00015.java,0,"CWE-78,CWE-79",483,0.00012075,1728,0.003456,18,3.6e-05,0.00361275,25.46173119544983
BenchmarkTest00146.java,0,"CWE-79,CWE-134",406,0.0001015,1792,0.003584,18,3.6e-05,0.0037215,26.149526596069336
BenchmarkTest00036.java,0,CWE-79,432,0.000108,1728,0.003456,14,2.8e-05,0.0035919999999999997,27.01099395751953
BenchmarkTest00132.java,0,Not vulnerable,655,0.00016375,1344,0.002688,12,2.4e-05,0.00287575,27.01532554626465
BenchmarkTest00024.java,0,CWE-89,451,0.00011275,1792,0.003584,14,2.8e-05,0.0037247499999999998,27.360559225082397
BenchmarkTest00006.java,0,"CWE-78,CWE-79",471,0.00011775,1728,0.003456,18,3.6e-05,0.0036097499999999997,27.53333353996277
BenchmarkTest00177.java,0,Not vulnerable,506,0.0001265,1536,0.003072,12,2.4e-05,0.0032225,27.856205224990845
BenchmarkTest00155.java,0,CWE-79,363,9.075e-05,1472,0.002944,14,2.8e-05,0.00306275,27.86921787261963
BenchmarkTest00157.java,0,"CWE-79,CWE-116",361,9.025e-05,1856,0.003712,18,3.6e-05,0.00383825,28.869948863983154
BenchmarkTest00014.java,0,"CWE-79,CWE-134",354,8.85e-05,1920,0.00384,18,3.6e-05,0.003964499999999999,29.006266117095947
BenchmarkTest00131.java,0,Not vulnerable,499,0.00012475,1792,0.003584,12,2.4e-05,0.00373275,28.89853858947754
BenchmarkTest00150.java,0,CWE-79,392,9.8e-05,2048,0.004096,14,2.8e-05,0.004222,28.888800859451294
BenchmarkTest00193.java,0,CWE-89,491,0.00012275,1920,0.00384,14,2.8e-05,0.00399075,27.958512783050537
BenchmarkTest00153.java,0,CWE-79,417,0.00010425,1792,0.003584,14,2.8e-05,0.00371625,29.402758598327637
BenchmarkTest00043.java,0,CWE-89,434,0.0001085,2048,0.004096,14,2.8e-05,0.0042325,30.001273155212402
BenchmarkTest00144.java,0,"CWE-79,CWE-134",413,0.00010325,2240,0.00448,18,3.6e-05,0.004619249999999999,29.89746403694153
BenchmarkTest00041.java,0,CWE-79,355,8.875e-05,2048,0.004096,14,2.8e-05,0.00421275,30.005745887756348
BenchmarkTest00171.java,0,Not vulnerable,660,0.000165,2112,0.004224,12,2.4e-05,0.004413,30.42598032951355
BenchmarkTest00159.java,0,"CWE-78,CWE-79",502,0.0001255,2176,0.004352,18,3.6e-05,0.004513499999999999,30.43427586555481
BenchmarkTest00148.java,0,CWE-79,387,9.675e-05,1920,0.00384,14,2.8e-05,0.00396475,30.439813375473022
BenchmarkTest00013.java,0,"CWE-79,CWE-134",357,8.925e-05,2112,0.004224,18,3.6e-05,0.00434925,30.572778940200806
BenchmarkTest00048.java,0,"CWE-79,CWE-116",470,0.0001175,2496,0.004992,19,3.8e-05,0.0051475,31.43332815170288
BenchmarkTest00149.java,0,CWE-79,382,9.55e-05,2304,0.004608,14,2.8e-05,0.0047315000000000005,32.062479972839355
BenchmarkTest00047.java,0,"CWE-79,CWE-134",475,0.00011875,2112,0.004224,18,3.6e-05,0.00437875,32.199862480163574
BenchmarkTest00037.java,0,CWE-89,551,0.00013775,2560,0.00512,14,2.8e-05,0.0052857500000000005,32.500277042388916
BenchmarkTest00145.java,0,"CWE-79,CWE-134",435,0.00010875,2304,0.004608,18,3.6e-05,0.00475275,32.471606492996216
BenchmarkTest00147.java,0,Not vulnerable,421,0.00010525,2112,0.004224,12,2.4e-05,0.00435325,32.63033723831177
BenchmarkTest00039.java,0,CWE-89,571,0.00014275,2112,0.004224,14,2.8e-05,0.00439475,32.80991220474243
BenchmarkTest00034.java,0,CWE-89,438,0.0001095,2112,0.004224,14,2.8e-05,0.004361500000000001,33.03181266784668
BenchmarkTest00203.java,0,"CWE-89,CWE-79",468,0.000117,2304,0.004608,18,3.6e-05,0.004761,28.89525556564331
BenchmarkTest00049.java,0,"CWE-79,CWE-116",468,0.000117,2816,0.005632,18,3.6e-05,0.005784999999999999,33.398449182510376
BenchmarkTest00133.java,0,"CWE-22,CWE-73,CWE-200",543,0.00013575,2496,0.004992,22,4.4e-05,0.005171749999999999,33.48550486564636
BenchmarkTest00199.java,0,"CWE-89,CWE-209",514,0.0001285,2752,0.005504,18,3.6e-05,0.0056685,31.033311128616333
BenchmarkTest00018.java,0,"CWE-89,CWE-79",436,0.000109,2880,0.00576,18,3.6e-05,0.005905,35.73410415649414
BenchmarkTest00154.java,0,CWE-79,425,0.00010625,3392,0.006784,14,2.8e-05,0.00691825,35.92253112792969
BenchmarkTest00106.java,0,CWE-89,653,0.00016325,3008,0.006016,14,2.8e-05,0.00620725,36.42615842819214
BenchmarkTest00051.java,0,"CWE-78,CWE-79",461,0.00011525,2432,0.004864,18,3.6e-05,0.00501525,36.49086856842041
BenchmarkTest00040.java,0,"CWE-22,CWE-200",409,0.00010225,3072,0.006144,18,3.6e-05,0.00628225,36.56047177314758
BenchmarkTest00026.java,0,"CWE-89,CWE-209",499,0.00012475,2752,0.005504,18,3.6e-05,0.00566475,36.87695384025574
BenchmarkTest00033.java,0,"CWE-89,CWE-209",532,0.000133,3200,0.0064,18,3.6e-05,0.006569,37.20822763442993
BenchmarkTest00135.java,0,Not vulnerable,509,0.00012725,2496,0.004992,12,2.4e-05,0.005143249999999999,37.242674827575684
BenchmarkTest00044.java,0,"CWE-90,CWE-79",672,0.000168,2880,0.00576,18,3.6e-05,0.005964,37.71520972251892
BenchmarkTest00017.java,0,"CWE-78,CWE-79",451,0.00011275,2368,0.004736,18,3.6e-05,0.004884749999999999,37.79779291152954
BenchmarkTest00205.java,0,Not vulnerable,506,0.0001265,2560,0.00512,12,2.4e-05,0.0052705,33.76762795448303
BenchmarkTest00137.java,0,Not vulnerable,679,0.00016975,3200,0.0064,12,2.4e-05,0.00659375,39.918298959732056
BenchmarkTest00196.java,0,CWE-89,488,0.000122,3456,0.006912,14,2.8e-05,0.007062,37.00306510925293
BenchmarkTest00175.java,0,Not vulnerable,532,0.000133,2816,0.005632,12,2.4e-05,0.005789,40.410030364990234
BenchmarkTest00197.java,0,Not vulnerable,675,0.00016875,3136,0.006272,12,2.4e-05,0.006464749999999999,37.560505628585815
BenchmarkTest00198.java,0,CWE-89,502,0.0001255,3008,0.006016,14,2.8e-05,0.0061695,37.20294904708862
BenchmarkTest00060.java,0,"CWE-22,CWE-73,CWE-200",625,0.00015625,3968,0.007936,22,4.4e-05,0.008136250000000001,41.0528724193573
BenchmarkTest00204.java,0,"CWE-89,CWE-79",466,0.0001165,3840,0.00768,18,3.6e-05,0.007832500000000001,36.80787920951843
BenchmarkTest00195.java,0,"CWE-89,CWE-209",484,0.000121,3520,0.00704,18,3.6e-05,0.007196999999999999,37.12064743041992
BenchmarkTest00192.java,0,"CWE-89,CWE-772,CWE-209",538,0.0001345,3968,0.007936,22,4.4e-05,0.0081145,40.4630343914032
BenchmarkTest00194.java,0,CWE-89,507,0.00012675,3136,0.006272,14,2.8e-05,0.00642675,39.67247939109802
BenchmarkTest00008.java,0,"CWE-89,CWE-772",429,0.00010725,3584,0.007168,18,3.6e-05,0.007311249999999999,42.1755154132843
BenchmarkTest00136.java,0,CWE-200,546,0.0001365,3072,0.006144,14,2.8e-05,0.006308500000000001,42.57973837852478
BenchmarkTest00012.java,0,"CWE-90,CWE-79",732,0.000183,3456,0.006912,19,3.8e-05,0.007133,43.244096517562866
BenchmarkTest00202.java,0,Not vulnerable,673,0.00016825,4224,0.008448,12,2.4e-05,0.00864025,38.88077116012573
BenchmarkTest00021.java,0,"CWE-90,CWE-79",673,0.00016825,3968,0.007936,18,3.6e-05,0.00814025,43.86333775520325
BenchmarkTest00152.java,0,CWE-79,427,0.00010675,3456,0.006912,14,2.8e-05,0.00704675,43.802481174468994
BenchmarkTest00002.java,0,"CWE-20,CWE-22,CWE-73",604,0.000151,4096,0.008192,22,4.4e-05,0.008387,44.222187519073486
BenchmarkTest00038.java,0,CWE-89,674,0.0001685,3520,0.00704,14,2.8e-05,0.007236500000000001,44.20346474647522
BenchmarkTest00220.java,0,Not vulnerable,750,0.0001875,2048,0.004096,12,2.4e-05,0.0043075,15.235008955001831
BenchmarkTest00139.java,0,"CWE-79,CWE-200",934,0.0002335,3968,0.007936,18,3.6e-05,0.0082055,44.34078884124756
BenchmarkTest00161.java,0,"CWE-200,CWE-338",830,0.0002075,4224,0.008448,18,3.6e-05,0.0086915,44.38510489463806
BenchmarkTest00134.java,0,Not vulnerable,491,0.00012275,3840,0.00768,12,2.4e-05,0.00782675,44.46519351005554
