file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00393.java,0,Not vulnerable,338,1.69e-05,2112,0.0008448,12,4.800000000000001e-06,0.0008665000000000001,11.280429124832153
BenchmarkTest00193.java,0,CWE-89,491,2.455e-05,3264,0.0013056,19,7.600000000000001e-06,0.00133775,32.49884653091431
BenchmarkTest00295.java,0,CWE-78,517,2.585e-05,2752,0.0011007999999999999,14,5.600000000000001e-06,0.0011322499999999998,32.60113525390625
BenchmarkTest00288.java,0,Not vulnerable,475,2.375e-05,3328,0.0013312,12,4.800000000000001e-06,0.0013597499999999998,32.31154155731201
BenchmarkTest00388.java,0,CWE-79,333,1.665e-05,2752,0.0011007999999999999,15,6e-06,0.0011234499999999998,14.653181314468384
BenchmarkTest00199.java,0,"CWE-89,CWE-209",514,2.57e-05,3392,0.0013568000000000002,19,7.600000000000001e-06,0.0013901000000000002,34.520018577575684
BenchmarkTest00390.java,0,CWE-79,355,1.775e-05,3328,0.0013312,14,5.600000000000001e-06,0.00135455,15.18275761604309
BenchmarkTest00034.java,0,CWE-89,438,2.1900000000000004e-05,2944,0.0011776000000000002,15,6e-06,0.0012055000000000002,36.177486181259155
BenchmarkTest00052.java,0,CWE-89,456,2.2800000000000002e-05,3520,0.001408,15,6e-06,0.0014367999999999998,36.296276330947876
BenchmarkTest00149.java,0,CWE-79,382,1.91e-05,3456,0.0013824,15,6e-06,0.0014075,36.25004744529724
BenchmarkTest00040.java,0,"CWE-22,CWE-200",409,2.0450000000000002e-05,3776,0.0015104,18,7.2000000000000005e-06,0.00153805,36.77653121948242
BenchmarkTest00196.java,0,"CWE-89,CWE-200",488,2.4400000000000004e-05,4032,0.0016128000000000002,19,7.600000000000001e-06,0.0016448,35.575438022613525
BenchmarkTest00048.java,0,CWE-79,470,2.35e-05,3776,0.0015104,16,6.4000000000000006e-06,0.0015403,36.92249131202698
BenchmarkTest00380.java,0,CWE-79,399,1.9950000000000004e-05,3328,0.0013312,14,5.600000000000001e-06,0.0013567499999999999,16.799028158187866
BenchmarkTest00153.java,0,CWE-79,417,2.0850000000000002e-05,3648,0.0014592000000000001,15,6e-06,0.00148605,37.18162202835083
BenchmarkTest00157.java,0,CWE-79,361,1.805e-05,3776,0.0015104,14,5.600000000000001e-06,0.00153405,37.649741888046265
BenchmarkTest00293.java,0,CWE-78,534,2.6700000000000002e-05,4544,0.0018176000000000002,13,5.2e-06,0.0018495,36.67963004112244
BenchmarkTest00386.java,0,Not vulnerable,430,2.15e-05,3264,0.0013056,12,4.800000000000001e-06,0.0013319,17.775627613067627
BenchmarkTest00280.java,0,CWE-79,436,2.18e-05,3264,0.0013056,14,5.600000000000001e-06,0.001333,37.07434272766113
BenchmarkTest00376.java,0,CWE-79,359,1.795e-05,3712,0.0014848,15,6e-06,0.00150875,18.641159772872925
BenchmarkTest00292.java,0,CWE-79,404,2.0200000000000003e-05,4352,0.0017408000000000002,15,6e-06,0.0017670000000000001,37.38118624687195
BenchmarkTest00177.java,0,Not vulnerable,506,2.5300000000000002e-05,4416,0.0017664,14,5.600000000000001e-06,0.0017973,39.28178381919861
BenchmarkTest00018.java,0,CWE-89,436,2.18e-05,4160,0.001664,15,6e-06,0.0016917999999999998,39.47671341896057
BenchmarkTest00041.java,0,CWE-79,355,1.775e-05,3904,0.0015616000000000002,14,5.600000000000001e-06,0.0015849500000000001,39.527031660079956
BenchmarkTest00194.java,0,CWE-89,507,2.5350000000000003e-05,4288,0.0017152,16,6.4000000000000006e-06,0.00174695,37.86097574234009
BenchmarkTest00133.java,0,CWE-22,543,2.7150000000000003e-05,3968,0.0015872,14,5.600000000000001e-06,0.00161995,39.73299312591553
BenchmarkTest00026.java,0,"CWE-89,CWE-209",499,2.4950000000000003e-05,4608,0.0018432000000000001,18,7.2000000000000005e-06,0.00187535,40.03329348564148
BenchmarkTest00392.java,0,CWE-79,394,1.9700000000000005e-05,3776,0.0015104,14,5.600000000000001e-06,0.0015357,19.156094551086426
BenchmarkTest00301.java,0,"CWE-79,CWE-693",435,2.175e-05,4736,0.0018944,20,8e-06,0.0019241500000000001,36.42080760002136
BenchmarkTest00279.java,0,CWE-79,407,2.035e-05,4096,0.0016384000000000001,14,5.600000000000001e-06,0.00166435,38.76523423194885
BenchmarkTest00024.java,0,"CWE-89,CWE-772,CWE-209",451,2.255e-05,4864,0.0019456000000000002,22,8.8e-06,0.0019769500000000003,41.02502989768982
BenchmarkTest00049.java,0,"CWE-79,CWE-693",468,2.3400000000000003e-05,4992,0.0019968000000000004,18,7.2000000000000005e-06,0.0020274000000000004,41.03039002418518
BenchmarkTest00287.java,0,CWE-79,375,1.875e-05,4352,0.0017408000000000002,15,6e-06,0.0017655500000000003,39.19358038902283
BenchmarkTest00340.java,0,Not vulnerable,557,2.7850000000000003e-05,4288,0.0017152,13,5.2e-06,0.00174825,25.06972861289978
BenchmarkTest00336.java,0,Not vulnerable,526,2.6300000000000002e-05,4864,0.0019456000000000002,12,4.800000000000001e-06,0.0019767000000000005,27.677483081817627
BenchmarkTest00394.java,0,Not vulnerable,407,2.035e-05,4608,0.0018432000000000001,12,4.800000000000001e-06,0.00186835,20.915514707565308
BenchmarkTest00158.java,0,Not vulnerable,508,2.54e-05,4672,0.0018688,12,4.800000000000001e-06,0.001899,42.08951711654663
BenchmarkTest00152.java,0,CWE-79,427,2.135e-05,5312,0.0021248,14,5.600000000000001e-06,0.00215175,42.18491888046265
BenchmarkTest00151.java,0,Not vulnerable,414,2.0700000000000002e-05,3776,0.0015104,12,4.800000000000001e-06,0.0015359,42.38538694381714
BenchmarkTest00290.java,0,CWE-79,367,1.8350000000000002e-05,4608,0.0018432000000000001,14,5.600000000000001e-06,0.0018671500000000001,41.644858598709106
BenchmarkTest00148.java,0,CWE-79,387,1.9350000000000003e-05,4992,0.0019968000000000004,16,6.4000000000000006e-06,0.0020225500000000006,43.37295365333557
BenchmarkTest00395.java,0,CWE-79,349,1.745e-05,4800,0.00192,15,6e-06,0.00194345,22.466394424438477
BenchmarkTest00382.java,0,"CWE-134,CWE-79",388,1.94e-05,4736,0.0018944,18,7.2000000000000005e-06,0.001921,22.98744225502014
BenchmarkTest00025.java,0,"CWE-89,CWE-209",448,2.2400000000000002e-05,5248,0.0020992000000000003,18,7.2000000000000005e-06,0.0021288000000000006,43.68709588050842
BenchmarkTest00203.java,0,CWE-89,468,2.3400000000000003e-05,5056,0.0020224,14,5.600000000000001e-06,0.0020514,42.7945773601532
BenchmarkTest00264.java,0,"CWE-22,CWE-200",615,3.075e-05,5760,0.002304,18,7.2000000000000005e-06,0.00234195,42.612839221954346
BenchmarkTest00195.java,0,CWE-89,484,2.4200000000000002e-05,5440,0.002176,14,5.600000000000001e-06,0.0022058,43.086447954177856
BenchmarkTest00396.java,0,Not vulnerable,490,2.45e-05,5248,0.0020992000000000003,12,4.800000000000001e-06,0.0021285,23.847992658615112
BenchmarkTest00108.java,0,CWE-89,686,3.430000000000001e-05,4864,0.0019456000000000002,14,5.600000000000001e-06,0.0019855000000000003,45.068119764328
BenchmarkTest00006.java,0,"CWE-78,CWE-79",471,2.355e-05,4864,0.0019456000000000002,18,7.2000000000000005e-06,0.0019763500000000004,45.1714129447937
BenchmarkTest00135.java,0,Not vulnerable,509,2.5450000000000002e-05,4736,0.0018944,12,4.800000000000001e-06,0.00192465,45.07738280296326
BenchmarkTest00154.java,0,CWE-79,425,2.125e-05,5760,0.002304,14,5.600000000000001e-06,0.00233085,45.12449836730957
BenchmarkTest00359.java,0,"CWE-22,CWE-200",422,2.11e-05,3904,0.0015616000000000002,18,7.2000000000000005e-06,0.0015899000000000002,26.01752519607544
BenchmarkTest00145.java,0,"CWE-134,CWE-79",435,2.175e-05,5824,0.0023296,18,7.2000000000000005e-06,0.00235855,45.16562557220459
BenchmarkTest00281.java,0,Not vulnerable,396,1.98e-05,5376,0.0021504000000000002,13,5.2e-06,0.0021754,43.82660102844238
BenchmarkTest00311.java,0,CWE-78,550,2.75e-05,5312,0.0021248,14,5.600000000000001e-06,0.0021579000000000004,36.85737872123718
BenchmarkTest00389.java,0,Not vulnerable,316,1.58e-05,4992,0.0019968000000000004,14,5.600000000000001e-06,0.0020182000000000004,24.667280673980713
BenchmarkTest00190.java,0,Not vulnerable,529,2.6450000000000003e-05,5440,0.002176,12,4.800000000000001e-06,0.00220725,44.47030234336853
BenchmarkTest00043.java,0,"CWE-89,CWE-772",434,2.1700000000000002e-05,5440,0.002176,22,8.8e-06,0.0022065,45.86848568916321
BenchmarkTest00391.java,0,Not vulnerable,324,1.62e-05,5568,0.0022272000000000004,12,4.800000000000001e-06,0.0022482000000000005,25.173847675323486
BenchmarkTest00350.java,0,"CWE-200,CWE-209",846,4.2300000000000005e-05,5568,0.0022272000000000004,18,7.2000000000000005e-06,0.0022767000000000004,28.841188669204712
BenchmarkTest00377.java,0,Not vulnerable,396,1.98e-05,5120,0.002048,15,6e-06,0.0020737999999999998,26.00250768661499
BenchmarkTest00387.java,0,CWE-79,339,1.695e-05,5120,0.002048,16,6.4000000000000006e-06,0.00207135,25.61205220222473
BenchmarkTest00205.java,0,Not vulnerable,506,2.5300000000000002e-05,6272,0.0025088000000000003,13,5.2e-06,0.0025393,44.65740156173706
BenchmarkTest00291.java,0,CWE-79,376,1.88e-05,6080,0.002432,15,6e-06,0.0024568,45.02232813835144
BenchmarkTest00176.java,0,CWE-78,471,2.355e-05,6080,0.002432,16,6.4000000000000006e-06,0.00246195,46.860944509506226
BenchmarkTest00278.java,0,Not vulnerable,352,1.76e-05,5504,0.0022015999999999997,16,6.4000000000000006e-06,0.0022256,45.46950840950012
BenchmarkTest00289.java,0,Not vulnerable,356,1.7800000000000002e-05,6272,0.0025088000000000003,15,6e-06,0.0025326000000000003,45.214584827423096
BenchmarkTest00276.java,0,CWE-79,373,1.8650000000000003e-05,6080,0.002432,15,6e-06,0.00245665,45.591607332229614
BenchmarkTest00302.java,0,CWE-78,486,2.43e-05,6016,0.0024064,13,5.2e-06,0.0024359,43.63026428222656
BenchmarkTest00115.java,0,CWE-89,672,3.3600000000000004e-05,5504,0.0022015999999999997,12,4.800000000000001e-06,0.00224,47.35890746116638
BenchmarkTest00284.java,0,CWE-79,344,1.7199999999999998e-05,6144,0.0024576000000000003,14,5.600000000000001e-06,0.0024804000000000007,45.90671753883362
BenchmarkTest00406.java,0,Not vulnerable,558,2.79e-05,6080,0.002432,13,5.2e-06,0.0024651,26.299009323120117
BenchmarkTest00262.java,0,"CWE-22,CWE-200",518,2.5900000000000003e-05,5504,0.0022015999999999997,19,7.600000000000001e-06,0.0022351,46.667155027389526
BenchmarkTest00339.java,0,CWE-89,571,2.855e-05,6016,0.0024064,16,6.4000000000000006e-06,0.00244135,32.77272629737854
BenchmarkTest00225.java,0,Not vulnerable,839,4.195e-05,6656,0.0026624,12,4.800000000000001e-06,0.00270915,46.89485001564026
BenchmarkTest00257.java,0,CWE-327,1212,6.06e-05,6592,0.0026368000000000003,14,5.600000000000001e-06,0.0027030000000000005,46.79396390914917
BenchmarkTest00294.java,0,"CWE-78,CWE-79",514,2.57e-05,5568,0.0022272000000000004,18,7.2000000000000005e-06,0.0022601000000000006,46.90509748458862
BenchmarkTest00033.java,0,"CWE-89,CWE-209",532,2.6600000000000003e-05,4800,0.00192,19,7.600000000000001e-06,0.0019542,48.68570065498352
BenchmarkTest00131.java,0,Not vulnerable,499,2.4950000000000003e-05,5696,0.0022784000000000003,14,5.600000000000001e-06,0.0023089500000000006,48.69659185409546
BenchmarkTest00014.java,0,"CWE-134,CWE-79",354,1.77e-05,5952,0.0023808,18,7.2000000000000005e-06,0.0024057,48.91645336151123
BenchmarkTest00156.java,0,CWE-79,401,2.005e-05,5696,0.0022784000000000003,14,5.600000000000001e-06,0.0023040500000000006,48.791316509246826
BenchmarkTest00013.java,0,"CWE-79,CWE-134,CWE-16",357,1.785e-05,6464,0.0025856000000000004,22,8.8e-06,0.0026122500000000004,48.939210176467896
BenchmarkTest00001.java,0,"CWE-22,CWE-209",713,3.565e-05,5760,0.002304,19,7.600000000000001e-06,0.00234725,49.14710354804993
BenchmarkTest00410.java,0,Not vulnerable,507,2.5350000000000003e-05,6080,0.002432,12,4.800000000000001e-06,0.00246215,27.464175701141357
BenchmarkTest00192.java,0,CWE-89,538,2.6900000000000003e-05,5888,0.0023552000000000004,16,6.4000000000000006e-06,0.0023885000000000004,48.15215539932251
BenchmarkTest00020.java,0,"CWE-327,CWE-326",1141,5.7050000000000004e-05,7040,0.002816,18,7.2000000000000005e-06,0.00288025,49.474586486816406
BenchmarkTest00008.java,0,"CWE-89,CWE-772",429,2.1450000000000003e-05,6208,0.0024832,19,7.600000000000001e-06,0.00251225,49.511696100234985
BenchmarkTest00112.java,0,CWE-89,604,3.0200000000000002e-05,6144,0.0024576000000000003,14,5.600000000000001e-06,0.0024934000000000007,49.52569341659546
BenchmarkTest00337.java,0,"CWE-89,CWE-209",581,2.905e-05,6400,0.00256,19,7.600000000000001e-06,0.0025966500000000003,34.90269660949707
BenchmarkTest00303.java,0,CWE-78,605,3.025e-05,6400,0.00256,14,5.600000000000001e-06,0.0025958500000000002,44.61516451835632
BenchmarkTest00234.java,0,CWE-330,831,4.155000000000001e-05,7168,0.0028672000000000003,14,5.600000000000001e-06,0.0029143500000000004,48.297119140625
BenchmarkTest00144.java,0,"CWE-79,CWE-134",413,2.065e-05,6976,0.0027904,18,7.2000000000000005e-06,0.0028182500000000004,49.792513847351074
BenchmarkTest00147.java,0,Not vulnerable,421,2.105e-05,5952,0.0023808,12,4.800000000000001e-06,0.00240665,49.88432502746582
BenchmarkTest00028.java,0,CWE-22,463,2.3150000000000004e-05,6784,0.0027136000000000005,14,5.600000000000001e-06,0.0027423500000000006,50.16096901893616
BenchmarkTest00342.java,0,CWE-89,511,2.555e-05,6464,0.0025856000000000004,15,6e-06,0.0026171500000000004,33.51726007461548
BenchmarkTest00142.java,0,Not vulnerable,717,3.5850000000000004e-05,6720,0.002688,14,5.600000000000001e-06,0.00272945,50.33745837211609
BenchmarkTest00362.java,0,CWE-22,438,2.1900000000000004e-05,6720,0.002688,16,6.4000000000000006e-06,0.0027163,31.14636254310608
BenchmarkTest00363.java,0,CWE-22,399,1.9950000000000004e-05,6528,0.0026112,16,6.4000000000000006e-06,0.0026375500000000002,31.33910369873047
BenchmarkTest00436.java,0,Not vulnerable,437,2.1850000000000003e-05,2560,0.001024,13,5.2e-06,0.0010510499999999998,13.628530025482178
BenchmarkTest00285.java,0,Not vulnerable,356,1.7800000000000002e-05,7424,0.0029696,12,4.800000000000001e-06,0.0029922000000000004,49.347689151763916
BenchmarkTest00435.java,0,CWE-89,497,2.485e-05,2688,0.0010752000000000001,14,5.600000000000001e-06,0.0011056500000000001,13.918769836425781
BenchmarkTest00409.java,0,CWE-78,627,3.135e-05,6208,0.0024832,19,7.600000000000001e-06,0.00252215,29.25402808189392
BenchmarkTest00439.java,0,CWE-89,409,2.0450000000000002e-05,2496,0.0009984000000000002,14,5.600000000000001e-06,0.00102445,12.786284923553467
BenchmarkTest00032.java,0,CWE-89,462,2.3100000000000002e-05,6016,0.0024064,18,7.2000000000000005e-06,0.0024367,51.554678440093994
BenchmarkTest00106.java,0,CWE-89,653,3.265e-05,6400,0.00256,16,6.4000000000000006e-06,0.0025990500000000003,51.506038427352905
BenchmarkTest00381.java,0,Not vulnerable,346,1.73e-05,6400,0.00256,13,5.2e-06,0.0025825,31.10127854347229
BenchmarkTest00146.java,0,"CWE-134,CWE-79",406,2.0300000000000002e-05,7040,0.002816,19,7.600000000000001e-06,0.0028439,51.53714299201965
BenchmarkTest00286.java,0,Not vulnerable,356,1.7800000000000002e-05,7232,0.0028928,15,6e-06,0.0029166,50.35233283042908
BenchmarkTest00361.java,0,Not vulnerable,574,2.8700000000000003e-05,6272,0.0025088000000000003,12,4.800000000000001e-06,0.0025423000000000004,32.760433197021484
BenchmarkTest00307.java,0,Not vulnerable,541,2.705e-05,6400,0.00256,14,5.600000000000001e-06,0.00259265,43.39458894729614
BenchmarkTest00030.java,0,"CWE-134,CWE-79",347,1.735e-05,6592,0.0026368000000000003,19,7.600000000000001e-06,0.0026617500000000005,52.16404867172241
BenchmarkTest00002.java,0,CWE-22,604,3.0200000000000002e-05,6592,0.0026368000000000003,16,6.4000000000000006e-06,0.0026734000000000007,52.22464609146118
BenchmarkTest00198.java,0,"CWE-89,CWE-209",502,2.51e-05,6848,0.0027392000000000002,18,7.2000000000000005e-06,0.0027715000000000005,50.95620799064636
BenchmarkTest00335.java,0,CWE-89,506,2.5300000000000002e-05,6336,0.0025344,16,6.4000000000000006e-06,0.0025661,38.15896701812744
BenchmarkTest00021.java,0,"CWE-90,CWE-476,CWE-79,CWE-200",673,3.365e-05,6592,0.0026368000000000003,30,1.2e-05,0.0026824500000000003,52.4201180934906
BenchmarkTest00150.java,0,CWE-79,392,1.9600000000000002e-05,7040,0.002816,14,5.600000000000001e-06,0.0028412,52.39622783660889
BenchmarkTest00036.java,0,CWE-79,432,2.16e-05,6464,0.0025856000000000004,16,6.4000000000000006e-06,0.0026136000000000006,52.59299302101135
BenchmarkTest00360.java,0,"CWE-22,CWE-200",590,2.95e-05,7104,0.0028416000000000005,19,7.600000000000001e-06,0.0028787000000000005,33.350871086120605
BenchmarkTest00268.java,0,"CWE-327,CWE-200",791,3.9550000000000006e-05,7296,0.0029184000000000002,18,7.2000000000000005e-06,0.0029651500000000006,50.98960304260254
BenchmarkTest00051.java,0,CWE-77,461,2.305e-05,6848,0.0027392000000000002,15,6e-06,0.0027682500000000003,52.70555758476257
BenchmarkTest00378.java,0,"CWE-134,CWE-79",343,1.7150000000000004e-05,6912,0.0027648,19,7.600000000000001e-06,0.00278955,32.417696714401245
BenchmarkTest00330.java,0,CWE-400,681,3.405e-05,7168,0.0028672000000000003,15,6e-06,0.00290725,39.56536412239075
BenchmarkTest00404.java,0,CWE-113,573,2.8650000000000002e-05,6720,0.002688,16,6.4000000000000006e-06,0.00272305,31.374316215515137
BenchmarkTest00412.java,0,Not vulnerable,487,2.4350000000000002e-05,6784,0.0027136000000000005,13,5.2e-06,0.00274315,30.99170160293579
BenchmarkTest00384.java,0,"CWE-134,CWE-79",351,1.755e-05,6784,0.0027136000000000005,19,7.600000000000001e-06,0.0027387500000000003,32.39954853057861
BenchmarkTest00197.java,0,Not vulnerable,675,3.375e-05,7872,0.0031488,12,4.800000000000001e-06,0.0031873500000000003,52.029420614242554
BenchmarkTest00174.java,0,CWE-78,463,2.3150000000000004e-05,7488,0.0029952000000000004,16,6.4000000000000006e-06,0.0030247500000000005,53.33530902862549
BenchmarkTest00090.java,0,Not vulnerable,636,3.18e-05,6976,0.0027904,12,4.800000000000001e-06,0.002827,53.459991455078125
BenchmarkTest00038.java,0,CWE-89,674,3.3700000000000006e-05,7744,0.0030976000000000003,16,6.4000000000000006e-06,0.0031377,53.657487630844116
BenchmarkTest00155.java,0,CWE-79,363,1.815e-05,6208,0.0024832,14,5.600000000000001e-06,0.0025069500000000004,53.57991909980774
