file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00044.java,0,"CWE-90,CWE-79",672,0.000168,128,0.000256,18,3.6e-05,0.00046,15.414763689041138
BenchmarkTest00153.java,0,CWE-79,417,0.00010425,192,0.000384,14,2.8e-05,0.00051625,15.961033582687378
BenchmarkTest00136.java,0,Not vulnerable,546,0.0001365,192,0.000384,12,2.4e-05,0.0005445000000000001,16.000821828842163
BenchmarkTest00192.java,0,CWE-89,538,0.0001345,192,0.000384,14,2.8e-05,0.0005465,15.17020297050476
BenchmarkTest00041.java,0,"CWE-79,CWE-116",355,8.875e-05,192,0.000384,18,3.6e-05,0.00050875,16.284700870513916
BenchmarkTest00015.java,0,CWE-78,483,0.00012075,192,0.000384,14,2.8e-05,0.00053275,16.32641863822937
BenchmarkTest00177.java,0,Not vulnerable,506,0.0001265,192,0.000384,12,2.4e-05,0.0005345,16.25285840034485
BenchmarkTest00008.java,0,CWE-89,429,0.00010725,128,0.000256,14,2.8e-05,0.00039124999999999994,16.444574117660522
BenchmarkTest00175.java,0,Not vulnerable,532,0.000133,256,0.000512,12,2.4e-05,0.000669,16.298492670059204
BenchmarkTest00158.java,0,Not vulnerable,508,0.000127,128,0.000256,12,2.4e-05,0.00040699999999999997,16.597484827041626
BenchmarkTest00021.java,0,"CWE-90,CWE-79",673,0.00016825,192,0.000384,18,3.6e-05,0.00058825,16.757877349853516
BenchmarkTest00131.java,0,Not vulnerable,499,0.00012475,192,0.000384,12,2.4e-05,0.00053275,16.693216562271118
BenchmarkTest00157.java,0,CWE-79,361,9.025e-05,256,0.000512,14,2.8e-05,0.00063025,16.669395923614502
BenchmarkTest00034.java,0,"CWE-89,CWE-209",438,0.0001095,256,0.000512,18,3.6e-05,0.0006575,16.82700538635254
BenchmarkTest00204.java,0,"CWE-89,CWE-79",466,0.0001165,192,0.000384,18,3.6e-05,0.0005365,15.76982307434082
BenchmarkTest00014.java,0,"CWE-79,CWE-134",354,8.85e-05,256,0.000512,18,3.6e-05,0.0006365,16.8747661113739
BenchmarkTest00201.java,0,Not vulnerable,691,0.00017275,192,0.000384,12,2.4e-05,0.00058075,15.792781114578247
BenchmarkTest00025.java,0,"CWE-89,CWE-209",448,0.000112,256,0.000512,18,3.6e-05,0.00066,16.894731283187866
BenchmarkTest00149.java,0,CWE-79,382,9.55e-05,192,0.000384,14,2.8e-05,0.0005075,16.815164804458618
BenchmarkTest00199.java,0,CWE-89,514,0.0001285,192,0.000384,14,2.8e-05,0.0005405000000000001,15.629581212997437
BenchmarkTest00047.java,0,"CWE-79,CWE-134",475,0.00011875,320,0.00064,18,3.6e-05,0.0007947500000000001,17.013280868530273
BenchmarkTest00197.java,0,CWE-89,675,0.00016875,256,0.000512,14,2.8e-05,0.00070875,15.975703716278076
BenchmarkTest00018.java,0,"CWE-89,CWE-79",436,0.000109,256,0.000512,18,3.6e-05,0.000657,17.08177423477173
BenchmarkTest00198.java,0,"CWE-89,CWE-209",502,0.0001255,256,0.000512,18,3.6e-05,0.0006734999999999999,16.144057512283325
BenchmarkTest00191.java,0,Not vulnerable,542,0.0001355,256,0.000512,12,2.4e-05,0.0006715,16.19393014907837
BenchmarkTest00006.java,0,CWE-78,471,0.00011775,192,0.000384,14,2.8e-05,0.0005297500000000001,17.289798974990845
BenchmarkTest00030.java,0,"CWE-134,CWE-79",347,8.675e-05,192,0.000384,18,3.6e-05,0.00050675,17.337648153305054
BenchmarkTest00132.java,0,Not vulnerable,655,0.00016375,256,0.000512,12,2.4e-05,0.00069975,17.288042068481445
BenchmarkTest00028.java,0,"CWE-22,CWE-73,CWE-200",463,0.00011575,256,0.000512,22,4.4e-05,0.0006717499999999999,17.424789428710938
BenchmarkTest00194.java,0,"CWE-89,CWE-209",507,0.00012675,256,0.000512,18,3.6e-05,0.00067475,16.379562854766846
BenchmarkTest00052.java,0,CWE-89,456,0.000114,256,0.000512,14,2.8e-05,0.0006540000000000001,17.44301176071167
BenchmarkTest00155.java,0,CWE-79,363,9.075e-05,256,0.000512,14,2.8e-05,0.00063075,17.395444631576538
BenchmarkTest00188.java,0,Not vulnerable,763,0.00019075,256,0.000512,12,2.4e-05,0.0007267500000000001,16.4580717086792
BenchmarkTest00024.java,0,CWE-89,451,0.00011275,192,0.000384,14,2.8e-05,0.00052475,17.539222240447998
BenchmarkTest00196.java,0,"CWE-89,CWE-209",488,0.000122,256,0.000512,18,3.6e-05,0.00067,16.526018619537354
BenchmarkTest00112.java,0,CWE-89,604,0.000151,320,0.00064,14,2.8e-05,0.0008190000000000001,17.58228874206543
BenchmarkTest00150.java,0,CWE-79,392,9.8e-05,256,0.000512,14,2.8e-05,0.000638,17.571155309677124
BenchmarkTest00137.java,0,Not vulnerable,679,0.00016975,256,0.000512,12,2.4e-05,0.00070575,17.59317183494568
BenchmarkTest00206.java,0,Not vulnerable,673,0.00016825,256,0.000512,12,2.4e-05,0.00070425,16.628165245056152
BenchmarkTest00117.java,0,Not vulnerable,846,0.0002115,320,0.00064,12,2.4e-05,0.0008755000000000001,17.719441890716553
BenchmarkTest00174.java,0,CWE-78,463,0.00011575,320,0.00064,14,2.8e-05,0.00078375,17.669214487075806
BenchmarkTest00166.java,0,CWE-330,672,0.000168,384,0.000768,14,2.8e-05,0.000964,17.7342050075531
BenchmarkTest00039.java,0,"CWE-89,CWE-209",571,0.00014275,320,0.00064,18,3.6e-05,0.00081875,17.933589458465576
BenchmarkTest00193.java,0,CWE-89,491,0.00012275,256,0.000512,14,2.8e-05,0.00066275,16.896732330322266
BenchmarkTest00171.java,0,Not vulnerable,660,0.000165,256,0.000512,12,2.4e-05,0.000701,17.88775396347046
BenchmarkTest00012.java,0,"CWE-90,CWE-79",732,0.000183,256,0.000512,18,3.6e-05,0.000731,18.045275449752808
BenchmarkTest00154.java,0,CWE-79,425,0.00010625,256,0.000512,14,2.8e-05,0.00064625,17.916590213775635
BenchmarkTest00147.java,0,Not vulnerable,421,0.00010525,320,0.00064,12,2.4e-05,0.0007692500000000001,17.923926830291748
BenchmarkTest00195.java,0,"CWE-89,CWE-209",484,0.000121,320,0.00064,18,3.6e-05,0.0007970000000000001,16.999477863311768
BenchmarkTest00148.java,0,CWE-79,387,9.675e-05,320,0.00064,14,2.8e-05,0.00076475,17.951099395751953
BenchmarkTest00108.java,0,CWE-89,686,0.0001715,384,0.000768,14,2.8e-05,0.0009675,18.05706548690796
BenchmarkTest00077.java,0,CWE-78,715,0.00017875,384,0.000768,14,2.8e-05,0.00097475,18.09320378303528
BenchmarkTest00146.java,0,"CWE-134,CWE-79",406,0.0001015,256,0.000512,18,3.6e-05,0.0006495,18.090425968170166
BenchmarkTest00163.java,0,"CWE-330,CWE-200",704,0.000176,320,0.00064,18,3.6e-05,0.0008520000000000001,18.087695598602295
