file_name,category,is_real_vulnerability,cwe
BenchmarkTest00001.java,pathtraver,true,"CWE-22"
BenchmarkTest00002.java,pathtraver,true,"CWE-22"
BenchmarkTest00003.java,hash,true,"CWE-328"
BenchmarkTest00005.java,crypto,true,"CWE-327"
BenchmarkTest00006.java,cmdi,true,"CWE-78"
BenchmarkTest00007.java,cmdi,true,"CWE-78"
BenchmarkTest00008.java,sqli,true,"CWE-89"
BenchmarkTest00009.java,hash,false,"CWE-328"
BenchmarkTest00010.java,weakrand,false,"CWE-330"
BenchmarkTest00011.java,pathtraver,true,"CWE-22"
BenchmarkTest00012.java,ldapi,true,"CWE-90"
BenchmarkTest00013.java,xss,true,"CWE-79"
BenchmarkTest00014.java,xss,true,"CWE-79"
BenchmarkTest00015.java,cmdi,true,"CWE-78"
BenchmarkTest00016.java,securecookie,false,"CWE-614"
BenchmarkTest00017.java,cmdi,true,"CWE-78"
BenchmarkTest00018.java,sqli,true,"CWE-89"
BenchmarkTest00019.java,crypto,true,"CWE-327"
BenchmarkTest00020.java,crypto,true,"CWE-327"
BenchmarkTest00021.java,ldapi,true,"CWE-90"
BenchmarkTest00022.java,hash,false,"CWE-328"
BenchmarkTest00023.java,weakrand,true,"CWE-330"
BenchmarkTest00024.java,sqli,true,"CWE-89"
BenchmarkTest00025.java,sqli,true,"CWE-89"
BenchmarkTest00026.java,sqli,true,"CWE-89"
BenchmarkTest00027.java,sqli,true,"CWE-89"
BenchmarkTest00028.java,pathtraver,true,"CWE-22"
BenchmarkTest00029.java,hash,true,"CWE-328"
BenchmarkTest00030.java,xss,true,"CWE-79"
BenchmarkTest00032.java,sqli,true,"CWE-89"
BenchmarkTest00033.java,sqli,true,"CWE-89"
BenchmarkTest00034.java,sqli,true,"CWE-89"
BenchmarkTest00035.java,crypto,true,"CWE-327"
BenchmarkTest00036.java,xss,true,"CWE-79"
BenchmarkTest00037.java,sqli,true,"CWE-89"
BenchmarkTest00038.java,sqli,true,"CWE-89"
BenchmarkTest00039.java,sqli,true,"CWE-89"
BenchmarkTest00040.java,pathtraver,true,"CWE-22"
BenchmarkTest00041.java,xss,true,"CWE-79"
BenchmarkTest00042.java,weakrand,false,"CWE-330"
BenchmarkTest00043.java,sqli,true,"CWE-89"
BenchmarkTest00044.java,ldapi,true,"CWE-90"
BenchmarkTest00045.java,pathtraver,true,"CWE-22"
BenchmarkTest00046.java,hash,true,"CWE-328"
BenchmarkTest00047.java,xss,true,"CWE-79"
BenchmarkTest00048.java,xss,true,"CWE-79"
BenchmarkTest00049.java,xss,true,"CWE-79"
BenchmarkTest00050.java,crypto,true,"CWE-327"
BenchmarkTest00051.java,cmdi,false,"CWE-78"
BenchmarkTest00052.java,sqli,false,"CWE-89"
BenchmarkTest00053.java,crypto,true,"CWE-327"
BenchmarkTest00054.java,crypto,false,"CWE-327"
BenchmarkTest00055.java,crypto,true,"CWE-327"
BenchmarkTest00056.java,crypto,true,"CWE-327"
BenchmarkTest00057.java,crypto,true,"CWE-327"
BenchmarkTest00058.java,crypto,false,"CWE-327"
BenchmarkTest00059.java,crypto,false,"CWE-327"
BenchmarkTest00060.java,pathtraver,true,"CWE-22"
BenchmarkTest00061.java,pathtraver,true,"CWE-22"
BenchmarkTest00062.java,pathtraver,true,"CWE-22"
BenchmarkTest00063.java,pathtraver,false,"CWE-22"
BenchmarkTest00064.java,pathtraver,false,"CWE-22"
BenchmarkTest00065.java,pathtraver,true,"CWE-22"
BenchmarkTest00066.java,weakrand,true,"CWE-330"
BenchmarkTest00067.java,weakrand,true,"CWE-330"
BenchmarkTest00068.java,weakrand,true,"CWE-330"
BenchmarkTest00069.java,hash,false,"CWE-328"
BenchmarkTest00070.java,hash,true,"CWE-328"
BenchmarkTest00071.java,hash,true,"CWE-328"
BenchmarkTest00072.java,hash,false,"CWE-328"
BenchmarkTest00073.java,hash,true,"CWE-328"
BenchmarkTest00074.java,hash,true,"CWE-328"
BenchmarkTest00075.java,hash,false,"CWE-328"
BenchmarkTest00076.java,hash,false,"CWE-328"
BenchmarkTest00077.java,cmdi,true,"CWE-78"
BenchmarkTest00078.java,weakrand,true,"CWE-330"
BenchmarkTest00079.java,weakrand,true,"CWE-330"
BenchmarkTest00080.java,weakrand,true,"CWE-330"
BenchmarkTest00081.java,weakrand,true,"CWE-330"
BenchmarkTest00082.java,weakrand,true,"CWE-330"
BenchmarkTest00083.java,weakrand,true,"CWE-330"
BenchmarkTest00084.java,weakrand,true,"CWE-330"
BenchmarkTest00085.java,weakrand,true,"CWE-330"
BenchmarkTest00086.java,weakrand,true,"CWE-330"
BenchmarkTest00087.java,securecookie,true,"CWE-614"
BenchmarkTest00088.java,securecookie,false,"CWE-614"
BenchmarkTest00089.java,securecookie,false,"CWE-614"
BenchmarkTest00090.java,cmdi,false,"CWE-78"
BenchmarkTest00091.java,cmdi,true,"CWE-78"
BenchmarkTest00092.java,cmdi,true,"CWE-78"
BenchmarkTest00093.java,cmdi,false,"CWE-78"
BenchmarkTest00094.java,weakrand,false,"CWE-330"
BenchmarkTest00095.java,weakrand,false,"CWE-330"
BenchmarkTest00096.java,weakrand,false,"CWE-330"
BenchmarkTest00100.java,sqli,true,"CWE-89"
BenchmarkTest00101.java,sqli,true,"CWE-89"
BenchmarkTest00102.java,sqli,true,"CWE-89"
BenchmarkTest00103.java,sqli,true,"CWE-89"
BenchmarkTest00104.java,sqli,false,"CWE-89"
BenchmarkTest00105.java,sqli,false,"CWE-89"
BenchmarkTest00106.java,sqli,true,"CWE-89"
BenchmarkTest00107.java,sqli,false,"CWE-89"
BenchmarkTest00108.java,sqli,true,"CWE-89"
BenchmarkTest00109.java,sqli,true,"CWE-89"
BenchmarkTest00110.java,sqli,false,"CWE-89"
BenchmarkTest00111.java,sqli,true,"CWE-89"
BenchmarkTest00112.java,sqli,true,"CWE-89"
BenchmarkTest00113.java,sqli,false,"CWE-89"
BenchmarkTest00114.java,sqli,false,"CWE-89"
BenchmarkTest00115.java,sqli,true,"CWE-89"
BenchmarkTest00116.java,xpathi,false,"CWE-643"
BenchmarkTest00117.java,xpathi,false,"CWE-643"
BenchmarkTest00118.java,xpathi,false,"CWE-643"
BenchmarkTest00119.java,crypto,true,"CWE-327"
BenchmarkTest00120.java,crypto,true,"CWE-327"
BenchmarkTest00121.java,crypto,false,"CWE-327"
BenchmarkTest00122.java,crypto,false,"CWE-327"
BenchmarkTest00123.java,crypto,true,"CWE-327"
BenchmarkTest00124.java,crypto,true,"CWE-327"
BenchmarkTest00125.java,crypto,true,"CWE-327"
BenchmarkTest00126.java,crypto,false,"CWE-327"
BenchmarkTest00127.java,crypto,false,"CWE-327"
BenchmarkTest00128.java,crypto,false,"CWE-327"
BenchmarkTest00129.java,crypto,false,"CWE-327"
BenchmarkTest00130.java,crypto,false,"CWE-327"
BenchmarkTest00131.java,pathtraver,false,"CWE-22"
BenchmarkTest00132.java,pathtraver,false,"CWE-22"
BenchmarkTest00133.java,pathtraver,true,"CWE-22"
BenchmarkTest00134.java,pathtraver,false,"CWE-22"
BenchmarkTest00135.java,pathtraver,false,"CWE-22"
BenchmarkTest00136.java,pathtraver,false,"CWE-22"
BenchmarkTest00137.java,pathtraver,false,"CWE-22"
BenchmarkTest00138.java,ldapi,false,"CWE-90"
BenchmarkTest00139.java,ldapi,false,"CWE-90"
BenchmarkTest00140.java,weakrand,true,"CWE-330"
BenchmarkTest00141.java,hash,true,"CWE-328"
BenchmarkTest00142.java,hash,false,"CWE-328"
BenchmarkTest00143.java,hash,true,"CWE-328"
BenchmarkTest00144.java,xss,true,"CWE-79"
BenchmarkTest00145.java,xss,true,"CWE-79"
BenchmarkTest00146.java,xss,true,"CWE-79"
BenchmarkTest00147.java,xss,false,"CWE-79"
BenchmarkTest00148.java,xss,true,"CWE-79"
BenchmarkTest00149.java,xss,true,"CWE-79"
BenchmarkTest00150.java,xss,true,"CWE-79"
BenchmarkTest00151.java,xss,false,"CWE-79"
BenchmarkTest00152.java,xss,true,"CWE-79"
BenchmarkTest00153.java,xss,true,"CWE-79"
BenchmarkTest00154.java,xss,true,"CWE-79"
BenchmarkTest00155.java,xss,true,"CWE-79"
BenchmarkTest00156.java,xss,true,"CWE-79"
BenchmarkTest00157.java,xss,true,"CWE-79"
BenchmarkTest00158.java,cmdi,false,"CWE-78"
