model,prompt,cwe,n,accuracy,recall,specificity,precision,f1
DeepSeek-V3-0324,zero-shot,CWE-22,268,0.4962686567164179,1,0,0.4962686567164179,0.6633416458852868
DeepSeek-V3-0324,zero-shot,CWE-327,246,0.8739837398373984,1,0.7327586206896551,0.8074534161490683,0.8934707903780068
DeepSeek-V3-0324,zero-shot,CWE-328,236,0.4745762711864407,0.17054263565891473,0.8411214953271028,0.5641025641025641,0.2619047619047619
DeepSeek-V3-0324,zero-shot,CWE-330,493,0.4462474645030426,0.8853211009174312,0.09818181818181818,0.4376417233560091,0.5857359635811836
DeepSeek-V3-0324,zero-shot,CWE-614,67,0.4925373134328358,0.05555555555555555,1,1,0.10526315789473684
DeepSeek-V3-0324,zero-shot,CWE-643,35,0.4,0.9333333333333333,0,0.4117647058823529,0.5714285714285713
DeepSeek-V3-0324,zero-shot,CWE-78,251,0.50199203187251,1,0,0.50199203187251,0.6684350132625995
DeepSeek-V3-0324,zero-shot,CWE-79,455,0.5406593406593406,0.959349593495935,0.04784688995215311,0.542528735632184,0.6930983847283406
DeepSeek-V3-0324,zero-shot,CWE-89,504,0.5376984126984127,0.9963235294117647,0,0.5387673956262425,0.6993548387096774
DeepSeek-V3-0324,zero-shot,CWE-90,59,0.4576271186440678,1,0,0.4576271186440678,0.627906976744186
DeepSeek-V3-0324,few-shot,CWE-22,268,0.4962686567164179,1,0,0.4962686567164179,0.6633416458852868
DeepSeek-V3-0324,few-shot,CWE-327,246,0.8414634146341463,0.9846153846153847,0.6810344827586207,0.7757575757575758,0.8677966101694914
DeepSeek-V3-0324,few-shot,CWE-328,236,0.5466101694915254,0.5581395348837209,0.5327102803738317,0.5901639344262295,0.5737051792828686
DeepSeek-V3-0324,few-shot,CWE-330,493,0.43610547667342797,0.963302752293578,0.01818181818181818,0.4375,0.6017191977077364
DeepSeek-V3-0324,few-shot,CWE-614,67,0.4626865671641791,0.08333333333333333,0.9032258064516129,0.5,0.14285714285714285
DeepSeek-V3-0324,few-shot,CWE-643,35,0.42857142857142855,1,0,0.42857142857142855,0.6
DeepSeek-V3-0324,few-shot,CWE-78,251,0.50199203187251,1,0,0.50199203187251,0.6684350132625995
DeepSeek-V3-0324,few-shot,CWE-79,455,0.545054945054945,0.9796747967479674,0.03349282296650718,0.5440180586907449,0.6995645863570392
DeepSeek-V3-0324,few-shot,CWE-89,504,0.5436507936507936,1,0.008620689655172414,0.5418326693227091,0.7028423772609819
DeepSeek-V3-0324,few-shot,CWE-90,59,0.4576271186440678,1,0,0.4576271186440678,0.627906976744186
DeepSeek-V3-0324,cot,CWE-22,268,0.5261194029850746,0.9924812030075187,0.06666666666666667,0.5116279069767442,0.6751918158567776
DeepSeek-V3-0324,cot,CWE-327,246,0.6260162601626016,0.8153846153846154,0.41379310344827586,0.6091954022988506,0.6973684210526315
DeepSeek-V3-0324,cot,CWE-328,236,0.5296610169491526,0.3875968992248062,0.7009345794392523,0.6097560975609756,0.47393364928909953
DeepSeek-V3-0324,cot,CWE-330,493,0.6632860040567952,0.963302752293578,0.4254545454545455,0.5706521739130435,0.7167235494880546
DeepSeek-V3-0324,cot,CWE-614,67,0.6865671641791045,0.4166666666666667,1,1,0.5882352941176471
DeepSeek-V3-0324,cot,CWE-643,35,0.42857142857142855,1,0,0.42857142857142855,0.6
DeepSeek-V3-0324,cot,CWE-78,251,0.5258964143426295,1,0.048,0.5142857142857142,0.6792452830188679
DeepSeek-V3-0324,cot,CWE-79,455,0.6285714285714286,0.9715447154471545,0.22488038277511962,0.5960099750623441,0.7387944358578052
DeepSeek-V3-0324,cot,CWE-89,504,0.5615079365079365,1,0.047413793103448273,0.5517241379310345,0.7111111111111111
DeepSeek-V3-0324,cot,CWE-90,59,0.4576271186440678,1,0,0.4576271186440678,0.627906976744186
gemini-2.5-flash,zero-shot,CWE-22,268,0.8880597014925373,0.9172932330827067,0.8592592592592593,0.8652482269503546,0.8905109489051095
gemini-2.5-flash,zero-shot,CWE-327,246,0.6016260162601627,0.5076923076923077,0.7068965517241379,0.66,0.5739130434782608
gemini-2.5-flash,zero-shot,CWE-328,236,0.6652542372881356,0.5581395348837209,0.794392523364486,0.7659574468085106,0.6457399103139014
gemini-2.5-flash,zero-shot,CWE-330,493,0.6146044624746451,0.9036697247706422,0.38545454545454544,0.5382513661202186,0.6746575342465754
gemini-2.5-flash,zero-shot,CWE-614,67,0.8656716417910447,0.75,1,1,0.8571428571428571
gemini-2.5-flash,zero-shot,CWE-643,35,0.9142857142857143,1,0.85,0.8333333333333334,0.9090909090909091
gemini-2.5-flash,zero-shot,CWE-78,251,0.8247011952191236,1,0.648,0.7411764705882353,0.8513513513513514
gemini-2.5-flash,zero-shot,CWE-79,455,0.9340659340659341,0.9959349593495935,0.861244019138756,0.8941605839416058,0.9423076923076923
gemini-2.5-flash,zero-shot,CWE-89,504,0.9265873015873016,1,0.8405172413793104,0.8802588996763754,0.9363166953528399
gemini-2.5-flash,zero-shot,CWE-90,59,0.8813559322033898,1,0.78125,0.7941176470588235,0.8852459016393442
gemini-2.5-flash,few-shot,CWE-22,268,0.917910447761194,0.9473684210526315,0.8888888888888888,0.8936170212765957,0.9197080291970802
gemini-2.5-flash,few-shot,CWE-327,246,0.5934959349593496,0.5153846153846153,0.6810344827586207,0.6442307692307693,0.5726495726495727
gemini-2.5-flash,few-shot,CWE-328,236,0.6991525423728814,0.6511627906976745,0.7570093457943925,0.7636363636363637,0.7029288702928871
gemini-2.5-flash,few-shot,CWE-330,493,0.5760649087221096,0.9357798165137615,0.2909090909090909,0.5112781954887218,0.6612641815235009
gemini-2.5-flash,few-shot,CWE-614,67,0.9701492537313433,0.9444444444444444,1,1,0.9714285714285714
gemini-2.5-flash,few-shot,CWE-643,35,0.9428571428571428,1,0.9,0.8823529411764706,0.9375
gemini-2.5-flash,few-shot,CWE-78,251,0.8127490039840638,0.9920634920634921,0.632,0.7309941520467836,0.8417508417508418
gemini-2.5-flash,few-shot,CWE-79,455,0.9340659340659341,1,0.8564593301435407,0.8913043478260869,0.9425287356321839
gemini-2.5-flash,few-shot,CWE-89,504,0.9166666666666666,1,0.8189655172413793,0.8662420382165605,0.9283276450511946
gemini-2.5-flash,few-shot,CWE-90,59,0.8813559322033898,1,0.78125,0.7941176470588235,0.8852459016393442
gemini-2.5-pro,zero-shot,CWE-22,268,0.9552238805970149,0.9924812030075187,0.9185185185185185,0.9230769230769231,0.9565217391304348
gemini-2.5-pro,zero-shot,CWE-327,246,0.8170731707317073,0.8692307692307693,0.7586206896551724,0.8014184397163121,0.8339483394833948
gemini-2.5-pro,zero-shot,CWE-328,236,0.711864406779661,0.6821705426356589,0.7476635514018691,0.7652173913043478,0.7213114754098361
gemini-2.5-pro,zero-shot,CWE-330,493,0.6146044624746451,0.9954128440366973,0.31272727272727274,0.5344827586206896,0.6955128205128204
gemini-2.5-pro,zero-shot,CWE-614,67,0.9253731343283582,0.8611111111111112,1,1,0.9253731343283582
gemini-2.5-pro,zero-shot,CWE-643,35,0.9714285714285714,1,0.95,0.9375,0.967741935483871
gemini-2.5-pro,zero-shot,CWE-78,251,0.9123505976095617,1,0.824,0.8513513513513513,0.9197080291970803
gemini-2.5-pro,zero-shot,CWE-79,455,0.9318681318681319,1,0.8516746411483254,0.8880866425992779,0.9407265774378585
gemini-2.5-pro,zero-shot,CWE-89,504,0.9384920634920635,1,0.8663793103448276,0.8976897689768977,0.9460869565217391
gemini-2.5-pro,zero-shot,CWE-90,59,0.9152542372881356,1,0.84375,0.84375,0.9152542372881356
gemini-2.5-pro,few-shot,CWE-22,268,0.9402985074626866,0.9774436090225563,0.9037037037037037,0.9090909090909091,0.9420289855072463
gemini-2.5-pro,few-shot,CWE-327,246,0.7560975609756098,0.7769230769230769,0.7327586206896551,0.7651515151515151,0.7709923664122137
gemini-2.5-pro,few-shot,CWE-328,236,0.7288135593220338,0.7364341085271318,0.719626168224299,0.76,0.748031496062992
gemini-2.5-pro,few-shot,CWE-330,493,0.513184584178499,1,0.12727272727272726,0.4759825327510917,0.6449704142011834
gemini-2.5-pro,few-shot,CWE-614,67,1,1,1,1,1
gemini-2.5-pro,few-shot,CWE-643,35,0.9142857142857143,1,0.85,0.8333333333333334,0.9090909090909091
gemini-2.5-pro,few-shot,CWE-78,251,0.8804780876494024,1,0.76,0.8076923076923077,0.8936170212765957
gemini-2.5-pro,few-shot,CWE-79,455,0.9274725274725275,0.9959349593495935,0.84688995215311,0.8844765342960289,0.9369024856596558
gemini-2.5-pro,few-shot,CWE-89,504,0.9226190476190477,1,0.8318965517241379,0.8745980707395499,0.9331046312178387
gemini-2.5-pro,few-shot,CWE-90,59,0.8983050847457628,1,0.8125,0.8181818181818182,0.9
gpt-4.1,zero-shot,CWE-22,268,0.6791044776119403,1,0.362962962962963,0.6073059360730594,0.7556818181818182
gpt-4.1,zero-shot,CWE-327,246,0.8699186991869918,0.9692307692307692,0.7586206896551724,0.8181818181818182,0.8873239436619719
gpt-4.1,zero-shot,CWE-328,236,0.7457627118644068,0.5891472868217055,0.9345794392523364,0.9156626506024096,0.7169811320754718
gpt-4.1,zero-shot,CWE-330,493,0.949290060851927,0.9908256880733946,0.9163636363636364,0.9037656903765691,0.9452954048140045
gpt-4.1,zero-shot,CWE-614,67,1,1,1,1,1
gpt-4.1,zero-shot,CWE-643,35,0.6,1,0.3,0.5172413793103449,0.6818181818181819
gpt-4.1,zero-shot,CWE-78,251,0.6294820717131474,1,0.256,0.5753424657534246,0.7304347826086955
gpt-4.1,zero-shot,CWE-79,455,0.7230769230769231,0.9878048780487805,0.41148325358851673,0.6639344262295082,0.7941176470588235
gpt-4.1,zero-shot,CWE-89,504,0.6646825396825397,1,0.27155172413793105,0.6167800453514739,0.7629733520336606
gpt-4.1,zero-shot,CWE-90,59,0.6440677966101694,1,0.34375,0.5625,0.72
gpt-4.1,few-shot,CWE-22,268,0.6044776119402985,1,0.21481481481481482,0.5564853556485355,0.7150537634408602
gpt-4.1,few-shot,CWE-327,246,0.8861788617886179,1,0.7586206896551724,0.8227848101265823,0.9027777777777779
gpt-4.1,few-shot,CWE-328,236,0.8135593220338984,0.6744186046511628,0.9813084112149533,0.9775280898876404,0.7981651376146789
gpt-4.1,few-shot,CWE-330,493,0.8945233265720081,0.9174311926605505,0.8763636363636363,0.8547008547008547,0.8849557522123894
gpt-4.1,few-shot,CWE-614,67,1,1,1,1,1
gpt-4.1,few-shot,CWE-643,35,0.5714285714285714,1,0.25,0.5,0.6666666666666666
gpt-4.1,few-shot,CWE-78,251,0.6055776892430279,1,0.208,0.56,0.717948717948718
gpt-4.1,few-shot,CWE-79,455,0.7472527472527473,0.9959349593495935,0.45454545454545453,0.6824512534818942,0.8099173553719008
gpt-4.1,few-shot,CWE-89,504,0.5634920634920635,1,0.05172413793103448,0.5528455284552846,0.712041884816754
gpt-4.1,few-shot,CWE-90,59,0.6101694915254238,1,0.28125,0.54,0.7012987012987013
gpt-4.1,cot,CWE-22,268,0.8656716417910447,0.9624060150375939,0.7703703703703704,0.8050314465408805,0.87671232876712335
gpt-4.1,cot,CWE-327,246,0.8780487804878049,0.9846153846153847,0.7586206896551724,0.8205128205128205,0.8951048951048951
gpt-4.1,cot,CWE-328,236,0.7754237288135594,0.6124031007751938,0.9719626168224299,0.9634146341463414,0.7488151658767772
gpt-4.1,cot,CWE-330,493,0.8174442190669371,1,0.6727272727272727,0.7077922077922078,0.8288973384030417
gpt-4.1,cot,CWE-614,67,1,1,1,1,1
gpt-4.1,cot,CWE-643,35,0.8571428571428571,1,0.75,0.75,0.8571428571428571
gpt-4.1,cot,CWE-78,251,0.8924302788844621,0.9682539682539683,0.816,0.8413793103448276,0.9003690036900369
gpt-4.1,cot,CWE-79,455,0.8945054945054945,0.9796747967479674,0.7942583732057417,0.8485915492957746,0.9094339622641509
gpt-4.1,cot,CWE-89,504,0.871031746031746,1,0.7198275862068966,0.8071216617210683,0.8932676518883416
gpt-4.1,cot,CWE-90,59,0.8135593220338984,1,0.65625,0.7105263157894737,0.8307692307692308
gpt-4.1-mini,zero-shot,CWE-22,268,0.6977611940298507,0.924812030075188,0.4740740740740741,0.634020618556701,0.7522935779816514
gpt-4.1-mini,zero-shot,CWE-327,246,0.7398373983739838,0.9615384615384616,0.49137931034482757,0.6793478260869565,0.7961783439490446
